configuration,inner_radius_over_L0,rows,current_force_rms,source_force_rms,force_difference_rms,maximum_force_difference,coefficient_identity_error
R8_zero,1.5,10,0.3426658634824449,2.581780920478912e-10,0.3426658635682124,0.9913543460660863,1.5543122344752192e-15
R8_zero,2.0,18,0.2888336011928841,2.2311410467059282e-10,0.28883360126426727,0.9913543460660863,1.5543122344752192e-15
R8_zero,3.0,40,0.20691056859646934,2.0461044086958605e-10,0.2069105686234754,0.9913543460660863,1.5543122344752192e-15
R10_zero,1.5,10,0.34101188271789945,1.9170752061921344e-10,0.3410118825991089,0.9878336082667428,1.5994150448506161e-15
R10_zero,2.0,18,0.2866322408570175,2.1456098001193557e-10,0.28663224078826416,0.9878336082667428,1.5994150448506161e-15
R10_zero,3.0,40,0.2059415172214657,1.9797386272146017e-10,0.20594151719180256,0.9878336082667428,1.5994150448506161e-15
R8_perturbed_plus,1.5,10,0.37987454765971146,0.05963131734808732,0.3608610851861072,1.100957570913019,1.4710455076283324e-15
R8_perturbed_plus,2.0,18,0.3183055762718273,0.05396418443214041,0.2998844970374812,1.100957570913019,1.4710455076283324e-15
R8_perturbed_plus,3.0,40,0.2471806946502717,0.04728733156621484,0.2253265361100331,1.100957570913019,1.4710455076283324e-15
R8_perturbed_minus,1.5,10,0.3466507070668547,0.05925116899547308,0.33455685176859384,0.9685064197896585,1.5543122344752192e-15
R8_perturbed_minus,2.0,18,0.29548546916850404,0.05414893637021515,0.28606489864354123,0.9685064197896585,1.5543122344752192e-15
R8_perturbed_minus,3.0,40,0.22871239659288314,0.04728305409697375,0.2139414008497328,0.9685064197896585,1.5543122344752192e-15
