inner_radius_over_L0,parameter,baseline,lower_bound_counterfactual,adopted
1.5,u,0.004691290237097735,0.1622669762578269,False
1.5,v,0.010748901179499448,0.4443324928486605,False
1.5,A,2.164270267643741,6.134408896106075,False
1.5,B,1.1151150845574143,5.040454576886087,False
1.5,C,2.2616200179977715,0.03917405428537135,False
1.5,D3,25.907737627659625,1.822556350913029,False
1.5,D1,2.3233021601990624,0.5561578773816567,False
1.5,D2,2.6384659593382307,-0.901047154277006,False
1.5,D_Eg,1.6254251376231954,0.5731884455024121,False
1.5,K3,9456.761143180593,-840.8261095914349,False
2.0,u,0.004691290237097735,0.14182116140696888,False
2.0,v,0.010748901179499448,0.3986249502514678,False
2.0,A,2.164270267643741,5.624954291307629,False
2.0,B,1.1151150845574143,4.655062695831228,False
2.0,C,2.2616200179977715,0.36954029578499714,False
2.0,D3,25.907737627659625,5.462715636876553,False
2.0,D1,2.3233021601990624,0.9166934078844673,False
2.0,D2,2.6384659593382307,-0.34437347949835306,False
2.0,D_Eg,1.6254251376231954,0.7234551919723481,False
2.0,K3,9456.761143180593,-3149.718986245807,False
3.0,u,0.004691290237097735,0.1384171498378167,False
3.0,v,0.010748901179499448,0.3732805475609756,False
3.0,A,2.164270267643741,5.530587929322602,False
3.0,B,1.1151150845574143,4.382590791978687,False
3.0,C,2.2616200179977715,0.3539492213398012,False
3.0,D3,25.907737627659625,5.203039723022787,False
3.0,D1,2.3233021601990624,0.756116274059554,False
3.0,D2,2.6384659593382307,-0.4154309961079008,False
3.0,D_Eg,1.6254251376231954,0.7253838716173584,False
3.0,K3,9456.761143180593,-3683.7832089885705,False
