kmax,pmax,normal_curvature_zero_a,registry_curvature_zero_a,relative_gap
20,50,1.1306912435468108,1.2641879819829165,0.1180666598894769
40,100,1.1306909103726466,1.2641879817719888,0.1180668121798744
80,200,1.130690888430852,1.2641879817685528,0.1180668341845835
120,300,1.130690887227562,1.2641879817685022,0.1180668353915028
200,500,1.1306908869673111,1.2641879817684978,0.11806683536580598
