registry_inertia_mu,max_energy_norm_singular_amplification,max_transfer_spectral_radius,cell_at_max_singular_amplification
1,1.0569083227086766,1.0358663937691541,0
10,1.058245307492622,1.0234317686026186,0
100,1.107115002504659,1.000000000000012,0
500,1.243181263809298,1.0000000000000093,0
650,1.8283740891019826,1.0000000000000169,0
700,2.0326247178376127,1.0000000000000142,0
750,2.1588927849303037,1.8292747925169843,0
800,2.20822144984548,2.207621076778835,0
812.5,2.2100801605239324,2.1835363796793326,0
850,2.1949467413922408,1.8720778717901154,0
900,2.137058185675146,1.0000000000000142,0
1000,1.9511914821533713,1.0000000000000164,0
1500,1.2350206440134652,1.0000000000000144,0
2000,1.1167064541842652,1.0000000000000149,0
