d_over_b,domain_over_d,dx_over_b,applied_shear_MPa,balance_shear_MPa,expansion_drive_MPa,energy_derivative_with_separation_eV_L0sq,tendency,dynamic_motion_computed
32.0,8.0,0.0625,0.0,112.2174155199271,-112.2174155199271,0.01645015311569971,contraction within trial family,False
32.0,8.0,0.0625,4.0,112.2174155199271,-108.2174155199271,0.015863785909166477,contraction within trial family,False
32.0,8.0,0.0625,5.0,112.2174155199271,-107.2174155199271,0.015717194107533167,contraction within trial family,False
32.0,8.0,0.0625,10.0,112.2174155199271,-102.2174155199271,0.014984235099366625,contraction within trial family,False
32.0,8.0,0.0625,15.0,112.2174155199271,-97.2174155199271,0.01425127609120008,contraction within trial family,False
32.0,8.0,0.0625,25.0,112.2174155199271,-87.2174155199271,0.012785358074866996,contraction within trial family,False
32.0,8.0,0.0625,50.0,112.2174155199271,-62.2174155199271,0.009120563034034284,contraction within trial family,False
128.0,8.0,0.0625,0.0,28.05040423329581,-28.05040423329581,0.004111959293101417,contraction within trial family,False
128.0,8.0,0.0625,4.0,28.05040423329581,-24.05040423329581,0.003525592086568183,contraction within trial family,False
128.0,8.0,0.0625,5.0,28.05040423329581,-23.05040423329581,0.0033790002849348744,contraction within trial family,False
128.0,8.0,0.0625,10.0,28.05040423329581,-18.05040423329581,0.0026460412767683322,contraction within trial family,False
128.0,8.0,0.0625,15.0,28.05040423329581,-13.050404233295811,0.0019130822686017892,contraction within trial family,False
128.0,8.0,0.0625,25.0,28.05040423329581,-3.0504042332958115,0.0004471642522687041,contraction within trial family,False
128.0,8.0,0.0625,50.0,28.05040423329581,21.94959576670419,-0.0032176307885640083,expansion within trial family,False
512.0,8.0,0.0625,0.0,7.012539457790648,-7.012539457790648,0.0010279807931421955,contraction within trial family,False
512.0,8.0,0.0625,4.0,7.012539457790648,-3.0125394577906484,0.00044161358660896154,contraction within trial family,False
512.0,8.0,0.0625,5.0,7.012539457790648,-2.0125394577906484,0.00029502178497565297,contraction within trial family,False
512.0,8.0,0.0625,10.0,7.012539457790648,2.9874605422093516,-0.00043793722319088955,expansion within trial family,False
512.0,8.0,0.0625,15.0,7.012539457790648,7.987460542209352,-0.0011708962313574322,expansion within trial family,False
512.0,8.0,0.0625,25.0,7.012539457790648,17.98746054220935,-0.0026368142476905173,expansion within trial family,False
512.0,8.0,0.0625,50.0,7.012539457790648,42.98746054220935,-0.006301609288523229,expansion within trial family,False
1024.0,8.0,0.0625,0.0,3.506268189053124,-3.506268189053124,0.0005139901708428555,contraction within trial family,False
1024.0,8.0,0.0625,4.0,3.506268189053124,0.4937318109468758,-7.237703569037859e-05,expansion within trial family,False
1024.0,8.0,0.0625,5.0,3.506268189053124,1.4937318109468758,-0.0002189688373236871,expansion within trial family,False
1024.0,8.0,0.0625,10.0,3.506268189053124,6.493731810946876,-0.0009519278454902297,expansion within trial family,False
1024.0,8.0,0.0625,15.0,3.506268189053124,11.493731810946876,-0.0016848868536567722,expansion within trial family,False
1024.0,8.0,0.0625,25.0,3.506268189053124,21.493731810946876,-0.0031508048699898576,expansion within trial family,False
1024.0,8.0,0.0625,50.0,3.506268189053124,46.493731810946876,-0.00681559991082257,expansion within trial family,False
128.0,4.0,0.0625,0.0,23.237753076496187,-23.237753076496187,0.0034064640893935335,contraction within trial family,False
128.0,4.0,0.0625,4.0,23.237753076496187,-19.237753076496187,0.0028200968828602994,contraction within trial family,False
128.0,4.0,0.0625,5.0,23.237753076496187,-18.237753076496187,0.002673505081226991,contraction within trial family,False
128.0,4.0,0.0625,10.0,23.237753076496187,-13.237753076496187,0.0019405460730604486,contraction within trial family,False
128.0,4.0,0.0625,15.0,23.237753076496187,-8.237753076496187,0.001207587064893906,contraction within trial family,False
