wavelength_over_b,shear_amplitude_MPa,max_slip_over_b,nonlocal_over_local_amplitude,nonlinear_force_residual_MPa,q_b,solved_max_slip_over_b,solved_force_residual_MPa,static_unloaded_max_slip_over_b,newton_iterations,status
4,4.0,6.939380926074524e-05,0.6757798967001821,3.835606827276799e-08,1.5707963267948966,6.939380926074524e-05,3.835606827276799e-08,9.862396268370852e-16,0,static within-well linearization; short wavelengths not atomically certified
4,15.0,0.0002602267847250824,0.675779896700182,2.0226836950327895e-06,1.5707963267948966,0.00026022681636467493,1.3904598085037841e-13,9.862396268568761e-16,1,static within-well linearization; short wavelengths not atomically certified
4,25.0,0.00043371130787448,0.6757798967001821,9.364282810876462e-06,1.5707963267948966,0.0004337114543542677,2.5738298582942385e-13,9.862396269731984e-16,1,static within-well linearization; short wavelengths not atomically certified
8,4.0,8.281971802768413e-05,0.8065258427206058,6.520383766471025e-08,0.7853981633974483,8.281971802768413e-05,6.520383766471025e-08,9.86239626837489e-16,0,static within-well linearization; short wavelengths not atomically certified
8,15.0,0.00031057394260110326,0.8065258427206059,3.438484695673482e-06,0.7853981633974483,0.0003105740088290984,6.656456530071307e-14,9.86239626908575e-16,1,static within-well linearization; short wavelengths not atomically certified
8,25.0,0.0005176232376678481,0.8065258427206059,1.591892662245991e-05,0.7853981633974483,0.0005176235442795778,1.9229763309094886e-13,9.86239627076596e-16,1,static within-well linearization; short wavelengths not atomically certified
16,4.0,9.168949158553219e-05,0.8929026351552081,8.847704478402109e-08,0.39269908169872414,9.168949352419144e-05,1.1833700497904544e-14,9.862396268391047e-16,1,static within-well linearization; short wavelengths not atomically certified
16,15.0,0.0003438355934430335,0.892902635155208,4.665783713782653e-06,0.39269908169872414,0.00034383569567717615,4.437637686714204e-14,9.862396269214996e-16,1,static within-well linearization; short wavelengths not atomically certified
16,25.0,0.0005730593224043985,0.8929026351552081,2.1600877227215723e-05,0.39269908169872414,0.0005730597957119289,9.466960398323635e-14,9.862396272833911e-16,1,static within-well linearization; short wavelengths not atomically certified
32,4.0,9.687713449451808e-05,0.9434216198679386,1.0436039808687157e-07,0.19634954084936207,9.687713695781815e-05,8.875275373428408e-15,9.862396268391047e-16,1,static within-well linearization; short wavelengths not atomically certified
32,15.0,0.0003632892543517305,0.9434216198679385,5.503383750440139e-06,0.19634954084936207,0.0003632893842525545,2.810503868252329e-14,9.862396269214996e-16,1,static within-well linearization; short wavelengths not atomically certified
32,25.0,0.0006054820905855603,0.9434216198679385,2.5478663765203638e-05,0.19634954084936207,0.0006054826919802286,3.550110149371363e-14,9.862396274901863e-16,1,static within-well linearization; short wavelengths not atomically certified
128,4.0,0.00010117016764683654,0.9852285984896841,1.1885823436999498e-07,0.04908738521234052,0.0001011701706314969,2.218818843357102e-15,9.862396268399124e-16,1,static within-well linearization; short wavelengths not atomically certified
128,15.0,0.0003793881286729248,0.985228598489684,6.267919091408841e-06,0.04908738521234052,0.0003793882860674448,8.875275373428408e-15,9.862396269731984e-16,1,static within-well linearization; short wavelengths not atomically certified
128,25.0,0.0006323135477875507,0.9852285984896842,2.9018187900289097e-05,0.04908738521234052,0.0006323142764686072,1.479212562238068e-14,9.862396272833911e-16,1,static within-well linearization; short wavelengths not atomically certified
512,4.0,0.0001023035426754153,0.9962657798738122,1.228977382975514e-07,0.01227184630308513,0.000102303545812808,1.479212562238068e-15,9.862396268399124e-16,1,static within-well linearization; short wavelengths not atomically certified
512,15.0,0.00038363828503009523,0.996265779873812,6.4809399984397495e-06,0.01227184630308513,0.0003836384504788871,8.875275373428408e-15,9.862396269214996e-16,1,static within-well linearization; short wavelengths not atomically certified
512,25.0,0.0006393971417161681,0.9962657798738122,3.0004398331677304e-05,0.01227184630308513,0.0006393979076857641,1.1833700497904544e-14,9.862396276969814e-16,1,static within-well linearization; short wavelengths not atomically certified
