s,W_eV_cell,W_s,W_ss
0.0,3.790179943561599e-40,1.572137822250668e-16,4.945211215219163
0.0078125,0.00015090229529450972,0.038627511725721604,4.942541423083043
0.015625,0.0006034461310024694,0.07721325727501002,4.9345125938615215
0.0234375,0.0013571411702528536,0.11571516699943857,4.9210665527565
0.03125,0.0024111662415484797,0.15409056717659259,4.902106954138641
0.0390625,0.003764363462983168,0.19229588515156337,4.877500200867131
0.046875,0.005415230094683091,0.23028636310187556,4.847076732750082
0.0546875,0.007361908198092984,0.26801578331412645,4.810632685270314
0.0625,0.009602172203404738,0.30543620786923725,4.767931919615655
0.0703125,0.012133414509002734,0.34249773564005553,4.718708424671314
0.078125,0.01495262925955403,0.3791482795075756,4.662669090897523
0.0859375,0.01805639447200392,0.4153333666972522,4.599496854878034
0.09375,0.02144085270142921,0.4509959651215495,4.528854211742623
0.1015625,0.025101690461102766,0.48607633858524474,4.450387090602294
0.109375,0.029034116633212575,0.5205119336623437,4.363729085567035
0.1171875,0.03323284012853541,0.5542373009836927,4.26850603182652
0.125,0.037692047074181424,0.5871840535783919,4.164340912662327
0.1328125,0.04240537782884847,0.6192808647859853,4.050859079138338
0.140625,0.04736590414414028,0.6504535080960392,3.9276937596067354
0.1484375,0.05256610680792699,0.6806249410736912,3.7944918311130014
0.15625,0.05799785412197719,0.7097154352905909,3.650919819339199
0.1640625,0.06365238157978947,0.7376427538976944,3.4966700879626518
0.171875,0.06952027312218378,0.7643223781474605,3.331467172315952
0.1796875,0.07559144435698162,0.7896677837966781,3.1550742061173502
0.1875,0.08185512813471424,0.8135907678969433,2.967299383917801
0.1953125,0.08829986287451304,0.8360018260082317,2.7680023959161226
0.203125,0.09491348403249472,0.8568105793534626,2.5571007660716716
0.2109375,0.10168311909926277,0.8759262508713673,2.334576019152069
0.21875,0.10859518650234172,0.8932581885252197,2.100479597654662
0.2265625,0.11563539877442343,0.9087164335913895,1.8549384456031093
0.234375,0.12278877032770044,0.9222123309908181,1.5981601732133055
0.2421875,0.13003963014909764,0.9336591780464103,1.3304377145114106
0.25,0.1373716397002354,0.9429729073590171,1.0521533893281432
0.2578125,0.1447678162695779,0.9500727988046116,0.7637822818326018
0.265625,0.15221056198257624,0.9548822149768689,0.4658948500328334
0.2734375,0.15968169862860784,0.9573293537449327,0.1591586845632856
0.28125,0.16716250841174743,0.9573480109787803,-0.1556606593217798
0.2890625,0.17463378067570812,0.9548783459277321,-0.47769982527993315
0.296875,0.18207586459277778,0.9498676412352188,-0.8059988745593263
0.3046875,0.18946872774198734,0.9422710491482673,-1.1395036086091153
0.3125,0.19679202043471422,0.9320523151468112,-1.4770690319149054
0.3203125,0.2040251455761163,0.9191844699882771,-1.8174639773228913
0.328125,0.2111473337801389,0.903650481048245,-2.159376900716752
0.3359375,0.2181377233844443,0.8854438538483888,-2.5014228353402834
0.34375,0.22497544494092434,0.8645691748066043,-2.8421514785748516
0.3515625,0.23163970968847059,0.8410425865270195,-3.180056365866455
0.359375,0.23810990144838654,0.8148921873734499,-3.513585068078627
0.3671875,0.24436567132046721,0.7861583476395952,-3.8411503301759344
0.375,0.25038703450038696,0.7548939353411834,-4.161142051191649
0.3828125,0.256154468487826,0.7211644455044567,-4.471939988287973
0.390625,0.26164901191057705,0.6850480278042286,-4.771927051769362
0.3984375,0.2668523631539396,0.6466354085020916,-5.059503043540772
0.40625,0.2717469779577153,0.6060297038377456,-5.333098679082258
0.4140625,0.27631616512579804,0.5633461233169502,-5.591189722877727
0.421875,0.2805441794864774,0.5187115626995324,-5.83231105969297
0.4296875,0.2844163112456387,0.47226408789863633,-6.0550705194015855
0.4375,0.2879189708899159,0.4241523124351366,-6.258162271408178
0.4453125,0.29103976882318244,0.3745346725243467,-6.440379606252787
0.453125,0.29376758895724037,0.323578605280725,-6.600626926768722
0.4609375,0.2960926555256115,0.2714596368846644,-6.7379307792009815
0.46875,0.29800659244798244,0.21836038883870448,-6.851449765896265
0.4765625,0.29950247464101204,0.16446951162423323,-6.940483195391966
0.484375,0.3005748707481948,0.10998055613145233,-7.004478342730929
0.4921875,0.3012198768461738,0.05509079415428097,-7.043036212316667
0.5,0.3014351407762315,1.608859472595033e-16,-7.055915717237485
0.5078125,0.3012198768461738,-0.05509079415428042,-7.043036212316667
0.515625,0.3005748707481948,-0.10998055613145159,-7.00447834273093
0.5234375,0.29950247464101215,-0.16446951162423262,-6.940483195391964
0.53125,0.2980065924479824,-0.21836038883870407,-6.851449765896267
0.5390625,0.29609265552561165,-0.2714596368846638,-6.737930779200984
0.546875,0.2937675889572402,-0.32357860528072435,-6.600626926768727
0.5546875,0.2910397688231825,-0.374534672524346,-6.44037960625279
0.5625,0.28791897088991597,-0.4241523124351361,-6.258162271408178
0.5703125,0.28441631124563876,-0.4722640878986359,-6.055070519401588
0.578125,0.2805441794864774,-0.518711562699532,-5.832311059692972
0.5859375,0.27631616512579815,-0.5633461233169497,-5.59118972287773
0.59375,0.27174697795771535,-0.6060297038377449,-5.333098679082261
0.6015625,0.2668523631539397,-0.6466354085020911,-5.059503043540774
0.609375,0.26164901191057716,-0.6850480278042281,-4.771927051769365
0.6171875,0.256154468487826,-0.721164445504456,-4.471939988287978
0.625,0.2503870345003871,-0.7548939353411833,-4.161142051191653
0.6328125,0.24436567132046752,-0.7861583476395957,-3.841150330175943
0.640625,0.2381099014483868,-0.8148921873734497,-3.5135850680786334
0.6484375,0.2316397096884705,-0.8410425865270189,-3.1800563658664553
0.65625,0.2249754449409243,-0.864569174806604,-2.842151478574853
0.6640625,0.21813772338444415,-0.8854438538483878,-2.5014228353402825
0.671875,0.2111473337801388,-0.9036504810482447,-2.159376900716756
0.6796875,0.20402514557611645,-0.9191844699882771,-1.8174639773228929
0.6875,0.1967920204347143,-0.9320523151468114,-1.477069031914911
0.6953125,0.1894687277419872,-0.9422710491482672,-1.1395036086091201
0.703125,0.18207586459277805,-0.9498676412352192,-0.8059988745593312
0.7109375,0.17463378067570834,-0.9548783459277321,-0.4776998252799385
0.71875,0.16716250841174743,-0.957348010978781,-0.15566065932178516
0.7265625,0.15968169862860807,-0.957329353744933,0.15915868456328008
0.734375,0.15221056198257624,-0.9548822149768684,0.46589485003283304
0.7421875,0.144767816269578,-0.9500727988046114,0.7637822818325978
0.75,0.1373716397002354,-0.9429729073590171,1.052153389328142
0.7578125,0.13003963014909764,-0.9336591780464103,1.330437714511409
0.765625,0.12278877032770075,-0.9222123309908183,1.598160173213301
0.7734375,0.11563539877442346,-0.9087164335913902,1.854938445603109
0.78125,0.10859518650234178,-0.8932581885252202,2.1004795976546626
0.7890625,0.10168311909926284,-0.8759262508713676,2.334576019152067
0.796875,0.09491348403249487,-0.8568105793534634,2.557100766071668
0.8046875,0.0882998628745133,-0.8360018260082328,2.768002395916115
0.8125,0.08185512813471442,-0.8135907678969444,2.9672993839177977
0.8203125,0.0755914443569816,-0.7896677837966777,3.1550742061173485
0.828125,0.06952027312218392,-0.7643223781474603,3.331467172315952
0.8359375,0.06365238157978954,-0.7376427538976942,3.4966700879626487
0.84375,0.057997854121977194,-0.7097154352905914,3.650919819339198
0.8515625,0.052566106807927095,-0.6806249410736912,3.794491831112999
0.859375,0.04736590414414049,-0.6504535080960399,3.927693759606738
0.8671875,0.0424053778288486,-0.6192808647859859,4.050859079138338
0.875,0.0376920470741815,-0.5871840535783924,4.164340912662328
0.8828125,0.03323284012853538,-0.5542373009836936,4.268506031826514
0.890625,0.029034116633212623,-0.520511933662345,4.363729085567034
0.8984375,0.025101690461102857,-0.4860763385852447,4.450387090602291
0.90625,0.021440852701429255,-0.45099596512154905,4.528854211742625
0.9140625,0.01805639447200397,-0.41533336669725207,4.5994968548780335
0.921875,0.014952629259554057,-0.37914827950757557,4.66266909089752
0.9296875,0.01213341450900275,-0.3424977356400558,4.7187084246713145
0.9375,0.009602172203404754,-0.30543620786923764,4.767931919615656
0.9453125,0.007361908198092928,-0.2680157833141264,4.810632685270319
0.953125,0.005415230094682928,-0.2302863631018756,4.8470767327500885
0.9609375,0.00376436346298325,-0.19229588515156465,4.87750020086713
0.96875,0.002411166241548408,-0.154090567176594,4.902106954138643
0.9765625,0.0013571411702528449,-0.1157151669994399,4.9210665527565
0.984375,0.0006034461310025984,-0.07721325727501008,4.93451259386152
0.9921875,0.00015090229529448804,-0.038627511725721805,4.942541423083043
