material,screw_factor_GPa,d_over_b,isolated_far_field_balance_MPa,source,not_a_fitted_yield_stress,finite_core_certified
unchanged_research_candidate,23.79519793612674,128.0,29.586901354567477,results/fcc111_active_interface/matched_v3/monotone_opening/fitted_candidates.json,True,False
unchanged_research_candidate,23.79519793612674,512.0,7.396725338641869,results/fcc111_active_interface/matched_v3/monotone_opening/fitted_candidates.json,True,False
unchanged_research_candidate,23.79519793612674,1024.0,3.6983626693209346,results/fcc111_active_interface/matched_v3/monotone_opening/fitted_candidates.json,True,False
Mishin_0K_elastic_reference_only,28.844410203711913,128.0,35.865081753836364,repository independent_bulk_targets; Mishin et al. 1999,True,False
Mishin_0K_elastic_reference_only,28.844410203711913,512.0,8.966270438459091,repository independent_bulk_targets; Mishin et al. 1999,True,False
Mishin_0K_elastic_reference_only,28.844410203711913,1024.0,4.4831352192295455,repository independent_bulk_targets; Mishin et al. 1999,True,False
