model,state,step,gradient_max_error,hessian_max_error
nested_range,inspected039,4e-05,1.8515977395772154e-07,1.3932942906080825e-06
nested_range,inspected039,2e-05,4.634477268616877e-08,3.4856887509704393e-07
nested_range,inspected039,1e-05,1.150181083708901e-08,8.625092817737823e-08
nested_range,heldout031,4e-05,1.6435259619917986e-07,1.160377514963784e-06
nested_range,heldout031,2e-05,4.109910545224693e-08,2.9022911718357136e-07
nested_range,heldout031,1e-05,1.0334825439883844e-08,7.216466713089176e-08
nested_range,heldout_off,4e-05,5.511601941510236e-08,5.027451486228074e-07
nested_range,heldout_off,2e-05,1.374494618122668e-08,1.2578765584692064e-07
nested_range,heldout_off,1e-05,3.4295865036781947e-09,3.138261739366044e-08
nested_range,heldout_opening,4e-05,3.6250369372936575e-10,1.256661774640122e-09
nested_range,heldout_opening,2e-05,7.939682244995083e-11,3.0533942041444107e-10
nested_range,heldout_opening,1e-05,1.4972134643187474e-11,1.0272371842035e-10
