model,polarization,alpha,amplitude_over_L0,analytic_H,central,fourth_order,sixth_order,central_error,fourth_error,sixth_error,harmonic_tail_bound
nested_range,0,436.65760955292114,0.0004,12.747098195838921,12.747192046358435,,,9.385051951404932e-05,,,0.00024894999322725466
nested_range,0,436.65760955292114,0.0002,12.747098195838921,12.747121580503062,12.747098091884604,,2.338466414109064e-05,-1.0395431715437553e-07,,0.00024894999322725466
nested_range,0,436.65760955292114,0.0001,12.747098195838921,12.747103994570352,12.747098132592782,12.747098135306661,5.798731431028159e-06,-6.324613899266751e-08,-6.053226009328228e-08,0.00024894999322725466
nested_range,0,436.65760955292114,5e-05,12.747098195838921,12.747099020771202,12.747097362838153,12.747097311521177,8.249322807074577e-07,-8.330007688073238e-07,-8.843177443651484e-07,0.00024894999322725466
nested_range,0,436.65760955292114,2.5e-05,12.747098195838921,12.747099731313938,12.747099968161516,12.747100141849739,1.535475016467558e-06,1.772322594462139e-06,1.9460108173774415e-06,0.00024894999322725466
nested_range,0,436.65760955292114,1.25e-05,12.747098195838921,12.74710257348488,12.747103520875195,12.747103757722774,4.377645959507959e-06,5.32503627326264e-06,5.561883853033578e-06,0.00024894999322725466
nested_range,1,436.65760955292114,0.0004,12.747098195838849,12.747192057460666,,,9.38616218171262e-05,,,0.00024894999322725466
nested_range,1,436.65760955292114,0.0002,12.747098195838849,12.747121580503062,12.747098088183861,,2.338466421392127e-05,-1.0765498714704336e-07,,0.00024894999322725466
nested_range,1,436.65760955292114,0.0001,12.747098195838849,12.747103994570352,12.747098132592782,12.747098135553378,5.7987315038587894e-06,-6.32460661620371e-08,-6.02854708375844e-08,0.00024894999322725466
nested_range,1,436.65760955292114,5e-05,12.747098195838849,12.747099731313938,12.747098310228466,12.747098322070846,1.5354750892981883e-06,1.1438961777798795e-07,1.262319972994419e-07,0.00024894999322725466
nested_range,1,436.65760955292114,2.5e-05,12.747098195838849,12.747096889142995,12.747095941752681,12.747095783854295,-1.3066958537422124e-06,-2.2540861674968937e-06,-2.4119845534187334e-06,0.00024894999322725466
nested_range,1,436.65760955292114,1.25e-05,12.747098195838849,12.74710257348488,12.74710446826551,12.747105036699699,4.377646032338589e-06,6.2724266616243085e-06,6.840860850232389e-06,0.00024894999322725466
nested_range,2,436.65760955292114,0.0004,93.02311451815416,93.01985453014083,,,-0.003259988013326165,,,0.00024894999322725466
nested_range,2,436.65760955292114,0.0002,93.02311451815416,93.02229941887674,93.02311438178872,,-0.0008150992774176302,-1.3636544338169188e-07,,0.00024894999322725466
nested_range,2,436.65760955292114,0.0001,93.02311451815416,93.02291079649194,93.02311458903034,93.02311460284645,-0.00020372166221704902,7.087618314471911e-08,8.469228873764223e-08,0.00024894999322725466
nested_range,2,436.65760955292114,5e-05,93.02311451815416,93.02306338554445,93.02311424856195,93.02311422586405,-5.11326097125675e-05,-2.6959220633671066e-07,-2.9229011033748975e-07,0.00024894999322725466
nested_range,2,436.65760955292114,2.5e-05,93.02311451815416,93.0230982021385,93.02310980766985,93.02310951161037,-1.631601566032259e-05,-4.710484304837337e-06,-5.006543787544615e-06,0.00024894999322725466
nested_range,2,436.65760955292114,1.25e-05,93.02311451815416,93.02310672865133,93.02310957082227,93.02310955503243,-7.78950283120139e-06,-4.9473318881609885e-06,-4.963121725154451e-06,0.00024894999322725466
