model,state,component,energy_eV_cell,normal_force_eV_L0,Haa_eV_L0sq,source_Haa_eV_L0sq
nested_range,inspected039,pair_6,0.04707806580838518,-1.2211679064994245,16.282970167010237,36.31678531793335
nested_range,inspected039,pair_3,-0.04420402149970063,2.2383273313925502,-13.350975320745404,36.31678531793335
nested_range,inspected039,embedding,0.0014751715435536994,-1.2866212279785325,5.579419148863543,36.31678531793335
nested_range,inspected039,angular_3,0.09668219309364187,-0.3835531830452488,4.177030747179729,36.31678531793335
nested_range,inspected039,angular_1,0.007868808120998431,-0.4475699963995386,20.152484445832016,36.31678531793335
nested_range,inspected039,angular_2,0.005779557720747671,-0.0095733212461575,-0.2621644300023884,36.31678531793335
nested_range,inspected039,angular_Eg_radial,0.007110383770124899,-0.009984263261264942,1.9964706290566185,36.31678531793335
nested_range,inspected039,angular_rank3_quartic,0.10663352533493628,-0.8453250502361579,12.42745397451609,36.31678531793335
nested_range,heldout031,pair_6,0.0346812765496161,-1.026639740459603,13.102444333414345,34.460781638400974
nested_range,heldout031,pair_3,-0.03357883835162143,2.125971042653516,-12.121303113770198,34.460781638400974
nested_range,heldout031,embedding,0.0011353221141341407,-1.2831553919602883,5.547445092268204,34.460781638400974
nested_range,heldout031,angular_3,0.07523503122151812,-0.305692769763561,4.480859250928629,34.460781638400974
nested_range,heldout031,angular_1,0.005265041276188163,-0.3318572724024843,18.253073484366848,34.460781638400974
nested_range,heldout031,angular_2,0.00561314836135163,-0.013639640187851755,-0.3601747810228987,34.460781638400974
nested_range,heldout031,angular_Eg_radial,0.007010341025287211,-0.012699229591444731,1.841416359510857,34.460781638400974
nested_range,heldout031,angular_rank3_quartic,0.06457156320966256,-0.5242872595967605,9.71560182901853,34.460781638400974
nested_range,heldout_off,pair_6,-0.026844351774355877,-0.28903222393721956,3.5554555668183836,5.497617912510364
nested_range,heldout_off,pair_3,0.1571846684967892,1.146492483182702,-6.08381340597542,5.497617912510364
nested_range,heldout_off,embedding,-0.12454756432359515,-0.6877563709386066,3.719015655238895,5.497617912510364
nested_range,heldout_off,angular_3,0.07708281677515944,-0.228918147636489,0.4582437854010759,5.497617912510364
nested_range,heldout_off,angular_1,0.05554418583348262,0.893102968452211,3.832493331221424,5.497617912510364
nested_range,heldout_off,angular_2,0.002749674674392129,0.015644191805979056,1.3585512632019343,5.497617912510364
nested_range,heldout_off,angular_Eg_radial,0.010930206110860553,0.030466734866858792,-0.278821125975474,5.497617912510364
nested_range,heldout_off,angular_rank3_quartic,0.06721244978937586,-0.4080849387458922,2.020211168877983,5.497617912510364
nested_range,heldout_opening,pair_6,-0.0525809317263538,-0.0008307254689042217,0.005636558636844834,-0.6638075680371565
nested_range,heldout_opening,pair_3,0.4010691847539893,0.10638555404014219,-0.2917507489085858,-0.6638075680371565
nested_range,heldout_opening,embedding,-0.17957070549956722,0.15154773506749553,0.1036134560170206,-0.6638075680371565
nested_range,heldout_opening,angular_3,0.015230122047668418,-0.0006179712126145601,0.07148327315944314,-0.6638075680371565
nested_range,heldout_opening,angular_1,0.417365035142063,0.1354199953156065,-0.6408532903152662,-0.6638075680371565
nested_range,heldout_opening,angular_2,0.0053578274102638115,1.9219884246566925e-05,-0.00018639744844934608,-0.6638075680371565
nested_range,heldout_opening,angular_Eg_radial,0.013630786285328015,0.00023004517502104284,-0.001210623230861121,-0.6638075680371565
nested_range,heldout_opening,angular_rank3_quartic,0.00200627723347977,-0.00041458238043213006,0.022361399572389543,-0.6638075680371565
