model,state,tolerance,finer_tolerance,energy_change,gradient_max_change,hessian_max_change
nested_range,inspected039,2e-11,2e-13,3.885780586188048e-16,1.865174681370263e-14,3.82804898890754e-13
nested_range,heldout031,2e-11,2e-13,3.3306690738754696e-16,2.020605904817785e-14,4.405364961712621e-13
nested_range,heldout_off,2e-11,2e-13,2.3314683517128287e-15,7.605027718682322e-15,1.0302869668521453e-13
nested_range,heldout_opening,2e-11,2e-13,2.5757174171303632e-14,1.1046719095020308e-14,2.786659791809143e-14
