       Step     Time          Energy          fmax
LBFGS:    0 22:42:26    -2754.298420       30.147943
LBFGS:    1 22:42:36    -2758.287362       12.255800
LBFGS:    2 22:42:47    -2759.312398        4.336952
LBFGS:    3 22:42:57    -2759.559807        1.836058
LBFGS:    4 22:43:07    -2759.659544        0.420804
LBFGS:    5 22:43:18    -2759.683163        0.263511
LBFGS:    6 22:43:29    -2759.692069        0.413100
LBFGS:    7 22:43:39    -2759.702055        0.526380
LBFGS:    8 22:43:49    -2759.714110        0.510209
LBFGS:    9 22:44:00    -2759.724547        0.324508
LBFGS:   10 22:44:10    -2759.731018        0.295751
LBFGS:   11 22:44:21    -2759.736156        0.400802
LBFGS:   12 22:44:32    -2759.742074        0.346454
LBFGS:   13 22:44:42    -2759.745881        0.152193
LBFGS:   14 22:44:53    -2759.747727        0.092096
LBFGS:   15 22:45:04    -2759.748943        0.103694
LBFGS:   16 22:45:16    -2759.750250        0.129143
LBFGS:   17 22:45:28    -2759.751441        0.095210
LBFGS:   18 22:45:38    -2759.752240        0.041663
LBFGS:   19 22:45:49    -2759.752785        0.062509
LBFGS:   20 22:46:00    -2759.753344        0.085937
LBFGS:   21 22:46:10    -2759.753889        0.066581
LBFGS:   22 22:46:19    -2759.754242        0.022221
LBFGS:   23 22:46:28    -2759.754445        0.017586
LBFGS:   24 22:46:37    -2759.754622        0.039237
LBFGS:   25 22:46:47    -2759.754811        0.041656
LBFGS:   26 22:46:56    -2759.754967        0.022905
LBFGS:   27 22:47:05    -2759.755072        0.010468
LBFGS:   28 22:47:14    -2759.755153        0.020837
LBFGS:   29 22:47:24    -2759.755234        0.027258
LBFGS:   30 22:47:33    -2759.755302        0.019611
LBFGS:   31 22:47:44    -2759.755347        0.006026
LBFGS:   32 22:47:55    -2759.755382        0.012443
LBFGS:   33 22:48:05    -2759.755416        0.018383
LBFGS:   34 22:48:15    -2759.755448        0.015333
LBFGS:   35 22:48:26    -2759.755472        0.006034
LBFGS:   36 22:48:36    -2759.755490        0.006133
LBFGS:   37 22:48:47    -2759.755506        0.010924
LBFGS:   38 22:48:57    -2759.755519        0.009906
LBFGS:   39 22:49:07    -2759.755529        0.004533
LBFGS:   40 22:49:18    -2759.755535        0.002317
LBFGS:   41 22:49:28    -2759.755541        0.005717
LBFGS:   42 22:49:38    -2759.755546        0.005858
LBFGS:   43 22:49:48    -2759.755550        0.002949
LBFGS:   44 22:49:58    -2759.755552        0.001150
LBFGS:   45 22:50:08    -2759.755554        0.002690
LBFGS:   46 22:50:17    -2759.755556        0.003020
LBFGS:   47 22:50:26    -2759.755557        0.001653
LBFGS:   48 22:50:36    -2759.755558        0.000651
LBFGS:   49 22:50:45    -2759.755558        0.001464
LBFGS:   50 22:50:54    -2759.755559        0.001734
LBFGS:   51 22:51:03    -2759.755559        0.001013
LBFGS:   52 22:51:12    -2759.755560        0.000398
LBFGS:   53 22:51:21    -2759.755560        0.000823
LBFGS:   54 22:51:30    -2759.755560        0.000955
LBFGS:   55 22:51:40    -2759.755560        0.000559
LBFGS:   56 22:51:49    -2759.755560        0.000255
LBFGS:   57 22:51:58    -2759.755560        0.000597
LBFGS:   58 22:52:07    -2759.755560        0.000689
LBFGS:   59 22:52:16    -2759.755560        0.000414
LBFGS:   60 22:52:25    -2759.755560        0.000157
LBFGS:   61 22:52:34    -2759.755560        0.000301
LBFGS:   62 22:52:44    -2759.755560        0.000363
LBFGS:   63 22:52:53    -2759.755560        0.000224
LBFGS:   64 22:53:02    -2759.755561        0.000067
