radius_over_L0,energy_eV_per_row_period,linear_reference_work_eV,quadratic_remainder_energy_eV,site_count,inside_free_disk
0.5,0.0912155724138376,0.0007516536300582956,0.0904639187837793,2,True
1.0,0.1418025708188275,0.0012545772712100572,0.14054799354761743,4,True
1.5,0.26789230569881506,0.0013869966349288564,0.2665053090638862,10,True
2.0,0.34755275048536277,0.0009287593219690172,0.3466239911633937,18,True
2.5,0.4145006113292035,0.0003660836282929977,0.41413452770091047,30,True
3.0,0.456668634111813,7.393805042446716e-05,0.4565946960613886,40,True
3.5,0.509354723816886,-0.00017789227248875158,0.5095326160893747,56,True
4.0,0.5490189266648595,-0.0002335691111645425,0.5492524957760241,72,True
4.5,0.5840173947021124,-0.000171055707192158,0.5841884504093047,90,True
5.0,0.6206383490842504,-0.000181797375509426,0.6208201464597598,112,True
5.5,0.6533569464476485,-0.00015274818236702846,0.6535096946300155,136,True
6.0,0.6779582892211309,-0.0001126009545564439,0.6780708901756873,158,True
6.5,0.7082096764108033,-0.0001490250039828479,0.7083587014147861,188,True
7.0,0.7352332264303036,-0.00025827615507674484,0.7354915025853803,220,True
7.5,0.7597210505191687,-0.00041935774293705213,0.7601404082621056,254,True
8.0,0.7799611161823263,-0.000568523043838814,0.7805296392261651,286,True
