parts,block,nw,lo_cycles_ps,hi_cycles_ps,axis,scalar_eliminated_mobility_m2_J_s,full_projected_mobility_m2_J_s,full_to_scalar,covariance_condition,spectral_condition,drift_rescale_relative,diffusion_rescale_relative,spectral_rank,dimension,inversion_failure,wrong_unscaled_thermal_diffusion_factor,production_clock_calibrated
1,0,2.0,0.02,0.04,0,64348254685.18043,86892279526.28046,1.3503439984719894,5.9952252359191345,46.94982780649823,1.0317500709174282e-16,4.9833403705199336e-17,15,15,,144,False
1,0,2.0,0.02,0.04,1,276655929884.8558,428932777257.14404,1.550419604002943,5.9952252359191345,46.94982780649823,1.0317500709174282e-16,4.9833403705199336e-17,15,15,,144,False
1,0,2.0,0.04,0.08,0,91763094492.54968,120236997424.7275,1.3102979807910644,5.9952252359191345,37.69768814721062,7.977132226823662e-17,1.169383858510317e-16,15,15,,144,False
1,0,2.0,0.04,0.08,1,204503953006.83527,233000367543.63882,1.1393440768152345,5.9952252359191345,37.69768814721062,7.977132226823662e-17,1.169383858510317e-16,15,15,,144,False
1,0,2.0,0.08,0.16,0,76111376621.5,90990865739.46155,1.1954962553358728,5.9952252359191345,23.772349238729,1.0563821224004544e-16,8.867574024915464e-17,15,15,,144,False
1,0,2.0,0.08,0.16,1,246820562272.31674,288719859155.61115,1.169756103371432,5.9952252359191345,23.772349238729,1.0563821224004544e-16,8.867574024915464e-17,15,15,,144,False
1,0,3.0,0.02,0.04,0,64739452941.99061,91177289287.82616,1.4083728722503264,5.9952252359191345,56.10157925477661,1.0371485578098021e-16,7.433604122551476e-17,15,15,,144,False
1,0,3.0,0.02,0.04,1,257067928984.83554,490183475961.36194,1.9068246976474374,5.9952252359191345,56.10157925477661,1.0371485578098021e-16,7.433604122551476e-17,15,15,,144,False
1,0,3.0,0.04,0.08,0,97673541636.96078,128709608330.83621,1.3177530595668605,5.9952252359191345,41.94604723348403,1.2912013720562819e-16,1.1658351745857923e-16,15,15,,144,False
1,0,3.0,0.04,0.08,1,218452254693.8808,249925760395.8418,1.1440749867565574,5.9952252359191345,41.94604723348403,1.2912013720562819e-16,1.1658351745857923e-16,15,15,,144,False
1,0,3.0,0.08,0.16,0,74483835264.78247,90680877455.348,1.2174571453388068,5.9952252359191345,24.71745567521658,9.149216936241995e-17,1.0577728209206245e-16,15,15,,144,False
1,0,3.0,0.08,0.16,1,247448486006.6333,292037174603.4133,1.1801938226269235,5.9952252359191345,24.71745567521658,9.149216936241995e-17,1.0577728209206245e-16,15,15,,144,False
2,0,2.0,0.02,0.04,0,55860734798.70199,127968506924.4473,2.290848972638664,6.306792282383513,179.92511469048188,1.0544027700191224e-16,1.1027521560607185e-16,15,15,,144,False
2,0,2.0,0.02,0.04,1,275483755357.96857,767659451968.7917,2.7865870020948464,6.306792282383513,179.92511469048188,1.0544027700191224e-16,1.1027521560607185e-16,15,15,,144,False
2,0,2.0,0.04,0.08,0,96590164293.5208,149440907470.86853,1.547164854350423,6.306792282383513,45.57791789259695,8.465674094450963e-17,9.124228295611872e-17,15,15,,144,False
2,0,2.0,0.04,0.08,1,194843346153.33527,253960858298.84824,1.3034104746845676,6.306792282383513,45.57791789259695,8.465674094450963e-17,9.124228295611872e-17,15,15,,144,False
2,0,2.0,0.08,0.16,0,77580864004.87941,104038317886.66086,1.3410306680796622,6.306792282383513,27.94962112324143,8.482963278791306e-17,9.227857328985298e-17,15,15,,144,False
