radius_set,group,category,atoms,atom_fraction,squared_error_fraction,force_component_RMSE_eV_A,force_component_MAE_eV_A
0,Si_H_vacuum1,H,2976,0.14285714285714285,0.021328209895817622,0.10605939704390205,0.08405065195168664
0,Si_H_vacuum1,Si: O=0,17856,0.8571428571428571,0.9786717901041825,0.2933018893793522,0.2304936453848125
0,Si_O_H_vacuum1,H,13536,0.12752006632249313,0.015063547864610826,0.11276330002235144,0.08808562943944051
0,Si_O_H_vacuum1,O,11396,0.10735953574254814,0.1800212392849664,0.4248493589242835,0.3131680920098093
0,Si_O_H_vacuum1,Si: O=0,72135,0.6795700342917436,0.5525534862557689,0.29584447127336416,0.23019688918664366
0,Si_O_H_vacuum1,Si: O=1-3,7904,0.0744620718242454,0.22752689546386595,0.5735116161656546,0.44632836523970915
0,Si_O_H_vacuum1,Si: O>=4,1177,0.011088291818969741,0.024834831130788017,0.49101152751576294,0.37283486966963103
0,Si_O_vacuum0,O,9216,0.6666666666666666,0.4419175477692983,0.15127755620603028,0.11042785096252868
0,Si_O_vacuum0,Si: O=1-3,1593,0.115234375,0.30897867751290603,0.3042506234154784,0.22738293011088864
0,Si_O_vacuum0,Si: O>=4,3015,0.21809895833333334,0.24910377471779568,0.19857364407114328,0.1459990820371316
0,Si_vacuum0,Si: O=0,38592,1.0,1.0,0.19666155924827444,0.15593879411274336
0,small_H,H,1,1.0,0.0,0.0,0.0
0,small_O,O,115,1.0,1.0,4.1137389584200195,0.6805352696875197
0,small_Si,Si: O=0,195,1.0,1.0,5.96669037599881,1.3738233562468534
0,small_Si_H,H,52,0.5,0.49999976322285217,3.116464513016482,0.7963714507100617
0,small_Si_H,Si: O=0,52,0.5,0.5000002367771477,3.116465988831988,0.7963718362869848
0,small_Si_O,O,23,0.5,0.49794735291253694,1.6589007054342666,0.4427249924641354
0,small_Si_O,Si: O=0,12,0.2608695652173913,0.010723711043340663,0.3370346283396744,0.19204494820211607
0,small_Si_O,Si: O=1-3,11,0.2391304347826087,0.49132893604412237,2.382771649904607,0.7165774761252457
1,Si_H_vacuum1,H,2976,0.14285714285714285,0.021328209895817633,0.10605939704390205,0.08405065195168664
1,Si_H_vacuum1,Si: O=0,17856,0.8571428571428571,0.9786717901041825,0.29330188937935214,0.23049364538481237
1,Si_O_H_vacuum1,H,13536,0.12752006632249313,0.015063547864610826,0.11276330002235144,0.08808562943944051
1,Si_O_H_vacuum1,O,11396,0.10735953574254814,0.1800212392849664,0.4248493589242835,0.3131680920098093
1,Si_O_H_vacuum1,Si: O=0,71333,0.6720145457286053,0.533992720410329,0.2924635435468758,0.22831756728943986
1,Si_O_H_vacuum1,Si: O=1-3,7614,0.07173003730640239,0.21800971818570414,0.5719799487749683,0.4461826286973579
1,Si_O_H_vacuum1,Si: O>=4,2269,0.021375814899951013,0.05291277425438966,0.5161932632000297,0.3913825824482461
1,Si_O_vacuum0,O,9216,0.6666666666666666,0.44191754776929837,0.15127755620603028,0.11042785096252868
1,Si_O_vacuum0,Si: O=1-3,245,0.017722800925925927,0.07814847616523625,0.39016860828636996,0.29993084925878016
1,Si_O_vacuum0,Si: O>=4,4363,0.3156105324074074,0.47993397606546556,0.22912540797100855,0.16706971852858032
1,Si_vacuum0,Si: O=0,38592,1.0,1.0,0.1966615592482744,0.15593879411274345
1,small_H,H,1,1.0,0.0,0.0,0.0
1,small_O,O,115,1.0,1.0,4.1137389584200195,0.6805352696875197
1,small_Si,Si: O=0,195,1.0,1.0,5.966690375998809,1.3738233562468531
1,small_Si_H,H,52,0.5,0.4999997632228523,3.116464513016482,0.7963714507100617
1,small_Si_H,Si: O=0,52,0.5,0.5000002367771477,3.116465988831988,0.7963718362869849
1,small_Si_O,O,23,0.5,0.49794735291253694,1.6589007054342666,0.4427249924641354
1,small_Si_O,Si: O=0,8,0.17391304347826086,0.007529461134335488,0.3458832653125415,0.19633117186374438
1,small_Si_O,Si: O=1-3,15,0.32608695652173914,0.4945231859531275,2.047105832048341,0.574416149392876
2,Si_H_vacuum1,H,2976,0.14285714285714285,0.02132820989581763,0.10605939704390205,0.08405065195168664
2,Si_H_vacuum1,Si: O=0,17856,0.8571428571428571,0.9786717901041825,0.2933018893793522,0.23049364538481243
2,Si_O_H_vacuum1,H,13536,0.12752006632249313,0.015063547864610815,0.11276330002235144,0.08808562943944051
2,Si_O_H_vacuum1,O,11396,0.10735953574254814,0.18002123928496627,0.4248493589242835,0.3131680920098093
2,Si_O_H_vacuum1,Si: O=0,71206,0.6708181030259638,0.5314713988040304,0.2920323531626163,0.22807034769908027
2,Si_O_H_vacuum1,Si: O=1-3,7495,0.07060896107321853,0.21311141142641837,0.5699894903724685,0.44501398651245266
2,Si_O_H_vacuum1,Si: O>=4,2515,0.023693333835776462,0.060332402619973934,0.5235469448212241,0.3962233140210045
2,Si_O_vacuum0,O,9216,0.6666666666666666,0.4419175477692983,0.15127755620603028,0.11042785096252868
2,Si_O_vacuum0,Si: O=1-3,66,0.004774305555555556,0.02939354879843159,0.46102996496113724,0.35425611852741623
2,Si_O_vacuum0,Si: O>=4,4542,0.3285590277777778,0.5286889034322703,0.23569569074273705,0.17151636639933676
2,Si_vacuum0,Si: O=0,38592,1.0,1.0,0.1966615592482744,0.15593879411274345
2,small_H,H,1,1.0,0.0,0.0,0.0
2,small_O,O,115,1.0,1.0,4.1137389584200195,0.6805352696875197
2,small_Si,Si: O=0,195,1.0,1.0,5.966690375998808,1.3738233562468534
2,small_Si_H,H,52,0.5,0.4999997632228524,3.116464513016482,0.7963714507100617
2,small_Si_H,Si: O=0,52,0.5,0.5000002367771477,3.1164659888319877,0.7963718362869849
2,small_Si_O,O,23,0.5,0.49794735291253694,1.6589007054342666,0.4427249924641354
2,small_Si_O,Si: O=0,3,0.06521739130434782,0.003951545572230685,0.4091810061715061,0.2362151395910568
2,small_Si_O,Si: O=1-3,20,0.43478260869565216,0.4981011015152324,1.7792474377169485,0.47391230985149624
