state,strain,extension_A,energy_eV,converged,force_calls,elapsed_s,conjugate_force_eV_A,nominal_stress_GPa,reaction_force_residual_eV_A,reaction_torque_eV,total_internal_force_eV_A,total_internal_torque_eV,free_force_max_eV_A
0,0.0,0.0,-1753.0366692354637,True,237,1807.2286462000338,3.785665477016934,3.1841455202279043,0.01884669320571563,0.07185512130772041,4.871083751574258e-16,8.62748304838638e-14,0.0009150511783649479
1,0.02,0.6189721223932544,-1749.9209064804777,True,134,1402.05132530001,6.227036735766735,5.2375972591509425,0.02201224280930491,0.05150336495912635,3.015665962502566e-15,4.5386264868992765e-14,0.000770312985748094
2,0.04,1.2379442447865088,-1745.4154980791172,True,127,1022.34396930004,8.242732138778468,6.93301052971317,0.017968899142556515,0.11979843628928061,4.929643398693068e-15,4.905125646631375e-14,0.0009502727673210379
3,0.06,1.856916367179763,-1739.8078673038654,True,132,1316.0606704000384,9.790026636087454,8.234449040852292,0.0032774848040250677,0.07431041152531732,6.283864771283881e-15,4.536018580255932e-14,0.0008584681088103988
4,0.08,2.4758884895730175,-1735.3477245880867,True,333,2953.04398200009,10.253231086878042,8.62405303145547,0.0036702862539828734,0.1081276524368685,1.104717238029701e-14,5.5196287191894745e-14,0.0008250466629189932
5,0.1,3.094860611966272,-1737.2182988608631,False,274,2226.9652815000154,4.757602888790684,4.001647799399162,0.16109929344288212,0.1338065177442987,4.188977549390899e-15,1.7360707635376007e-14,0.16530244518780862
