carrier_type,excess_carrier_cm3,lattice_HSE06_A,E111_LDA_GPa,E100_LDA_GPa,E110_LDA_GPa,ideal_strength_LDA_GPa,critical_strain
electron,0,5.437,179.4,124.6,161.6,20.98,0.18
electron,1e21,5.460,147.0,97.5,130.4,18.88,0.18
electron,2e21,5.485,133.1,91.3,119.4,16.84,0.17
electron,3e21,5.510,122.7,84.5,110.2,14.85,0.16
electron,4e21,5.536,116.2,82.1,105.3,12.96,0.16
electron,5e21,5.562,107.3,80.2,98.9,11.19,0.15
hole,0,5.437,179.4,124.6,161.6,20.98,0.18
hole,1e21,5.409,160.9,112.3,145.2,22.78,0.19
hole,2e21,5.381,152.1,104.7,136.7,24.32,0.20
hole,3e21,5.355,141.0,96.4,126.4,25.55,0.21
hole,4e21,5.328,130.6,87.9,116.5,27.03,0.23
hole,5e21,5.302,113.4,77.0,101.4,27.23,0.22
