sample_id,species,carrier_cm3,oxygen_cm3,resistivity_ohm_cm,sample_count,characteristic_strength_GPa,standard_error_GPa,weibull_modulus,weibull_modulus_SE,mwu_p_against_LB
LB-Cz,B,1.81e15,7.88e17,7.33,50,2.07,0.08,4.12,0.42,
LP-Cz,P,2.82e14,7.90e17,15.52,50,2.09,0.08,4.13,0.45,0.929
HB-Cz,B,3.71e19,7.87e17,0.0027,50,2.10,0.06,4.17,0.46,0.546
HP-Cz,P,5.90e19,7.89e17,0.0012,50,2.08,0.08,4.06,0.45,0.929
HAs-Cz,As,2.69e19,7.91e17,0.0025,50,2.08,0.07,4.09,0.44,0.804
HSb-Cz,Sb,9.18e17,7.85e17,0.023,50,2.12,0.07,4.18,0.47,0.365
