defect,top_local_frequencies_cm_minus1,source,paper_table,note
B_substitutional_minus1,632;632;632,10.1088/1361-648X/ae191e,2,Triply degenerate; not full phonon spectrum
B_interstitial_neutral,532;770;840,10.1088/1361-648X/ae191e,2,Not full phonon spectrum
2B_interstitial_neutral,528;548;697;700;733;937,10.1088/1361-648X/ae191e,2,Not full phonon spectrum
2B_substitutional_minus1,494;525;525;586;586;619,10.1088/1361-648X/ae191e,2,Not full phonon spectrum
3B_interstitial_conf1,511;515;529;563;612;708;720;949;1015,10.1088/1361-648X/ae191e,2,Not full phonon spectrum
3B_interstitial_conf2,502;507;521;538;638;709;731;895;1212,10.1088/1361-648X/ae191e,2,Not full phonon spectrum
3B_interstitial_conf3,504;507;511;524;587;652;772;793;825,10.1088/1361-648X/ae191e,2,Not full phonon spectrum
