label,eta,max_excluded_q_error,positive_LJ,exact_residual,duality_gap,conditional_rank,coefficient_count,material_accepted
baseline,12.507384978807881,2.100801577303527,True,3.801403636316536e-13,-5.329070518200751e-15,3,10,False
coherent_vector_k3_t-3,12.4398826384524,2.120944841300366,True,3.907985046680551e-14,-1.0658141036401503e-14,4,11,False
coherent_vector_k3_t-1,12.507384978807881,2.100801577303527,True,3.801403636316536e-13,-5.329070518200751e-15,4,11,False
coherent_vector_k3_t-0.3,12.507384978807881,2.100801577303527,True,3.801403636316536e-13,-5.329070518200751e-15,4,11,False
coherent_vector_k3_t1,12.507103340060402,2.100804021415768,True,2.3092638912203256e-14,-3.552713678800501e-15,4,11,False
coherent_vector_k5_t-3,12.507104800133572,2.1008190072218937,True,3.730349362740526e-14,-2.842170943040401e-14,4,11,False
coherent_vector_k5_t-1,12.507384978807881,2.100801577303527,True,3.801403636316536e-13,-5.329070518200751e-15,4,11,False
coherent_vector_k5_t-0.3,12.507384978807881,2.100801577303527,True,3.801403636316536e-13,-5.329070518200751e-15,4,11,False
coherent_vector_k5_t1,12.50710188825167,2.1008001544547863,True,7.105427357601002e-14,5.329070518200751e-15,4,11,False
coherent_vector_capacity_NOT_model_selection,12.071180575008077,2.3940688075070757,True,7.65609797781508e-13,3.375077994860476e-13,7,18,False
