candidate,a_over_h,opening_angstrom,energy_J_m2,normal_traction_GPa,registry_curvature
linear,0.95,-0.11626174535055828,0.05266829225272192,-9.998275925044727,8.81992721283371
linear,0.98,-0.04650469814022331,0.007455914898811708,-3.335441841643846,5.999530421102756
linear,1.01,0.023252349070111655,0.001655161654832929,1.3958861144723669,4.068474220918974
linear,1.04,0.09300939628044662,0.023600260464507312,4.690983983735544,2.7483397077826326
linear,1.07,0.1627664434907816,0.06463775045366524,6.923664281954609,1.8474926462590053
linear,1.1,0.23252349070111655,0.11838394464969401,8.37509069413094,1.2341405973322703
linear,1.13,0.302280537911451,0.18015968330576348,9.256046081087279,0.8177074886549577
linear,1.16,0.372037585121786,0.24656167661956263,9.724034689237623,0.5359815589998715
linear,1.19,0.44179463233212096,0.31513848805326367,9.896350594161293,0.3462590108875163
linear,1.22,0.5115516795424558,0.3841463136501695,9.86002238490627,0.2192469196822503
linear,1.25,0.5813087267527909,0.45236538100442486,9.679354815382176,0.1348684424310951
linear,1.28,0.6510657739631258,0.5189622549992435,9.401631705462645,0.07937799747078002
linear,1.31,0.7208228211734609,0.5833868163262471,9.061417919410799,0.043377821878669814
linear,1.3399999999999999,0.7905798683837953,0.645295368503171,8.68379771638396,0.020454464523629187
linear,1.37,0.8603369155941307,0.7044933953734125,8.28680784838519,0.006241546048636338
linear,1.4,0.9300939628044651,0.7608930703230813,7.883262433208613,-0.002224401663281468
linear,1.43,0.9998510100148003,0.8144818205763712,7.482119306336913,-0.006946581615467219
linear,1.46,1.069608057225135,0.8652991620117161,7.089501270832481,-0.009272008039813132
linear,1.49,1.13936510443547,0.9134197101658293,6.7094579760057265,-0.01010028658884285
linear,1.52,1.2091221516458053,0.9589407943407079,6.344533107124279,-0.010026854372384762
linear,1.55,1.2788791988561399,1.0019734947108143,5.9961856151126165,-0.009441146216293012
linear,1.58,1.348636246066475,1.0426362182073707,5.665101652021207,-0.008593768089340741
linear,1.6099999999999999,1.4183932932768095,1.08105015147819,5.351424773137574,-0.007642367986323581
linear,1.6400000000000001,1.4881503404871448,1.1173360964146566,5.054925104307151,-0.006682874271337463
linear,1.67,1.5579073876974794,1.1516123192518468,4.7751230066809205,-0.005770692945328598
linear,1.7000000000000002,1.6276644349078149,1.183993138398707,4.511378884915752,-0.004935024242901796
linear,1.73,1.6974214821181492,1.2145880467205699,4.262957863600336,-0.004188473308481118
linear,1.76,1.767178529328484,1.24350121683857,4.029075861991238,-0.0035334506189609294
linear,1.79,1.8369355765388193,1.2708312775400288,3.808931949111335,-0.0029663898730259825
linear,1.82,1.9066926237491542,1.2966712789290857,3.6017306242975944,-0.0024804886094124618
linear,1.85,1.9764496709594892,1.3211087859823119,3.4066967403087287,-0.002067454660109278
linear,1.88,2.0462067181698234,1.344226056584209,3.223085090322341,-0.0017185885636500438
linear,1.9100000000000001,2.115963765380159,1.366100272312891,3.050186158821409,-0.0014254268030490236
linear,1.94,2.1857208125904934,1.386803799281383,2.8873291460848436,-0.0011800983942267034
linear,1.97,2.2554778598008287,1.4064044630149892,2.733883084130777,-0.0009754977213524926
linear,2.0,2.3252349070111635,1.4249658262524776,2.589256643993285,-0.000805342544377871
linear,3.0,4.650469814022327,1.7105414739501847,0.4810605899975382,-1.1812342365414653e-06
linear,5.0,9.300939628044654,1.7870996286166303,0.045353925611086865,-3.5803216934657057e-12
linear,20.0,44.179463233212104,1.8066243964956425,0.00041341102065938623,-1.626016455621295e-52
linear,100.0,230.1982557941052,1.807505143997318,2.9301690974275275e-06,-3.4025092136480534e-260
angular_tied,0.95,-0.11674132576482008,0.07283801486885765,-13.635832322884996,8.336321341063227
angular_tied,0.98,-0.04669653030592803,0.010433657270129952,-4.63250919360813,6.1317790285433444
angular_tied,1.01,0.023348265152964016,0.002338238612211303,1.9666238030707452,4.634311889992443
angular_tied,1.04,0.09339306061185607,0.03357661937103503,6.674665405960836,3.6057454831896383
angular_tied,1.07,0.1634378560707481,0.09239094464973686,9.90136310501959,2.8870312278524084
angular_tied,1.1,0.23348265152964015,0.16959776624084835,11.975248875566582,2.372671070525956
angular_tied,1.13,0.30352744698853173,0.2580808922360715,13.160502626060573,1.9932021573195655
angular_tied,1.16,0.37357224244742365,0.3523877941192447,13.669849207800802,1.7032545875770473
angular_tied,1.19,0.4436170379063158,0.4484054838507379,13.674498796502496,1.4734473465657916
angular_tied,1.22,0.5136618333652078,0.5430979535397975,13.311893903546519,1.2849177546426176
angular_tied,1.25,0.5837066288240998,0.6342918985504519,12.691829200384687,1.125651141801629
angular_tied,1.28,0.6537514242829919,0.7205008523894731,11.901357793628515,0.9880362196569311
angular_tied,1.31,0.723796219741884,0.8007803365981384,11.008782615989565,0.8672512049931969
angular_tied,1.3399999999999999,0.7938410152007755,0.8746084086843311,10.066946926980043,0.7602099912070639
angular_tied,1.37,0.863885810659668,0.9417872641606041,9.115976840671381,0.6648834037155256
angular_tied,1.4,0.9339306061185597,1.0023624595147669,8.185585564596131,0.5798696163743281
angular_tied,1.43,1.0039754015774516,1.056556979359588,7.2970189492220445,0.504128377867696
angular_tied,1.46,1.0740201970363437,1.10471785170393,6.464701319263321,0.4368215154390933
angular_tied,1.49,1.1440649924952355,1.1472733761669793,5.69762657089933,0.37722120701285583
angular_tied,1.52,1.2141097879541276,1.1846993098403737,5.000530083387774,0.3246604789247493
angular_tied,1.55,1.28415458341302,1.217492580682097,4.3748705985500616,0.27850918578028944
angular_tied,1.58,1.3541993788719118,1.2461512861433681,3.8196468023122123,0.23816466654935764
angular_tied,1.6099999999999999,1.4242441743308034,1.271159896302425,3.3320701688823062,0.20305024756613615
angular_tied,1.6400000000000001,1.494288969789696,1.292978723010376,2.9081132150779037,0.17261739998041553
angular_tied,1.67,1.5643337652485874,1.3120368436003036,2.5429503491359644,0.1463490847939532
angular_tied,1.7000000000000002,1.6343785607074799,1.3287277820009553,2.23130679538443,0.12376292795423048
angular_tied,1.73,1.7044233561663715,1.3434073530350101,1.967729525080437,0.10441356389699742
angular_tied,1.76,1.7744681516252634,1.3563931681141141,1.7467926687631525,0.0878939074537267
angular_tied,1.79,1.8445129470841557,1.3679653830456142,1.5632485032172811,0.07383535606588155
angular_tied,1.82,1.9145577425430476,1.3783683417236055,1.412133791659013,0.061907051146320086
angular_tied,1.85,1.9846025380019399,1.387812833575351,1.2888400133948517,0.051814382506793315
angular_tied,1.88,2.054647333460831,1.396478738306576,1.1891548567970633,0.04329693183172976
angular_tied,1.9100000000000001,2.124692128919724,1.404517879321649,1.1092812748388226,0.036126039083125464
angular_tied,1.94,2.1947369243786152,1.4120569478270713,1.0458394216508915,0.030102151557575375
angular_tied,1.97,2.2647817198375075,1.4192003937279554,0.9958559049741375,0.02505208659933125
angular_tied,2.0,2.3348265152963994,1.4260332076819162,0.9567440035743345,0.020826310166679216
angular_tied,3.0,4.669653030592799,1.5961260414855518,0.5037821645880283,3.870679978660548e-05
angular_tied,5.0,9.339306061185598,1.7042345478012138,0.09020018029008636,1.375330379585123e-10
angular_tied,20.0,44.361703790631594,1.745725210176984,0.0008929984300474949,-2.7252834530816913e-52
angular_tied,100.0,231.14782501434354,1.7476355377628583,6.329382296954805e-06,-7.379993061160734e-260
angular_independent_range,0.95,-0.11710674613592527,0.06588095135232051,-12.270094411379144,8.386791591618897
angular_independent_range,0.98,-0.046842698454370106,0.009460657736858433,-4.18422225870383,6.360943242902006
angular_independent_range,1.01,0.023421349227185053,0.002124958872935677,1.7823167470551786,4.923940930341436
angular_independent_range,1.04,0.09368539690874021,0.030578150126632644,6.068589107696323,3.8896570479214443
angular_independent_range,1.07,0.16394944459029537,0.0843122677272509,9.031888129008122,3.1315958104533346
angular_independent_range,1.1,0.23421349227185054,0.15508822891499868,10.962986080818798,2.5640599955329435
angular_independent_range,1.13,0.30447753995340515,0.23651242961551178,12.098196423997564,2.1291447435313438
