candidate,log_step,index,singular_value,condition_number,rank_relative_1e8,parameter_count,scale_status
even_I1_I2_I3_C,0.0001,3,35.38701441982025,4685.632968249067,10,10,"declared model discrepancy, not measured uncertainty"
even_I1_I2_I3_C,0.0001,4,17.041622403329313,4685.632968249067,10,10,"declared model discrepancy, not measured uncertainty"
even_I1_I2_I3_C,0.0001,5,13.457351237970014,4685.632968249067,10,10,"declared model discrepancy, not measured uncertainty"
even_I1_I2_I3_C,0.0001,6,5.732318590126836,4685.632968249067,10,10,"declared model discrepancy, not measured uncertainty"
even_I1_I2_I3_C,0.0001,7,1.5829432998559771,4685.632968249067,10,10,"declared model discrepancy, not measured uncertainty"
even_I1_I2_I3_C,0.0001,8,0.5172332195471694,4685.632968249067,10,10,"declared model discrepancy, not measured uncertainty"
even_I1_I2_I3_C,0.0001,9,0.04540573263946258,4685.632968249067,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0004,0,133.58311754703018,1093.3265524461758,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0004,1,76.62096137986532,1093.3265524461758,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0004,2,49.12499163014423,1093.3265524461758,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0004,3,24.60028866574655,1093.3265524461758,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0004,4,14.307209889567376,1093.3265524461758,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0004,5,10.700091633804291,1093.3265524461758,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0004,6,4.124047653413645,1093.3265524461758,10,10,"declared model discrepancy, not measured uncertainty"
monotone_I1_I2_I3_C,0.0004,7,1.4438714847782992,1093.3265524461758,10,10,"declared model discrepancy, not measured uncertainty"
