candidate,first,second,local_inverse_curvature_correlation
even_I1_I2_I3_C,log_abs_u,log_abs_C,-0.2500703052656249
even_I1_I2_I3_C,log_abs_u,log_abs_D3,-0.21639798463602988
even_I1_I2_I3_C,log_abs_u,log_abs_D1,-0.6012416474738834
even_I1_I2_I3_C,log_abs_u,log_abs_D2,0.287314333729033
even_I1_I2_I3_C,log_abs_u,log_scalar_decay,0.8250278464283614
even_I1_I2_I3_C,log_abs_u,log_angular_decay,0.26071745882270575
even_I1_I2_I3_C,log_abs_v,log_abs_A,0.9837672171657006
even_I1_I2_I3_C,log_abs_v,log_abs_B,0.9987997643131062
even_I1_I2_I3_C,log_abs_v,log_abs_C,-0.19714089343003474
even_I1_I2_I3_C,log_abs_v,log_abs_D3,-0.29795911125453434
even_I1_I2_I3_C,log_abs_v,log_abs_D1,-0.6816213598386367
even_I1_I2_I3_C,log_abs_v,log_abs_D2,0.23292696967343215
even_I1_I2_I3_C,log_abs_v,log_scalar_decay,0.8486923756512029
even_I1_I2_I3_C,log_abs_v,log_angular_decay,0.3472473603270564
even_I1_I2_I3_C,log_abs_A,log_abs_B,0.986736420425073
even_I1_I2_I3_C,log_abs_A,log_abs_C,-0.34387661927417484
even_I1_I2_I3_C,log_abs_A,log_abs_D3,-0.3653171819421093
even_I1_I2_I3_C,log_abs_A,log_abs_D1,-0.7167717855153612
even_I1_I2_I3_C,log_abs_A,log_abs_D2,0.1432166195664663
even_I1_I2_I3_C,log_abs_A,log_scalar_decay,0.8901560211268732
even_I1_I2_I3_C,log_abs_A,log_angular_decay,0.4089361039082902
even_I1_I2_I3_C,log_abs_B,log_abs_C,-0.19499121782319256
even_I1_I2_I3_C,log_abs_B,log_abs_D3,-0.3066540684210061
even_I1_I2_I3_C,log_abs_B,log_abs_D1,-0.6914896321515728
even_I1_I2_I3_C,log_abs_B,log_abs_D2,0.2294392981054334
even_I1_I2_I3_C,log_abs_B,log_scalar_decay,0.8464247806040366
