target,log_u,log_v,log_A,log_B,log_decay
normal_strain_force_ev,-30.086219131496367,29.779977969979242,30.972576948906724,-29.298395209133687,0.7171846716835794
cohesive_ev_atom,-11.19278985546739,22.157721703853603,73.96019102510452,-34.98118529128431,0.0
hydrostatic_strain_curvature_ev,31.708034399260455,-16.89976891536004,-6.129561785222326,10.238752886847147,3.6387201555801236
normal_strain_curvature_ev,39.47830523574194,-19.60296628769486,-7.888371728923149,10.349525173980863,2.168640907156927
simple_shear_strain_curvature_ev,28.020662023869807,-8.59640765200774,-0.8226966185242118,0.7782268393909363,-0.1610035516321946
intrinsic_fault_rigid,0.0073848094123619215,-0.028954417452448925,-0.019430356463337704,0.0183801367344503,-0.0029805701538220567
shockley_half_partial_rigid,10.153841169751711,-3.2236393105805963,-0.31805805741895976,0.30089950340781907,-0.061761307092270866
direct_half_registry_rigid,14.740848255608133,-3.8592473369404727,-0.34319013035936546,0.32478828616437877,-0.06631236521869333
opening_20percent_rigid,-16.23949113371424,22.808697983146633,29.922797424859034,-27.761044287489693,1.1579515636435669
work_separation_rigid,-4.925942388937292,12.084441836267315,26.025091036536587,-22.793352037214255,-2.3131268296140752
