candidate,first,second,local_inverse_curvature_correlation
linear,log_u,log_v,0.976020290477093
linear,log_u,log_A,0.4906530001280316
linear,log_u,log_B,0.8967647525183209
linear,log_u,log_scalar_decay,-0.5927557616026354
linear,log_v,log_A,0.5711199617725828
linear,log_v,log_B,0.9548950079534133
linear,log_v,log_scalar_decay,-0.5354407188157845
linear,log_A,log_B,0.7738609031176716
linear,log_A,log_scalar_decay,-0.3672468074163056
linear,log_B,log_scalar_decay,-0.5207760759228535
angular_tied,log_u,log_v,0.9721220248229461
angular_tied,log_u,log_A,0.4639216394534409
angular_tied,log_u,log_B,0.9602663759478834
angular_tied,log_u,log_D,0.44747731847731087
angular_tied,log_u,log_scalar_decay,-0.5326195350839389
angular_tied,log_v,log_A,0.4549432738862237
angular_tied,log_v,log_B,0.9876357858790729
angular_tied,log_v,log_D,0.3738417994089487
angular_tied,log_v,log_scalar_decay,-0.402835065308649
angular_tied,log_A,log_B,0.5833126685978741
angular_tied,log_A,log_D,0.7190476923725231
angular_tied,log_A,log_scalar_decay,-0.7242048107562674
angular_tied,log_B,log_D,0.4729709102435818
angular_tied,log_B,log_scalar_decay,-0.49438993943451565
angular_tied,log_D,log_scalar_decay,-0.8558850551699446
angular_independent_range,log_u,log_v,0.9926916099837267
angular_independent_range,log_u,log_A,0.7772634148459896
angular_independent_range,log_u,log_B,0.9674602104454395
angular_independent_range,log_u,log_D,0.45040995846372767
angular_independent_range,log_u,log_scalar_decay,-0.7742772188809719
angular_independent_range,log_u,log_angular_decay,-0.5446047825716718
angular_independent_range,log_v,log_A,0.8215601390629291
angular_independent_range,log_v,log_B,0.9877505291368052
angular_independent_range,log_v,log_D,0.49404734753428875
angular_independent_range,log_v,log_scalar_decay,-0.7879067365838487
angular_independent_range,log_v,log_angular_decay,-0.5764183174089983
angular_independent_range,log_A,log_B,0.8956273931252452
angular_independent_range,log_A,log_D,0.6340962353371066
angular_independent_range,log_A,log_scalar_decay,-0.6583052586937319
angular_independent_range,log_A,log_angular_decay,-0.6636491090328778
angular_independent_range,log_B,log_D,0.5650692212950038
angular_independent_range,log_B,log_scalar_decay,-0.7809278407922821
angular_independent_range,log_B,log_angular_decay,-0.6334156739750544
angular_independent_range,log_D,log_scalar_decay,-0.5241223814647948
angular_independent_range,log_D,log_angular_decay,-0.9221096409232649
angular_independent_range,log_scalar_decay,log_angular_decay,0.5897194703244235
angular_quadratic,log_u,log_v,0.9931968218883962
angular_quadratic,log_u,log_A,-0.7040694536200587
angular_quadratic,log_u,log_B,0.9648921141048409
angular_quadratic,log_u,log_C,0.923218621512115
angular_quadratic,log_u,log_D,0.9711141648297889
angular_quadratic,log_u,log_scalar_decay,-0.985640127409425
angular_quadratic,log_u,log_angular_decay,-0.9744985277974956
angular_quadratic,log_v,log_A,-0.753457486343368
angular_quadratic,log_v,log_B,0.962492038807063
angular_quadratic,log_v,log_C,0.956330126112711
angular_quadratic,log_v,log_D,0.9840271514361529
angular_quadratic,log_v,log_scalar_decay,-0.9952810625916237
angular_quadratic,log_v,log_angular_decay,-0.9849576055893225
angular_quadratic,log_A,log_B,-0.5615445120524427
angular_quadratic,log_A,log_C,-0.8929621379251615
angular_quadratic,log_A,log_D,-0.7070892175841338
angular_quadratic,log_A,log_scalar_decay,0.7213242490201256
angular_quadratic,log_A,log_angular_decay,0.7006155608462272
angular_quadratic,log_B,log_C,0.8676732576245811
angular_quadratic,log_B,log_D,0.9762651461748508
angular_quadratic,log_B,log_scalar_decay,-0.9777974615099083
angular_quadratic,log_B,log_angular_decay,-0.9782357837936229
angular_quadratic,log_C,log_D,0.9438863067750731
angular_quadratic,log_C,log_scalar_decay,-0.9492990296842885
angular_quadratic,log_C,log_angular_decay,-0.9400632614256503
angular_quadratic,log_D,log_scalar_decay,-0.9943239341070268
angular_quadratic,log_D,log_angular_decay,-0.997643808526328
angular_quadratic,log_scalar_decay,log_angular_decay,0.9944434954649637
