set,fraction_of_fixed_s_peak,normal_force_eV_per_reduced_a,normal_traction_GPa,bound_a_reduced_L0,saddle_a_reduced_L0,opening_barrier_eV_cell,fixed_s_spinodal_a_reduced_L0,fixed_s_spinodal_force_eV_per_reduced_a,registry_curvature_at_minimum,status,coordinate_length_scale_m,atomic_cell_area_m2
linear,0.25,0.3108417186051161,2.4760197864665874,0.82709621676343,1.6440167156773442,0.3746905575074358,0.9731039345328787,1.2433668744204645,3.6344930236004713,fixed s=0; zero resolved shear; not coupled spinodal,2.863782463805517e-10,7.023531893869384e-20
linear,0.5,0.6216834372102322,4.952039572933175,0.8468147479142571,1.340382206787094,0.1766974960711356,0.9731039345328787,1.2433668744204645,2.643855623831338,fixed s=0; zero resolved shear; not coupled spinodal,2.863782463805517e-10,7.023531893869384e-20
linear,0.75,0.9325251558153483,7.4280593593997635,0.8760538532906814,1.1643979503634307,0.056371491972873056,0.9731039345328787,1.2433668744204645,1.6390365954277795,fixed s=0; zero resolved shear; not coupled spinodal,2.863782463805517e-10,7.023531893869384e-20
linear,0.95,1.1811985306994413,9.408875188573035,0.9236891537473302,1.0387266011261358,0.004720068295785973,0.9731039345328787,1.2433668744204645,0.7353104591584902,fixed s=0; zero resolved shear; not coupled spinodal,2.863782463805517e-10,7.023531893869384e-20
angular_tied,0.25,0.43435364686230393,3.431489832603371,0.8301770400383911,1.3073598955358419,0.3489888581812608,0.9579115288245748,1.7374145874492157,4.312499322612859,fixed s=0; zero resolved shear; not coupled spinodal,2.863782463805517e-10,7.081595628485787e-20
angular_tied,0.5,0.8687072937246079,6.862979665206742,0.8490963680600488,1.1783997665455486,0.1762935132228307,0.9579115288245748,1.7374145874492157,3.5646401543165585,fixed s=0; zero resolved shear; not coupled spinodal,2.863782463805517e-10,7.081595628485787e-20
angular_tied,0.75,1.3030609405869118,10.294469497810113,0.8761916321563857,1.0866421044555021,0.059074989436988745,0.9579115288245748,1.7374145874492157,2.795198059384586,fixed s=0; zero resolved shear; not coupled spinodal,2.863782463805517e-10,7.081595628485787e-20
angular_tied,0.95,1.6505438580767549,13.039661363892808,0.9178592462968619,1.0064348810711758,0.005102191926964594,0.9579115288245748,1.7374145874492157,2.0400936064393274,fixed s=0; zero resolved shear; not coupled spinodal,2.863782463805517e-10,7.081595628485787e-20
angular_independent_range,0.25,0.4052018693929511,3.1812375381708065,0.8331411203873257,1.4015501658127405,0.36220552645044535,0.9659922717905298,1.6208074775718044,4.589043867511053,fixed s=0; zero resolved shear; not coupled spinodal,2.863782463805517e-10,7.125998231433982e-20
angular_independent_range,0.5,0.8104037387859022,6.362475076341613,0.8526110051186745,1.2171120688240271,0.17817236703059292,0.9659922717905298,1.6208074775718044,3.817139660274025,fixed s=0; zero resolved shear; not coupled spinodal,2.863782463805517e-10,7.125998231433982e-20
angular_independent_range,0.75,1.2156056081788533,9.543712614512419,0.8805773454002533,1.1070416816862878,0.05889291441277994,0.9659922717905298,1.6208074775718044,2.990687283858407,fixed s=0; zero resolved shear; not coupled spinodal,2.863782463805517e-10,7.125998231433982e-20
angular_independent_range,0.95,1.5397671036932141,12.088702645049063,0.9238784245069892,1.0179301357605308,0.005048579148061505,0.9659922717905298,1.6208074775718044,2.133649799706131,fixed s=0; zero resolved shear; not coupled spinodal,2.863782463805517e-10,7.125998231433982e-20
Mishin_source_rigid,0.25,0.143736079990277,3.2423919146202973,2.4018963649651606,4.907534550365377,0.3802109616019056,2.7728268475131364,0.574944319961108,0.46955266516560645,fixed s=0; zero resolved shear; not coupled spinodal,1e-10,7.102490842787125e-20
Mishin_source_rigid,0.5,0.287472159980554,6.484783829240595,2.474002449036335,3.3462423135343524,0.15917015843203214,2.7728268475131364,0.574944319961108,0.406618217807497,fixed s=0; zero resolved shear; not coupled spinodal,1e-10,7.102490842787125e-20
Mishin_source_rigid,0.75,0.43120823997083096,9.727175743860892,2.5615248036101717,3.1442363753586426,0.05458268972011343,2.7728268475131364,0.574944319961108,0.3117505033306254,fixed s=0; zero resolved shear; not coupled spinodal,1e-10,7.102490842787125e-20
Mishin_source_rigid,0.95,0.5461971039630525,12.32108927555713,2.671883372859678,2.9187428245469484,0.004760056360529147,2.7728268475131364,0.574944319961108,0.12797826252564218,fixed s=0; zero resolved shear; not coupled spinodal,1e-10,7.102490842787125e-20
