candidate,path,protocol,step,normal_traction_GPa,shear_traction_GPa,status,force_residual_ev_coordinate,substeps,a,s,energy_ev_cell,loaded_energy_ev_cell,min_hessian_eigenvalue,normal_strain,slip_over_period
linear,direct_110,normal_tension,0,0.0,0.0,stable_local_equilibrium,2.55351295663786e-15,1,0.8119453681970724,4.273752616401591e-19,-1.6945155598909713e-15,-1.6945155598909713e-15,4.632629651760924,-1.177298450910227e-13,4.297708362781684e-19
linear,direct_110,normal_tension,1,0.05,0.0,stable_local_equilibrium,7.984932159921243e-15,1,0.8122201166816563,3.8624459648511255e-18,8.628792706044861e-07,-8.61729142649781e-07,4.612348514533257,0.0003383829691624719,3.884096206277288e-18
linear,direct_110,normal_tension,2,0.15,0.0,stable_local_equilibrium,8.326672684688674e-17,1,0.8127729357959118,1.740337343339351e-17,7.807680388095258e-06,-7.776355090627585e-06,4.571803382724499,0.0010192404946915642,1.7500924891690002e-17
linear,direct_110,normal_tension,3,0.4,0.0,stable_local_equilibrium,7.216449660063518e-16,2,0.8141748219975594,1.9352876242492222e-17,5.6281147769155025e-05,-5.5673894698955826e-05,4.470539216046582,0.0027458174992015284,1.9461355285760015e-17
linear,direct_110,normal_tension,4,1.0,0.0,stable_local_equilibrium,1.0547118733938987e-15,3,0.8176617988182476,-5.684673460500961e-17,0.0003638336864894533,-0.00035381208042060866,4.2280597824482715,0.007040412871339248,-5.716537868176497e-17
linear,direct_110,normal_tension,5,2.0,0.0,stable_local_equilibrium,4.440892098500626e-15,5,0.8239057368844438,-2.1620838855115744e-17,0.001545706588419024,-0.0014573239836501075,3.825513404562116,0.014730509164468077,-2.1742030552115302e-17
linear,direct_110,normal_tension,6,4.0,0.0,stable_local_equilibrium,1.6653345369377348e-15,10,0.838500051578408,-6.387586343361983e-17,0.007110451913390704,-0.006224342039962456,3.024633595965498,0.032705012456936175,-6.423390801915638e-17
linear,direct_110,normal_tension,7,6.0,0.0,stable_local_equilibrium,2.6756374893466273e-14,10,0.857478757766024,-3.69435444173133e-17,0.019145214553091205,-0.015152597955986155,2.222896964561073,0.05607937596830891,-3.715062476563445e-17
linear,direct_110,normal_tension,8,8.0,0.0,stable_local_equilibrium,1.9984014443252818e-15,10,0.885684541981807,4.453375231550152e-17,0.0442289883864503,-0.02982926149675698,1.3974220770944212,0.09081790065305555,4.478337819972556e-17
linear,direct_110,normal_tension,9,10.0,0.0,continuation_unresolved_or_branch_lost,0.01204198904707554,10,,,,,,,
linear,direct_110,compression_control,0,0.0,0.0,stable_local_equilibrium,2.55351295663786e-15,1,0.8119453681970724,4.273752616401591e-19,-1.6945155598909713e-15,-1.6945155598909713e-15,4.632629651760924,-1.177298450910227e-13,4.297708362781684e-19
linear,direct_110,compression_control,1,-0.1,0.0,stable_local_equilibrium,6.761952109357594e-15,1,0.8113991458169815,3.91568703158274e-18,3.4241205250388015e-06,-3.4332036500663124e-06,4.673209204939518,-0.0006727329221661286,3.937635706167324e-18
