target,log_u,log_v,log_A,log_B,log_D,log_scalar_decay,log_angular_decay
normal_strain_force_ev,-22.751384062802412,12.765490748967155,34.74512911632033,-25.13999700781699,0.0,5.1214891693796005,0.0
cohesive_ev_atom,-8.46405657096652,9.498132997735159,76.73089801384951,-27.759496014753296,0.0,0.0,0.0
hydrostatic_strain_curvature_ev,23.97781074919643,-7.244258003355542,-7.00899839171125,9.191411708256576,0.0,3.0314652380450453,0.0
normal_strain_curvature_ev,29.853737375273084,-8.403011078464724,-9.38705425299486,9.47118397804493,0.0,0.32346809127277976,0.0
simple_shear_strain_curvature_ev,21.18939706622645,-3.6849376606791338,-1.5286687621257395,1.1060752710710091,0.0,-1.4965502068594403,0.0
intrinsic_fault_rigid,0.005584438324329924,-0.012411605827950426,-0.031114155068538013,0.022512907302401443,7.421558570165529,-0.021351088837507914,28.862224253405973
shockley_half_partial_rigid,7.6783971809788945,-1.3818458105899103,-0.5894894954528472,0.4266133563658171,5.5261323248390095,-0.5736712734731092,25.14061056839271
direct_half_registry_rigid,11.147120168503385,-1.6543056622603873,-0.639163737416866,0.4628508350667729,3.18005410545557,-0.625856300913913,15.646898919794987
opening_20percent_rigid,-12.28040313582355,9.777180607501224,32.65864516820354,-23.09547399414675,3.55384615976551,3.840297384387548,-9.980498987078589
work_separation_rigid,-3.725027949583471,5.180119025707392,24.322143934570022,-16.30513183370525,0.4294637982995765,-4.825120376281573,-2.0157941894852964
