model,layer,pair_difference_ev_cell,normalized_plane_density_change
analytic_scalar_joint,1,-1.8383015452649496e-16,0.0
analytic_scalar_joint,2,-0.00015003083728707824,1.3624942548699158e-05
analytic_scalar_joint,3,2.629558466789103e-07,-3.4929944959630914e-08
analytic_scalar_joint,4,0.0,0.0
analytic_scalar_joint,5,-8.823779095971287e-13,1.7508196093739713e-13
analytic_scalar_joint,6,1.785143701156983e-15,-3.661679491297088e-16
analytic_scalar_joint,7,0.0,0.0
analytic_scalar_joint,8,1.7231343274601885e-23,1.4979578972439584e-21
Mishin_source_rigid,1,1.1102230246251565e-16,0.0
Mishin_source_rigid,2,0.06941007609390229,0.001795075087538253
Mishin_source_rigid,3,0.0,0.0
Mishin_source_rigid,4,0.0,0.0
