quantity,value,units,scale,scale_meaning,method,temperature_K,lattice_angstrom,orientation,relaxation,source_doi,source_url,source_sha256
normal_strain_force_ev,0.0,eV/atom per unit normal strain,0.1,"declared model discrepancy, not measurement uncertainty",Mishin1999 EAM rounded bulk values,0,4.05,FCC; interface (111),affine bulk; rigid half-crystals for interface,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,60c8a085be79d273324ab421f5b1447578fef55c1acfc6492c0999f15ee8a284
cohesive_ev_atom,3.36,eV/atom,0.0672,"declared model discrepancy, not measurement uncertainty",Mishin1999 EAM rounded bulk values,0,4.05,FCC; interface (111),affine bulk; rigid half-crystals for interface,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,60c8a085be79d273324ab421f5b1447578fef55c1acfc6492c0999f15ee8a284
hydrostatic_strain_curvature_ev,74.01042469890372,eV/atom per squared unit strain,3.700521234945186,"declared model discrepancy, not measurement uncertainty",Mishin1999 EAM rounded bulk values,0,4.05,FCC; interface (111),affine bulk; rigid half-crystals for interface,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,60c8a085be79d273324ab421f5b1447578fef55c1acfc6492c0999f15ee8a284
normal_strain_curvature_ev,12.646038954154417,eV/atom per squared unit strain,0.6323019477077209,"declared model discrepancy, not measurement uncertainty",Mishin1999 EAM rounded bulk values,0,4.05,FCC; interface (111),affine bulk; rigid half-crystals for interface,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,60c8a085be79d273324ab421f5b1447578fef55c1acfc6492c0999f15ee8a284
simple_shear_strain_curvature_ev,2.90236959603544,eV/atom per squared unit strain,0.145118479801772,"declared model discrepancy, not measurement uncertainty",Mishin1999 EAM rounded bulk values,0,4.05,FCC; interface (111),affine bulk; rigid half-crystals for interface,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,60c8a085be79d273324ab421f5b1447578fef55c1acfc6492c0999f15ee8a284
intrinsic_fault_rigid,0.06943467959307983,eV/interface_cell,0.006943467959307984,"declared model discrepancy, not measurement uncertainty",recomputed NIST setfl on rigid halves,0,4.05,FCC; interface (111),affine bulk; rigid half-crystals for interface,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,60c8a085be79d273324ab421f5b1447578fef55c1acfc6492c0999f15ee8a284
shockley_half_partial_rigid,0.0717731071150184,eV/interface_cell,0.00717731071150184,"declared model discrepancy, not measurement uncertainty",recomputed NIST setfl on rigid halves,0,4.05,FCC; interface (111),affine bulk; rigid half-crystals for interface,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,60c8a085be79d273324ab421f5b1447578fef55c1acfc6492c0999f15ee8a284
direct_half_registry_rigid,0.26732847628894085,eV/interface_cell,0.026732847628894087,"declared model discrepancy, not measurement uncertainty",recomputed NIST setfl on rigid halves,0,4.05,FCC; interface (111),affine bulk; rigid half-crystals for interface,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,60c8a085be79d273324ab421f5b1447578fef55c1acfc6492c0999f15ee8a284
opening_20percent_rigid,0.1829129464964322,eV/interface_cell,0.01829129464964322,"declared model discrepancy, not measurement uncertainty",recomputed NIST setfl on rigid halves,0,4.05,FCC; interface (111),affine bulk; rigid half-crystals for interface,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,60c8a085be79d273324ab421f5b1447578fef55c1acfc6492c0999f15ee8a284
work_separation_rigid,0.7719163228888833,eV/interface_cell,0.07719163228888834,"declared model discrepancy, not measurement uncertainty",recomputed NIST setfl on rigid halves,0,4.05,FCC; interface (111),affine bulk; rigid half-crystals for interface,10.1103/PhysRevB.59.3393,https://www.ctcms.nist.gov/potentials/Download/1999--Mishin-Y-Farkas-D-Mehl-M-J-Papaconstantopoulos-D-A--Al/2/Al99.eam.alloy,60c8a085be79d273324ab421f5b1447578fef55c1acfc6492c0999f15ee8a284
