result_folder,candidate,path,protocol,step,normal_traction_GPa,shear_traction_GPa,status,force_residual_ev_coordinate,substeps,a,s,energy_ev_cell,loaded_energy_ev_cell,min_hessian_eigenvalue,normal_strain,slip_over_period
.,angular_tied,direct_110,quasistatic_unload,0,0.0,0.0,stable_local_equilibrium,6.217209420084407e-15,1,0.8152946478322176,0.0,5.618659485765341e-40,5.618659485765341e-40,5.071532801199665,0.0,0.0
.,angular_tied,direct_110,quasistatic_unload,1,0.5,0.2,stable_local_equilibrium,7.327471962526033e-15,3,0.8173066119342111,0.005105783784044315,0.00012931330337306374,-0.00012727936535661557,4.954810008527976,0.0024677754322845694,0.005113310891605821
.,angular_tied,direct_110,quasistatic_unload,2,1.0,0.4,stable_local_equilibrium,3.1363800445660672e-15,3,0.8194233583014138,0.010456017144687522,0.0005345542175161096,-0.0005174565115307175,4.828311907969848,0.005064071596905447,0.010471431735089678
.,angular_tied,direct_110,quasistatic_unload,3,0.5,0.2,stable_local_equilibrium,1.4099832412739488e-14,3,0.8173066119342105,0.005105783784044337,0.00012931330337512953,-0.0001272793653545152,4.95481000852801,0.0024677754322838885,0.005113310891605843
.,angular_tied,direct_110,quasistatic_unload,4,0.0,0.0,stable_local_equilibrium,1.5523575100150174e-15,3,0.8152946478322175,-8.616796508300784e-18,-5.752667405093874e-16,-5.752667405093874e-16,5.071532801199672,-1.3617445270579445e-16,-8.629499661606311e-18
.,angular_tied,shockley_112,quasistatic_unload,0,0.0,0.0,stable_local_equilibrium,6.217209420084407e-15,1,0.8152946478322176,0.0,5.618659485765341e-40,5.618659485765341e-40,5.0715328011996625,0.0,0.0
.,angular_tied,shockley_112,quasistatic_unload,1,0.5,0.2,stable_local_equilibrium,2.327998904760875e-15,3,0.8173070743862162,0.005193561198095395,0.00013083064468617233,-0.0001280134431691318,4.787279814216711,0.0024683426529898246,0.003002924444919077
.,angular_tied,shockley_112,quasistatic_unload,2,1.0,0.4,stable_local_equilibrium,4.413136522884997e-15,3,0.8194274508252588,0.010836386824306122,0.0005480380241414472,-0.0005237494167613929,4.48896978601978,0.0050690912837829645,0.006265614218860341
.,angular_tied,shockley_112,quasistatic_unload,3,0.5,0.2,stable_local_equilibrium,2.040034807748725e-15,3,0.8173070743862162,0.005193561198095794,0.00013083064468623676,-0.00012801344316907745,4.7872798142166975,0.0024683426529898246,0.0030029244449193077
.,angular_tied,shockley_112,quasistatic_unload,4,0.0,0.0,stable_local_equilibrium,6.524909384539576e-16,3,0.8152946478322172,-4.8926468473354993e-17,-3.864091323319192e-16,-3.864091323319192e-16,5.071532801199701,-5.446978108231778e-16,-2.828935340861687e-17
.,angular_independent_range,direct_110,quasistatic_unload,0,0.0,0.0,stable_local_equilibrium,1.9095836023552692e-14,1,0.8178466599052268,0.0,0.0,0.0,5.350449930328594,0.0,0.0
.,angular_independent_range,direct_110,quasistatic_unload,1,0.5,0.2,stable_local_equilibrium,2.7755575615628914e-15,3,0.8200753606299758,0.004871628958834008,0.00013407821084681542,-0.0001319614897601299,5.225514601071266,0.0027250838500792753,0.004863587006514648
.,angular_independent_range,direct_110,quasistatic_unload,2,1.0,0.4,stable_local_equilibrium,1.329492071988625e-14,3,0.8224190397916881,0.009980792737807215,0.0005543712741090819,-0.000536534760439209,5.089821638529975,0.005590754490568149,0.009964316717160915
.,angular_independent_range,direct_110,quasistatic_unload,3,0.5,0.2,stable_local_equilibrium,2.6645352591003757e-15,3,0.8200753606299754,0.0048716289588339986,0.000134078210848275,-0.0001319614897586489,5.225514601071291,0.002725083850078868,0.004863587006514639
.,angular_independent_range,direct_110,quasistatic_unload,4,0.0,0.0,stable_local_equilibrium,4.404823725937568e-15,3,0.8178466599052262,-4.345971894329969e-17,-9.833635974118994e-16,-9.833635974118994e-16,5.350449930328615,-6.787476669243906e-16,-4.338797682367027e-17
.,angular_independent_range,shockley_112,quasistatic_unload,0,0.0,0.0,stable_local_equilibrium,1.9095836023552692e-14,1,0.8178466599052268,0.0,0.0,0.0,5.3504499303285975,0.0,0.0
.,angular_independent_range,shockley_112,quasistatic_unload,1,0.5,0.2,stable_local_equilibrium,2.2447321779139884e-15,3,0.8200757762639664,0.0049478550249131585,0.00013540453995477796,-0.0001326034502420576,5.064456283874445,0.0027255920553591224,0.002851929758119905
.,angular_independent_range,shockley_112,quasistatic_unload,2,1.0,0.4,stable_local_equilibrium,2.192690473634684e-15,3,0.8224227291951378,0.010310517758620907,0.0005661422049392437,-0.0005420329050689406,4.763850759197116,0.0055952656093763795,0.005942953516094745
.,angular_independent_range,shockley_112,quasistatic_unload,3,0.5,0.2,stable_local_equilibrium,4.996003610813204e-16,3,0.8200757762639663,0.004947855024913469,0.00013540453995475175,-0.00013260345024208468,5.06445628387443,0.0027255920553589867,0.002851929758120084
.,angular_independent_range,shockley_112,quasistatic_unload,4,0.0,0.0,stable_local_equilibrium,4.086742665430824e-15,3,0.8178466599052262,-1.0618927846286073e-16,-9.833635974118996e-16,-9.833635974118996e-16,5.350449930328621,-6.787476669243906e-16,-6.1207202255654e-17
odd_moment,angular_vector_and_third,direct_110,quasistatic_unload,0,0.0,0.0,stable_local_equilibrium,7.105441283579016e-14,1,0.8113694616174547,0.0,3.638273420303744e-39,3.638273420303744e-39,5.470460261671968,0.0,0.0
odd_moment,angular_vector_and_third,direct_110,quasistatic_unload,1,0.5,0.2,stable_local_equilibrium,4.468647674116255e-15,3,0.8141752045716533,0.004646184065140032,0.00014711709077222274,-0.00014524267230999247,5.394550569770548,0.003458033715744416,0.0046755437356309154
odd_moment,angular_vector_and_third,direct_110,quasistatic_unload,2,1.0,0.4,stable_local_equilibrium,1.329492071988625e-14,3,0.8171152148415243,0.009424859027080236,0.0006042845895970904,-0.0005886303723673025,5.313023884327965,0.007081549769713386,0.00948441559039727
odd_moment,angular_vector_and_third,direct_110,quasistatic_unload,3,0.5,0.2,stable_local_equilibrium,1.3850032232198828e-14,3,0.814175204571653,0.0046461840651401175,0.0001471170907722458,-0.00014524267230995764,5.3945505697705824,0.0034580337157441425,0.004675543735631002
odd_moment,angular_vector_and_third,direct_110,quasistatic_unload,4,0.0,0.0,stable_local_equilibrium,6.632311605594658e-15,3,0.8113694616174524,1.0239812564199452e-17,9.56224997291487e-16,9.56224997291487e-16,5.47046026167203,-2.8734977861566e-15,1.0304518894934165e-17
odd_moment,angular_vector_and_third,shockley_112,quasistatic_unload,0,0.0,0.0,stable_local_equilibrium,7.105441283579016e-14,1,0.8113694616174547,0.0,3.638273420303744e-39,3.638273420303744e-39,5.470460261671967,0.0,0.0
odd_moment,angular_vector_and_third,shockley_112,quasistatic_unload,1,0.5,0.2,stable_local_equilibrium,5.023759186428833e-15,3,0.8141753926221972,0.004709624142951134,0.00014819301998186745,-0.00014576913628500704,5.24918504347197,0.003458265485058903,0.0027362850307280926
odd_moment,angular_vector_and_third,shockley_112,quasistatic_unload,2,1.0,0.4,stable_local_equilibrium,7.188694084447889e-15,3,0.8171168425617513,0.009692456736365537,0.0006135021560684195,-0.0005930355871320057,5.019370112355297,0.007083555909091376,0.005631303788518025
odd_moment,angular_vector_and_third,shockley_112,quasistatic_unload,3,0.5,0.2,stable_local_equilibrium,1.880440247958859e-14,3,0.8141753926221983,0.004709624142951197,0.00014819301997293107,-0.0001457691362940146,5.249185043471929,0.0034582654850602713,0.0027362850307281286
odd_moment,angular_vector_and_third,shockley_112,quasistatic_unload,4,0.0,0.0,stable_local_equilibrium,4.5003022939975816e-15,3,0.8113694616174518,4.186252367918868e-17,-1.0735004612910418e-15,-1.0735004612910418e-15,5.470460261672052,-3.557663925717696e-15,2.4322067624718478e-17
even_moment,angular_even_odd,direct_110,quasistatic_unload,0,0.0,0.0,stable_local_equilibrium,8.881531738686165e-16,1,0.816496580927726,0.0,3.0059387745587798e-40,3.0059387745587798e-40,4.723978381524975,0.0,0.0
even_moment,angular_even_odd,direct_110,quasistatic_unload,1,0.5,0.2,stable_local_equilibrium,1.9186041644303486e-15,3,0.8193502742530521,0.005547710199237148,0.0001627436870159995,-0.0001592565002059251,4.5716297411307805,0.00349504626471747,0.005547710199237148
even_moment,angular_even_odd,direct_110,quasistatic_unload,2,1.0,0.4,stable_local_equilibrium,1.4654943925052066e-14,3,0.8224049946441513,0.01147596099272564,0.0006813786352041156,-0.0006514671367436716,4.403853673724523,0.007236299397251548,0.01147596099272564
even_moment,angular_even_odd,direct_110,quasistatic_unload,3,0.5,0.2,stable_local_equilibrium,1.0269562977782698e-14,3,0.8193502742530524,0.0055477101992375405,0.00016274368701547914,-0.0001592565002064766,4.571629741130763,0.003495046264717878,0.0055477101992375405
even_moment,angular_even_odd,direct_110,quasistatic_unload,4,0.0,0.0,stable_local_equilibrium,1.7805542971148084e-16,3,0.8164965809277258,-9.082809049855722e-18,7.989476773354908e-16,7.989476773354908e-16,4.7239783815249865,-2.7194799110210365e-16,-9.082809049855722e-18
even_moment,angular_even_odd,shockley_112,quasistatic_unload,0,0.0,0.0,stable_local_equilibrium,8.881531738686165e-16,1,0.816496580927726,0.0,3.0059387745587798e-40,3.0059387745587798e-40,4.723978381524971,0.0,0.0
even_moment,angular_even_odd,shockley_112,quasistatic_unload,1,0.5,0.2,stable_local_equilibrium,1.2809198146612744e-14,3,0.8193509679411672,0.005642671241250725,0.00016440245632170605,-0.00016005286662399318,4.417697262414149,0.003495895855678872,0.003257797760084666
even_moment,angular_even_odd,shockley_112,quasistatic_unload,2,1.0,0.4,stable_local_equilibrium,1.2656542480726785e-14,3,0.8224113341775484,0.011894880100528893,0.0006965122261620771,-0.000658411448649236,4.09314670774429,0.007244063708266694,0.0068675122280186796
even_moment,angular_even_odd,shockley_112,quasistatic_unload,3,0.5,0.2,stable_local_equilibrium,1.6237011735142914e-15,3,0.8193509679411677,0.005642671241251718,0.00016440245632230578,-0.0001600528666234468,4.417697262414095,0.003495895855679416,0.0032577977600852398
even_moment,angular_even_odd,shockley_112,quasistatic_unload,4,0.0,0.0,stable_local_equilibrium,1.5055216557989143e-15,3,0.8164965809277258,-7.946898018161696e-17,8.89592020948787e-16,8.89592020948787e-16,4.72397838152499,-2.7194799110210365e-16,-4.588143710008159e-17
monotone_opening,angular_monotone_opening,direct_110,quasistatic_unload,0,0.0,0.0,stable_local_equilibrium,5.57124027183705e-15,1,0.8164965809270465,-3.17911157653278e-17,2.2134694413818707e-15,2.2134694413818707e-15,4.945211215251898,-8.322968267679883e-13,-3.17911157653278e-17
monotone_opening,angular_monotone_opening,direct_110,quasistatic_unload,1,0.5,0.2,stable_local_equilibrium,1.5508427875232655e-15,3,0.819353218886338,0.005278258056949717,0.0001592112942354208,-0.0001561342971032384,4.806114998475749,0.0034986526892326077,0.005278258056949717
monotone_opening,angular_monotone_opening,direct_110,quasistatic_unload,2,1.0,0.4,stable_local_equilibrium,1.6861512186494565e-15,3,0.8223940591506991,0.010870221908060322,0.0006634592233510718,-0.000637238293746732,4.653963069142843,0.007222906207729814,0.010870221908060322
monotone_opening,angular_monotone_opening,direct_110,quasistatic_unload,3,0.5,0.2,stable_local_equilibrium,6.869504964868156e-15,3,0.8193532188863382,0.005278258056949982,0.00015921129423677517,-0.00015613429710189782,4.8061149984757465,0.003498652689232744,0.005278258056949982
monotone_opening,angular_monotone_opening,direct_110,quasistatic_unload,4,0.0,0.0,stable_local_equilibrium,5.803338163566008e-16,3,0.8164965809270466,4.361796472078749e-18,2.2593784640059342e-15,2.2593784640059342e-15,4.945211215251889,-8.321608527724372e-13,4.361796472078749e-18
monotone_opening,angular_monotone_opening,shockley_112,quasistatic_unload,0,0.0,0.0,stable_local_equilibrium,5.5712402718338185e-15,1,0.8164965809270465,-4.3216771230546325e-17,2.2134694413818707e-15,2.2134694413818707e-15,4.945211215251899,-8.322968267679883e-13,-2.4951214503462397e-17
monotone_opening,angular_monotone_opening,shockley_112,quasistatic_unload,1,0.5,0.2,stable_local_equilibrium,1.1921019726912618e-14,3,0.8193537617447672,0.005362784623521137,0.0001606825957695161,-0.00015684362123770593,4.654556195220831,0.003499317552309537,0.0030962051459959145
monotone_opening,angular_monotone_opening,shockley_112,quasistatic_unload,2,1.0,0.4,stable_local_equilibrium,5.68295410730002e-15,3,0.8223989629423188,0.011239282728887271,0.0006766945391890933,-0.0006433667619896258,4.347860495835533,0.0072289121013665,0.006489002909021378
monotone_opening,angular_monotone_opening,shockley_112,quasistatic_unload,3,0.5,0.2,stable_local_equilibrium,9.020562075079397e-15,3,0.819353761744767,0.005362784623521738,0.0001606825957693212,-0.000156843621237909,4.654556195220816,0.003499317552309401,0.003096205145996262
monotone_opening,angular_monotone_opening,shockley_112,quasistatic_unload,4,0.0,0.0,stable_local_equilibrium,2.2112924717634008e-15,3,0.8164965809270468,-5.4540539568439636e-17,2.7395499604828362e-15,2.7395499604828362e-15,4.945211215251885,-8.318889047813351e-13,-3.148899520158606e-17
