result_folder,candidate,path,protocol,step,normal_traction_GPa,shear_traction_GPa,status,force_residual_ev_coordinate,substeps,a,s,energy_ev_cell,loaded_energy_ev_cell,min_hessian_eigenvalue,normal_strain,slip_over_period
.,linear,direct_110,quasistatic_unload,0,0.0,0.0,stable_local_equilibrium,2.55351295663786e-15,1,0.8119453681970724,4.273752616401591e-19,-1.6945155598909713e-15,-1.6945155598909713e-15,4.632629651760924,-1.177298450910227e-13,4.297708362781684e-19
.,linear,direct_110,quasistatic_unload,1,0.5,0.2,stable_local_equilibrium,8.881784197001252e-15,3,0.8147955487552265,0.005672405962259951,0.00016292001529646846,-0.0001584108559011534,4.417131500690317,0.003510310754511753,0.005704201606695552
.,linear,direct_110,quasistatic_unload,2,1.0,0.4,stable_local_equilibrium,1.2705114738054135e-14,3,0.8178897608919756,0.011920838831952914,0.000692315517347219,-0.0006525698795361688,4.1738465510548375,0.007321173231157739,0.011987658935344082
.,linear,direct_110,quasistatic_unload,3,0.5,0.2,stable_local_equilibrium,3.1780134079895106e-15,3,0.814795548755227,0.005672405962261821,0.00016292001529661336,-0.0001584108559010833,4.417131500690285,0.0035103107545123,0.005704201606697433
.,linear,direct_110,quasistatic_unload,4,0.0,0.0,stable_local_equilibrium,8.298917109073045e-15,3,0.8119453681970723,-1.0306957546801342e-16,-1.8886104021949168e-15,-1.8886104021949168e-15,4.632629651760932,-1.1786658126418301e-13,-1.0364731330897777e-16
.,linear,shockley_112,quasistatic_unload,0,0.0,0.0,stable_local_equilibrium,2.55351295663786e-15,1,0.8119453681970724,-1.0457546927602652e-16,-1.6945155598909713e-15,-1.6945155598909713e-15,4.632629651760931,-1.177298450910227e-13,-6.071510585745649e-17
.,linear,shockley_112,quasistatic_unload,1,0.5,0.2,stable_local_equilibrium,7.313594174718219e-15,3,0.8147972165827101,0.005810840803186046,0.00016535732519940807,-0.00015955408279472063,4.206481935401233,0.003512364867447045,0.003373695733126846
.,linear,shockley_112,quasistatic_unload,2,1.0,0.4,stable_local_equilibrium,3.1363800445660672e-15,3,0.8179062586909287,0.012569894893442818,0.0007164633318365674,-0.0006630864426494301,3.7411413938091926,0.007341492084616693,0.007297911301340331
.,linear,shockley_112,quasistatic_unload,3,0.5,0.2,stable_local_equilibrium,2.1479346079544825e-14,3,0.814797216582709,0.0058108408031808,0.0001653573251976745,-0.00015955408279625283,4.206481935401524,0.003512364867445678,0.0033736957331238007
.,linear,shockley_112,quasistatic_unload,4,0.0,0.0,stable_local_equilibrium,7.369967343494552e-15,3,0.8119453681970721,-1.59047641203736e-15,-1.904994728823889e-15,-1.904994728823889e-15,4.632629651761021,-1.1814005361050362e-13,-9.234091359011786e-16
