target,log_abs_u,log_abs_v,log_abs_A,log_abs_B,log_abs_D3,log_abs_D1,log_scalar_decay,log_angular_decay
normal_strain_force_ev,-33.06131107587331,316.739721517272,15.835871289845334,-298.032342138892,0.0,-0.0,-255.68590119567912,0.0
cohesive_ev_atom,-12.299594894298098,235.66943565273218,20.634242311797376,-194.16903092631978,0.0,-0.0,0.0,0.0
hydrostatic_strain_curvature_ev,34.84350041780417,-179.7458717180213,-4.519117234866222,167.83047437719966,0.0,-0.0,287.1288060983044,0.0
normal_strain_curvature_ev,43.38213866097793,-208.49706769884722,-7.533633633537671,195.61341096701398,0.0,-0.0,360.2338136226291,0.0
simple_shear_strain_curvature_ev,30.791500243819236,-91.43135594293308,-4.34376460827704,81.74999128307998,0.0,-0.0,236.72773252787593,0.0
intrinsic_fault_rigid,0.008115060259018715,-0.3079590632950997,-0.019907113264353102,0.37465810660614646,8.01304732264119,-5.713469760485859e-05,-0.1738189833508628,35.76710212215949
shockley_half_partial_rigid,11.157909209560234,-34.2866142659588,-1.6438520041552116,31.002892386484376,5.528293135592074,-0.02830274599583602,88.85700022311457,27.477092176009574
direct_half_registry_rigid,16.19850495573606,-41.04693858407347,-1.8537144331081805,35.19836424761417,3.0556437699690213,-0.24618029090883592,104.57670438221973,14.525864154823694
opening_20percent_rigid,-17.845341940076132,242.59321664496395,12.2296999007452,-221.04309771282146,9.148518192810421,-15.908151438993702,-104.5971030264101,-48.6125749273522
work_separation_rigid,-5.413046848814414,128.53007298291325,5.049260377912725,-88.4555596375781,1.8346328558836644,-31.53895319852565,13.00439126738274,10.375534279460089
local_normal_curvature_ev_L0sq,20.897465953977232,-94.41420104290245,-4.220047809316873,92.15372855758511,10.855895972914553,-14.401076101949602,179.13699977466527,-43.114599437556826
