target,log_abs_u,log_abs_v,log_abs_A,log_abs_B,log_abs_C,log_abs_D3,log_abs_D1,log_abs_D2,log_scalar_decay,log_angular_decay
normal_strain_force_ev,-29.425761772324936,64.56016982308367,29.704455587771115,-64.8388636385298,0.0,0.0,-0.0,0.0,-8.102494531181392,0.0
cohesive_ev_atom,-10.9470839926804,48.03584064217536,79.81670866544879,-87.11192625536383,20.206460940420108,0.0,-0.0,0.0,0.0,0.0
hydrostatic_strain_curvature_ev,31.011974699225593,-36.637097322448945,-5.853699646910543,21.510653390836765,8.103005662693672,0.0,-0.0,0.0,9.190651820696225,0.0
normal_strain_curvature_ev,38.6116713424434,-42.49737302846791,-7.121157013971812,21.22302376356602,5.2691676167243005,0.0,-0.0,7.382748354745442,7.6343146705272575,39.99516989992974
simple_shear_strain_curvature_ev,27.40554809540857,-18.6361970597006,-0.23110420806344742,0.5044540940546711,2.4183706571674947e-36,0.0,-0.0,8.200585271941902,1.0274011723340868,44.824285185379104
intrinsic_fault_rigid,0.0072226969281991345,-0.06277043286408662,-0.006704244319025645,0.014634035457268641,1.4777397720362282e-08,8.608881491284418,-2.4564249717409293e-06,0.0008541018590973499,0.02671557246396305,36.33006104347719
shockley_half_partial_rigid,9.930942470014465,-6.98854450292922,-0.08969616169908332,0.19579440501663734,5.279480791828748e-06,6.1270051860301775,-0.0015185453818170294,1.6364788319177768,0.3979976906571822,37.91163872689326
direct_half_registry_rigid,14.417254863288067,-8.366482463933604,-0.09607617756640947,0.20973991479997903,2.3113920851537225e-05,3.4405447666114823,-0.013063692314923324,1.588008921812469,0.42825136007948944,26.967127408757584
opening_20percent_rigid,-15.88299929997523,49.44709551900314,30.00094801543013,-64.63304121124276,0.7667418717564449,6.727664944228524,-0.650119509571746,2.518246635848718,-2.844804498350347,-4.619731326320029
work_separation_rigid,-4.817807335894942,26.19792459057816,37.32194213251588,-75.35629130160217,4.695009409321321,1.0357221945754311,-1.1318354649822953,22.10659722978533,28.468329083117794,-14.90387844674177
local_normal_curvature_ev_L0sq,18.599499983403543,-19.24418201746812,-1.748984820683452,4.50009479585851,0.6331685010526473,8.737733371769956,-0.6115956684376638,0.8250782530433353,4.81407444025653,-5.064856561581924
