target,log_u,log_v,log_A,log_B,log_D,log_scalar_decay
normal_strain_force_ev,-31.85751725121033,66.75488632996718,48.12485083087736,-82.6237188652712,0.0,-27.20569732943545
cohesive_ev_atom,-11.851754929774009,49.66881423360653,80.30095093109453,-68.93281828203511,0.0,0.0
hydrostatic_strain_curvature_ev,33.57481538178158,-37.88257177644108,-11.26305013807537,37.25816438083639,0.0,39.112013114311196
normal_strain_curvature_ev,41.8025536741319,-43.94206696809504,-17.233078336932593,41.240402033226474,0.0,39.01397357268291
simple_shear_strain_curvature_ev,29.67035239334475,-19.269732712172797,-6.737108285368245,11.566683975664471,0.0,15.83846705667785
intrinsic_fault_rigid,0.007819583187278122,-0.06490430744412495,-0.07053063394115452,0.12109272757645338,7.452063193436853,30.644410502100087
shockley_half_partial_rigid,10.751639108180589,-7.226119373332282,-2.573737371272988,4.422488791610901,5.385322880159152,31.43974204985883
direct_half_registry_rigid,15.608701962454553,-8.650900197317064,-2.843360820292947,4.898799364382584,3.0485863940302425,22.24943218975462
opening_20percent_rigid,-17.195576043691783,51.128044578606385,40.94830602185168,-68.01670425632395,4.898642086884362,-24.921512066579727
work_separation_rigid,-5.215952657527653,27.088520413084314,21.034901520930788,-33.55009268264947,0.6791128470406628,-0.6925391737540451
