target,log_abs_u,log_abs_v,log_abs_A,log_abs_B,log_abs_C,log_abs_D3,log_abs_D1,log_abs_D2,log_scalar_decay,log_angular_decay
normal_strain_force_ev,-23.322728496114937,35.223363039255666,20.22815924774783,-32.12879379088859,0.0,0.0,-0.0,0.0,-1.1475381973324872,0.0
cohesive_ev_atom,-8.676610303614181,26.207859404208087,57.93975251862158,-46.01343943772764,20.542437818512145,0.0,-0.0,0.0,0.0,0.0
hydrostatic_strain_curvature_ev,24.5799538389071,-19.988822570162217,-4.037676045540453,10.472733996208705,7.249561860164873,0.0,-0.0,0.0,2.340226137783654,0.0
normal_strain_curvature_ev,30.60343975013015,-23.186128575844855,-4.786471273722718,10.242305699788888,4.714195963713771,0.0,-0.0,5.066518115448794,1.7063743899175077,27.381817548248122
simple_shear_strain_curvature_ev,21.721516080429165,-10.167716976330427,-0.035148134822703965,0.05582649226862977,1.0694606565199466e-37,0.0,-0.0,5.628994915988239,0.07986580016455934,30.698575664833466
intrinsic_fault_rigid,0.005724677606291999,-0.03424690100663898,-0.001138059329007526,0.0018076030728466335,8.218518360781502e-10,8.391276091568558,-1.0077817993953568e-05,0.000576935116884025,0.0024690750782896897,35.24310451282127
shockley_half_partial_rigid,7.87122103178722,-3.812877828810407,-0.013673342014106983,0.02171777727817451,2.358283791303206e-07,5.987895861706597,-0.006348497139987344,1.1217836516117097,0.031041516228765505,34.442467692408954
direct_half_registry_rigid,11.427052371232225,-4.564666573775496,-0.014583283949985468,0.023163499031539213,1.026266492708397e-06,3.3670700796006283,-0.05456499904947893,1.0923614529129642,0.03317703745405376,23.33063761220285
opening_20percent_rigid,-12.58879492206389,26.977825514948574,21.05729075383092,-33.16553903039112,0.4900378902628769,6.361085965359511,-2.6592535130088213,1.7296071223911975,0.33538126660721707,-11.437869780547501
work_separation_rigid,-3.8185727632495072,14.293317555664727,39.370868918069604,-57.80614800326511,6.9215913114633745,0.9603961698536005,-4.582201162670402,14.785531878085193,10.900890635748075,-9.033375262857302
local_normal_curvature_ev_L0sq,14.74188133625134,-10.499427300955297,-0.7399091965409528,1.3867259214449572,0.37771545816607077,8.325036178550048,-2.5096788684279576,0.5661527949333699,1.2402763733780817,-10.374330144131589
