family,target,reference,prediction,absolute_error,relative_error,normalization_scale,normalized_residual,used_for_fit
sqrt,normal_strain_force_ev,0.0,-0.05922255213256026,-0.05922255213256026,,0.1,-0.5922255213256026,True
sqrt,cohesive_ev_atom,3.36,2.9984493235236536,-0.3615506764763463,-0.1076043679989126,0.0672,-5.38021839994563,True
sqrt,hydrostatic_strain_curvature_ev,74.01042469890372,65.52888269604648,-8.481542002857239,-0.11459928837542357,3.700521234945186,-2.2919857675084714,True
sqrt,normal_strain_curvature_ev,12.646038954154417,14.082109421228898,1.4360704670744813,0.1135589153473792,0.6323019477077209,2.271178306947584,True
sqrt,simple_shear_strain_curvature_ev,2.90236959603544,2.790823445409583,-0.11154615062585682,-0.038432786361263536,0.145118479801772,-0.7686557272252708,True
sqrt,intrinsic_fault_rigid,0.06943467959307983,-2.2112346480322046e-06,-0.06943689082772787,-1.0000318462569568,0.006943467959307984,-10.000318462569568,True
sqrt,shockley_half_partial_rigid,0.0717731071150184,0.04994253484635177,-0.02183057226866663,-0.30416089181819217,0.00717731071150184,-3.0416089181819217,True
sqrt,direct_half_registry_rigid,0.26732847628894085,0.27200996429910956,0.004681488010168711,0.017512118705635925,0.026732847628894087,0.17512118705635923,True
sqrt,opening_20percent_rigid,0.1829129464964322,0.16578797244524196,-0.017124974051190234,-0.09362363014322918,0.01829129464964322,-0.9362363014322916,True
sqrt,work_separation_rigid,0.7719163228888833,1.7170738346766916,0.9451575117878083,1.2244300110801813,0.07719163228888834,12.244300110801813,True
linear,normal_strain_force_ev,0.0,0.13679405782559106,0.13679405782559106,,0.1,1.3679405782559106,True
linear,cohesive_ev_atom,3.36,3.356232605524272,-0.0037673944757279365,-0.0011212483558714096,0.0672,-0.05606241779357049,True
linear,hydrostatic_strain_curvature_ev,74.01042469890372,70.0044498058898,-4.005974893013914,-0.054127170723737954,3.700521234945186,-1.082543414474759,True
linear,normal_strain_curvature_ev,12.646038954154417,14.123407645118856,1.4773686909644397,0.11682461965524008,0.6323019477077209,2.3364923931048014,True
linear,simple_shear_strain_curvature_ev,2.90236959603544,2.8123648789826055,-0.09000471705283442,-0.03101077036356034,0.145118479801772,-0.6202154072712067,True
linear,intrinsic_fault_rigid,0.06943467959307983,-0.00015706004935893877,-0.06959173964243877,-1.0022619827768973,0.006943467959307984,-10.022619827768974,True
linear,shockley_half_partial_rigid,0.0717731071150184,0.04961705976320076,-0.022156047351817643,-0.3086956694840027,0.00717731071150184,-3.086956694840027,True
linear,direct_half_registry_rigid,0.26732847628894085,0.2904042456202212,0.02307576933128036,0.08631990744726728,0.026732847628894087,0.8631990744726727,True
linear,opening_20percent_rigid,0.1829129464964322,0.1597005616928357,-0.023212384803596497,-0.12690400131982602,0.01829129464964322,-1.2690400131982602,True
linear,work_separation_rigid,0.7719163228888833,0.8020394655678588,0.030123142678975423,0.03902384466523533,0.07719163228888834,0.3902384466523533,True
quadratic,normal_strain_force_ev,0.0,0.13679405864743943,0.13679405864743943,,0.1,1.3679405864743943,True
quadratic,cohesive_ev_atom,3.36,3.3562326048554576,-0.0037673951445422738,-0.0011212485549232957,0.0672,-0.056062427746164795,True
quadratic,hydrostatic_strain_curvature_ev,74.01042469890372,70.00445002322813,-4.0059746756755885,-0.05412716778714725,3.700521234945186,-1.082543355742945,True
quadratic,normal_strain_curvature_ev,12.646038954154417,14.12340765780602,1.477368703651603,0.11682462065849203,0.6323019477077209,2.3364924131698404,True
quadratic,simple_shear_strain_curvature_ev,2.90236959603544,2.8123648722004173,-0.09000472383502256,-0.031010772700336524,0.145118479801772,-0.6202154540067304,True
quadratic,intrinsic_fault_rigid,0.06943467959307983,-0.00015706004805958034,-0.06959173964113942,-1.002261982758184,0.006943467959307984,-10.02261982758184,True
quadratic,shockley_half_partial_rigid,0.0717731071150184,0.04961705965320953,-0.022156047461808867,-0.3086956710164879,0.00717731071150184,-3.0869567101648787,True
quadratic,direct_half_registry_rigid,0.26732847628894085,0.2904042446895751,0.023075768400634245,0.08631990396598414,0.026732847628894087,0.8631990396598415,True
quadratic,opening_20percent_rigid,0.1829129464964322,0.15970056228256457,-0.02321238421386762,-0.12690399809573014,0.01829129464964322,-1.2690399809573014,True
quadratic,work_separation_rigid,0.7719163228888833,0.8020394658284161,0.030123142939532777,0.03902384500278144,0.07719163228888834,0.3902384500278144,True
signed_quadratic_exploratory,normal_strain_force_ev,0.0,0.0944986934051415,0.0944986934051415,,0.1,0.944986934051415,True
signed_quadratic_exploratory,cohesive_ev_atom,3.36,3.3600344697565614,3.446975656151707e-05,1.025885611949913e-05,0.0672,0.0005129428059749564,True
signed_quadratic_exploratory,hydrostatic_strain_curvature_ev,74.01042469890372,68.17550054984984,-5.834924149053876,-0.07883921991789768,3.700521234945186,-1.5767843983579533,True
signed_quadratic_exploratory,normal_strain_curvature_ev,12.646038954154417,14.251914907981874,1.6058759538274572,0.12698647850518463,0.6323019477077209,2.539729570103692,True
signed_quadratic_exploratory,simple_shear_strain_curvature_ev,2.90236959603544,2.844953931089258,-0.05741566494618189,-0.019782340961885133,0.145118479801772,-0.3956468192377026,True
signed_quadratic_exploratory,intrinsic_fault_rigid,0.06943467959307983,-0.00015534423906703388,-0.06959002383214687,-1.0022372716339647,0.006943467959307984,-10.022372716339648,True
signed_quadratic_exploratory,shockley_half_partial_rigid,0.0717731071150184,0.05072173900056957,-0.021051368114448833,-0.2933043999434695,0.00717731071150184,-2.933043999434695,True
signed_quadratic_exploratory,direct_half_registry_rigid,0.26732847628894085,0.2804893100008853,0.01316083371194443,0.049230945743765804,0.026732847628894087,0.492309457437658,True
