candidate,log_step,index,singular_value,condition_number,rank_at_relative_1e8,parameter_count,confidence_status
angular_independent_range,0.0001,6,0.5982461327254929,186.50237402832929,7,7,"local inverse curvature, not statistical confidence"
angular_quadratic,0.0004,0,185.79169678983686,7711.117541773765,8,8,"local inverse curvature, not statistical confidence"
angular_quadratic,0.0004,1,74.7124132009562,7711.117541773765,8,8,"local inverse curvature, not statistical confidence"
angular_quadratic,0.0004,2,44.81725522574855,7711.117541773765,8,8,"local inverse curvature, not statistical confidence"
angular_quadratic,0.0004,3,23.35535818094577,7711.117541773765,8,8,"local inverse curvature, not statistical confidence"
angular_quadratic,0.0004,4,15.453354385664039,7711.117541773765,8,8,"local inverse curvature, not statistical confidence"
angular_quadratic,0.0004,5,5.661078782095512,7711.117541773765,8,8,"local inverse curvature, not statistical confidence"
angular_quadratic,0.0004,6,2.0550073926717762,7711.117541773765,8,8,"local inverse curvature, not statistical confidence"
angular_quadratic,0.0004,7,0.024094003986236703,7711.117541773765,8,8,"local inverse curvature, not statistical confidence"
angular_quadratic,0.0002,0,185.79169287837675,7711.1050109115995,8,8,"local inverse curvature, not statistical confidence"
angular_quadratic,0.0002,1,74.71241167459411,7711.1050109115995,8,8,"local inverse curvature, not statistical confidence"
angular_quadratic,0.0002,2,44.81724900656343,7711.1050109115995,8,8,"local inverse curvature, not statistical confidence"
angular_quadratic,0.0002,3,23.35535783724121,7711.1050109115995,8,8,"local inverse curvature, not statistical confidence"
angular_quadratic,0.0002,4,15.453354305121636,7711.1050109115995,8,8,"local inverse curvature, not statistical confidence"
angular_quadratic,0.0002,5,5.661078749749654,7711.1050109115995,8,8,"local inverse curvature, not statistical confidence"
angular_quadratic,0.0002,6,2.0550073520712844,7711.1050109115995,8,8,"local inverse curvature, not statistical confidence"
angular_quadratic,0.0002,7,0.02409404263273191,7711.1050109115995,8,8,"local inverse curvature, not statistical confidence"
angular_quadratic,0.0001,0,185.79169190084076,7711.122287959067,8,8,"local inverse curvature, not statistical confidence"
angular_quadratic,0.0001,1,74.7124112919344,7711.122287959067,8,8,"local inverse curvature, not statistical confidence"
angular_quadratic,0.0001,2,44.81724745183119,7711.122287959067,8,8,"local inverse curvature, not statistical confidence"
angular_quadratic,0.0001,3,23.35535775377974,7711.122287959067,8,8,"local inverse curvature, not statistical confidence"
angular_quadratic,0.0001,4,15.453354285615312,7711.122287959067,8,8,"local inverse curvature, not statistical confidence"
angular_quadratic,0.0001,5,5.661078743241106,7711.122287959067,8,8,"local inverse curvature, not statistical confidence"
angular_quadratic,0.0001,6,2.0550073534495588,7711.122287959067,8,8,"local inverse curvature, not statistical confidence"
angular_quadratic,0.0001,7,0.024093988522391203,7711.122287959067,8,8,"local inverse curvature, not statistical confidence"
