target,log_u,log_v,log_A,log_B,log_C,log_D,log_scalar_decay,log_angular_decay
normal_strain_force_ev,-28.002502147894678,31.23882204820738,21.11238366326873,-24.63787284303631,0.0,0.0,-0.029784965405177385,0.0
cohesive_ev_atom,-10.41759752529974,23.243171166787928,62.647044035955105,-36.55413641514454,11.082370497716722,0.0,0.0,0.0
hydrostatic_strain_curvature_ev,29.5119934309459,-17.727644873842724,-4.2721554581922785,7.990588802271059,3.644234866374035,0.0,0.11534304004904446,0.0
normal_strain_curvature_ev,36.74410939864776,-20.563264892119903,-5.004797327716389,7.794629298646636,2.3697483557404895,0.0,0.07864033746718357,0.0
simple_shear_strain_curvature_ev,26.080001780199986,-9.01752342347125,-0.0009270142944915671,0.0010818134433237087,0.0,0.0,0.0006145275965172224,0.0
intrinsic_fault_rigid,0.006873350904944726,-0.030372819455194332,-3.233909736278054e-05,3.773930259687862e-05,0.0,7.529658541588011,2.1294432904580743e-05,31.210556973144154
shockley_half_partial_rigid,9.450604541658512,-3.3815570606545395,-0.00036123232407762255,0.0004215534126560331,7.734254996415253e-11,5.412299611447257,0.00023942923524583953,25.71377606413712
direct_half_registry_rigid,13.719923834078543,-4.0483018798795065,-0.00038408763003280877,0.0004482254588817812,3.218597794102982e-10,3.0551117142550095,0.0002546536197539132,15.497448334691823
opening_20percent_rigid,-15.114773423832103,23.926037089921962,22.67984351627504,-26.382904240604258,0.10127667630014053,5.254690025862199,0.2210365486010388,-14.022096591652875
work_separation_rigid,-4.584780551043137,12.676427378750246,108.33684710866397,-116.74149821652311,9.545937996851427,0.754029732601096,-1.2802740938632078,-5.061753480407977
