parts,block,nw,lo_cycles_ps,hi_cycles_ps,axis,scalar_eliminated_mobility_m2_J_s,full_projected_mobility_m2_J_s,full_to_scalar,covariance_condition,spectral_condition,drift_rescale_relative,diffusion_rescale_relative,spectral_rank,dimension,inversion_failure,wrong_unscaled_thermal_diffusion_factor,production_clock_calibrated
1,0,2.0,0.02,0.04,0,80109519432.47057,140093905196.1753,1.7487797478833886,6.075164549062631,59.48923996443184,9.741195795736763e-17,9.324591815045459e-17,15,15,,144,False
1,0,2.0,0.02,0.04,1,214480212122.64713,244746718901.2719,1.1411156137859346,6.075164549062631,59.48923996443184,9.741195795736763e-17,9.324591815045459e-17,15,15,,144,False
1,0,2.0,0.04,0.08,0,92221723482.7571,119962884480.85553,1.3008093966416194,6.075164549062631,37.991837879380554,8.366341884969445e-17,1.0089105701394817e-16,15,15,,144,False
1,0,2.0,0.04,0.08,1,211697822561.6664,241918873236.38602,1.142755604705931,6.075164549062631,37.991837879380554,8.366341884969445e-17,1.0089105701394817e-16,15,15,,144,False
1,0,2.0,0.08,0.16,0,79280594780.37802,90640033028.9384,1.143281445857314,6.075164549062631,20.488152376954286,9.083142868050011e-17,7.757011524606721e-17,15,15,,144,False
1,0,2.0,0.08,0.16,1,228619966731.29626,250949688746.6128,1.0976717927772306,6.075164549062631,20.488152376954286,9.083142868050011e-17,7.757011524606721e-17,15,15,,144,False
1,0,3.0,0.02,0.04,0,77756367975.48451,141106667960.52646,1.8147281262547577,6.075164549062631,66.49477964736698,9.261879861894693e-17,9.703829351150803e-17,15,15,,144,False
1,0,3.0,0.02,0.04,1,212646493406.24734,255472955556.79706,1.2013974529489773,6.075164549062631,66.49477964736698,9.261879861894693e-17,9.703829351150803e-17,15,15,,144,False
1,0,3.0,0.04,0.08,0,98094559597.67586,134297331353.09854,1.3690599346579913,6.075164549062631,41.626996228459156,7.324575157306062e-17,9.437220700350212e-17,15,15,,144,False
1,0,3.0,0.04,0.08,1,203655532206.21442,241321300809.46387,1.1849484185144081,6.075164549062631,41.626996228459156,7.324575157306062e-17,9.437220700350212e-17,15,15,,144,False
1,0,3.0,0.08,0.16,0,80408780999.82787,92066381349.08641,1.1449791951115824,6.075164549062631,20.66715068750614,9.36126847228574e-17,9.874893361256638e-17,15,15,,144,False
1,0,3.0,0.08,0.16,1,233834763434.2736,254855843815.99142,1.0898971567485791,6.075164549062631,20.66715068750614,9.36126847228574e-17,9.874893361256638e-17,15,15,,144,False
2,0,2.0,0.02,0.04,0,64520559446.2453,155634002609.5046,2.4121613939068465,6.353181580958677,128.8712750820893,6.032744059380256e-17,9.313424003187385e-17,15,15,,144,False
2,0,2.0,0.02,0.04,1,170755286704.59232,536695457353.51324,3.1430678821792477,6.353181580958677,128.8712750820893,6.032744059380256e-17,9.313424003187385e-17,15,15,,144,False
2,0,2.0,0.04,0.08,0,80468961138.42833,104260796161.0915,1.2956647468299585,6.353181580958677,59.483291617267334,1.0503126559807626e-16,9.28131715116195e-17,15,15,,144,False
2,0,2.0,0.04,0.08,1,176478891928.59033,236737659491.20447,1.3414502828304078,6.353181580958677,59.483291617267334,1.0503126559807626e-16,9.28131715116195e-17,15,15,,144,False
2,0,2.0,0.08,0.16,0,71783632986.98566,91887824061.16386,1.2800665031515344,6.353181580958677,24.235106488909544,1.0534160552165483e-16,5.945078069409228e-17,15,15,,144,False
2,0,2.0,0.08,0.16,1,203194799736.01883,282070433169.32324,1.3881774215470866,6.353181580958677,24.235106488909544,1.0534160552165483e-16,5.945078069409228e-17,15,15,,144,False
2,0,3.0,0.02,0.04,0,64007185258.939705,169984648383.75403,2.6557119750866214,6.353181580958677,186.89424517048064,1.03207706794281e-16,6.18706023472856e-17,15,15,,144,False
2,0,3.0,0.02,0.04,1,157487239246.98068,687015073545.497,4.3623539077225155,6.353181580958677,186.89424517048064,1.03207706794281e-16,6.18706023472856e-17,15,15,,144,False
2,0,3.0,0.04,0.08,0,80000062538.08723,119691015742.89667,1.4961365272172502,6.353181580958677,68.9881560946236,1.0731117164687795e-16,9.667824988118684e-17,15,15,,144,False
2,0,3.0,0.04,0.08,1,179867124777.3618,243314065381.78464,1.352743397010193,6.353181580958677,68.9881560946236,1.0731117164687795e-16,9.667824988118684e-17,15,15,,144,False
2,0,3.0,0.08,0.16,0,71667906927.29706,97770942232.72734,1.3642220963967917,6.353181580958677,28.58176492139976,9.390264708332229e-17,5.260718657363801e-17,15,15,,144,False
2,0,3.0,0.08,0.16,1,210115299152.94666,305137045678.14526,1.452236209872707,6.353181580958677,28.58176492139976,9.390264708332229e-17,5.260718657363801e-17,15,15,,144,False
2,1,2.0,0.02,0.04,0,126998333717.58632,291942895281.5244,2.2987931159060326,7.272038988813859,118.6183854817184,8.290804598119526e-17,7.814918864778346e-17,15,15,,144,False
2,1,2.0,0.02,0.04,1,294191557943.06476,428517354426.5769,1.4565929675980314,7.272038988813859,118.6183854817184,8.290804598119526e-17,7.814918864778346e-17,15,15,,144,False
2,1,2.0,0.04,0.08,0,81198425902.89784,125861894165.3374,1.5500533756140904,7.272038988813859,57.4693552420485,1.0407293089617794e-16,8.499234358229084e-17,15,15,,144,False
2,1,2.0,0.04,0.08,1,293000554521.46277,384798630726.4209,1.313303421404391,7.272038988813859,57.4693552420485,1.0407293089617794e-16,8.499234358229084e-17,15,15,,144,False
2,1,2.0,0.08,0.16,0,83662545842.32817,105644047207.07419,1.2627400486494007,7.272038988813859,29.04239919178821,1.2122407384822985e-16,1.0493905731026545e-16,15,15,,144,False
2,1,2.0,0.08,0.16,1,234429129931.57718,261254162469.4503,1.114427044735023,7.272038988813859,29.04239919178821,1.2122407384822985e-16,1.0493905731026545e-16,15,15,,144,False
2,1,3.0,0.02,0.04,0,152438705902.33917,432100997013.74554,2.834588462661011,7.272038988813859,182.30882608456815,9.504129147907642e-17,6.517772484169165e-17,15,15,,144,False
2,1,3.0,0.02,0.04,1,301290282486.90533,563111582661.1625,1.8690001483391234,7.272038988813859,182.30882608456815,9.504129147907642e-17,6.517772484169165e-17,15,15,,144,False
2,1,3.0,0.04,0.08,0,84172909549.40564,141423268684.52606,1.6801518379439775,7.272038988813859,71.82873423882137,1.0251843061648529e-16,7.388601882513753e-17,15,15,,144,False
2,1,3.0,0.04,0.08,1,323971695271.2429,422111516372.8108,1.302927146210724,7.272038988813859,71.82873423882137,1.0251843061648529e-16,7.388601882513753e-17,15,15,,144,False
2,1,3.0,0.08,0.16,0,83722676225.2028,109318208536.76859,1.3057180379986566,7.272038988813859,31.41358110349986,1.2258572810274502e-16,7.893982614015292e-17,15,15,,144,False
2,1,3.0,0.08,0.16,1,226251931091.11737,256389077563.4674,1.133201720431783,7.272038988813859,31.41358110349986,1.2258572810274502e-16,7.893982614015292e-17,15,15,,144,False
