model,state,step,gradient_max_error,hessian_max_error
tied_control,inspected039,4e-05,1.842632899595742e-07,1.3493606800807356e-06
tied_control,inspected039,2e-05,4.608250359083854e-08,3.374451225113262e-07
tied_control,inspected039,1e-05,1.1326277915557625e-08,8.394790285137788e-08
tied_control,heldout031,4e-05,1.6350134179887732e-07,1.1103582124860623e-06
tied_control,heldout031,2e-05,4.0939658774163945e-08,2.7777976185916486e-07
tied_control,heldout031,1e-05,1.0010233086887865e-08,6.935204766023162e-08
tied_control,heldout_off,4e-05,5.43127974816926e-08,4.904401169625316e-07
tied_control,heldout_off,2e-05,1.354991829849439e-08,1.2269539340081792e-07
tied_control,heldout_off,1e-05,3.410806526105148e-09,3.058574016279181e-08
tied_control,heldout_opening,4e-05,4.2162007218848885e-10,1.2630545498382162e-09
tied_control,heldout_opening,2e-05,3.859312869280984e-11,2.916094032912042e-10
tied_control,heldout_opening,1e-05,1.9164225761869602e-11,9.315703763945749e-11
