model,state,tolerance,finer_tolerance,energy_change,gradient_max_change,hessian_max_change
tied_control,inspected039,2e-11,2e-13,2.220446049250313e-16,1.865174681370263e-14,3.8191672047105385e-13
tied_control,heldout031,2e-11,2e-13,2.498001805406602e-16,2.0650148258027912e-14,4.476419235288631e-13
tied_control,heldout_off,2e-11,2e-13,1.4710455076283324e-15,8.049116928532385e-15,1.0125233984581428e-13
tied_control,heldout_opening,2e-11,2e-13,2.7977620220553945e-14,1.1157741397482823e-14,2.864375403532904e-14
