set,path,s_over_b,s_angstrom,energy_ev_cell,energy_J_m2,relaxation
linear_profile,direct_110,0.0,0.0,0.0,0.0,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.016666666666666666,0.04772970775250488,0.0006039660684289262,0.001362423891949937,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.03333333333333333,0.09545941550500976,0.0024395645660252995,0.005503158578681772,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.05,0.14318912325751465,0.005576597873583583,0.012579663951206842,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.06666666666666667,0.19091883101001952,0.010127109512489303,0.022844687272084,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.08333333333333333,0.23864853876252437,0.016239065075623255,0.0366320086482847,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.1,0.2863782465150293,0.024087751136104008,0.05433703872891376,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.11666666666666667,0.33410795426753415,0.033865142708070534,0.07639283387192308,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.13333333333333333,0.38183766202003905,0.045767566935864784,0.10324226795065054,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.15000000000000002,0.4295673697725439,0.05998206923731525,0.1353072771622607,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.16666666666666666,0.47729707752504874,0.07667196570609497,0.172956269203131,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.18333333333333335,0.5250267852775536,0.09596213843311868,0.21647095252218396,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.2,0.5727564930300586,0.11792469354819457,0.26601398379690844,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.21666666666666667,0.6204862007825633,0.1425656491906463,0.32159893871843725,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.23333333333333334,0.6682159085350683,0.16981334565641548,0.38306416765444384,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.25,0.7159456162875731,0.1995092659404406,0.45005208867066837,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.26666666666666666,0.7636753240400781,0.2314019157550108,0.5219953821043398,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.2833333333333334,0.8114050317925828,0.26514433326163134,0.59811137302872,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.30000000000000004,0.8591347395450878,0.3002956778884076,0.6774056153000831,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.31666666666666665,0.9068644472975926,0.3363271854339487,0.7586853250538381,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.3333333333333333,0.9545941550500975,0.37263257749165746,0.8405828622361817,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.35000000000000003,1.0023238628026023,0.408542785271799,0.92158894453451,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.3666666666666667,1.0500535705551073,0.44334460315317425,1.0000947259738788,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.38333333333333336,1.0977832783076122,0.4763026410185537,1.074441316894769,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.4,1.1455129860601172,0.5066837141589524,1.1429748025874815,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.4166666666666667,1.1932426938126217,0.533782613680019,1.2041043760568835,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.43333333333333335,1.2409724015651267,0.5569480565307847,1.2563608759784484,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.45,1.2887021093176316,0.5756075374876501,1.298452847689952,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.4666666666666667,1.3364318170701366,0.5892898063140848,1.3293172470654113,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.4833333333333334,1.3841615248226415,0.5976437767515166,1.348162095330161,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.5,1.4318912325751463,0.6004528381583587,1.3544987631906444,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.5166666666666667,1.4796209403276512,0.5976437767515166,1.348162095330161,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.5333333333333333,1.5273506480801562,0.5892898063140848,1.3293172470654113,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.55,1.575080355832661,0.5756075374876437,1.2984528476899373,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.5666666666666668,1.6228100635851657,0.5569480565307852,1.2563608759784493,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.5833333333333334,1.6705397713376706,0.5337826136800201,1.204104376056886,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.6000000000000001,1.7182694790901756,0.5066837141589524,1.1429748025874815,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.6166666666666667,1.7659991868426805,0.4763026410185477,1.0744413168947553,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.6333333333333333,1.8137288945951853,0.44334460315317126,1.0000947259738722,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.65,1.86145860234769,0.408542785271799,0.92158894453451,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.6666666666666666,1.909188310100195,0.37263257749165923,0.8405828622361858,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.6833333333333333,1.9569180178526997,0.33632718543395046,0.7586853250538421,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.7000000000000001,2.0046477256052047,0.3002956778884026,0.6774056153000719,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.7166666666666667,2.0523774333577096,0.26514433326163034,0.5981113730287176,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.7333333333333334,2.1001071411102146,0.23140191575500801,0.5219953821043336,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.75,2.1478368488627195,0.1995092659404436,0.4500520886706752,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.7666666666666667,2.1955665566152245,0.16981334565641648,0.3830641676544461,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.7833333333333334,2.2432962643677294,0.14256564919064463,0.3215989387184335,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.8,2.2910259721202344,0.11792469354819585,0.26601398379691127,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.8166666666666667,2.3387556798727385,0.09596213843311757,0.21647095252218143,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.8333333333333334,2.3864853876252434,0.07667196570609086,0.17295626920312174,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.85,2.4342150953777484,0.05998206923731364,0.13530727716225707,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.8666666666666667,2.4819448031302533,0.0457675669358632,0.10324226795064699,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.8833333333333334,2.5296745108827583,0.033865142708071866,0.07639283387192608,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.9,2.5774042186352633,0.024087751136128877,0.054337038728969854,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.9166666666666667,2.625133926387768,0.016239065075626585,0.03663200864829221,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.9333333333333333,2.672863634140273,0.010127109512489303,0.022844687272084,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.9500000000000001,2.720593341892778,0.005576597873580717,0.012579663951200378,rigid half crystals; fixed interface spacing
linear_profile,direct_110,0.9666666666666668,2.768323049645283,0.002439564566028611,0.005503158578689242,rigid half crystals; fixed interface spacing
