set,a_reduced_L0,opening_angstrom,energy_ev_cell,energy_J_m2,traction_GPa,work_separation_limit_J_m2
linear_profile,0.8164965813111367,0.0,0.0,0.0,1.119386036069675e-13,12.75507354463629
linear_profile,0.8573214103766935,0.11691342956579948,0.01686823784188274,0.03805129369379388,5.52637210567466,12.75507354463629
linear_profile,0.8981462394422504,0.23382685913159895,0.051175872711393566,0.11544229935757777,7.4151367531208505,12.75507354463629
linear_profile,0.9389710685078072,0.3507402886973984,0.09249358949692699,0.2086466157124063,8.533021522919322,12.75507354463629
linear_profile,0.979795897573364,0.4676537182631979,0.14033115336749447,0.316558373271038,10.031694898352914,12.75507354463629
linear_profile,1.020620726638921,0.5845671478289973,0.19764805770977034,0.44585358366532063,12.19532268078316,12.75507354463629
linear_profile,1.0614455557044777,0.7014805773947967,0.2677130405507988,0.6039058511709958,14.916305958179672,12.75507354463629
linear_profile,1.1022703847700344,0.8183940069605956,0.35280382831060564,0.7958532606179629,17.94928816647254,12.75507354463629
linear_profile,1.1430952138355912,0.9353074365263951,0.4538603198606772,1.0238160315772666,21.037116371699547,12.75507354463629
linear_profile,1.183920042901148,1.0522208660921946,0.5705873866507467,1.2871284144164383,23.96557731426492,12.75507354463629
linear_profile,1.224744871966705,1.169134295657994,0.7017328559792979,1.5829657636883734,26.58044265924051,12.75507354463629
linear_profile,1.2655697010322617,1.2860477252237936,0.8453998798573892,1.90704917838419,28.78604471723285,12.75507354463629
linear_profile,1.3063945300978186,1.4029611547895928,0.9993283249371956,2.2542802600457104,30.53601574040571,12.75507354463629
linear_profile,1.3472193591633754,1.5198745843553922,1.1611207049833112,2.6192507701998125,31.821792418675674,12.75507354463629
linear_profile,1.3880441882289323,1.6367880139211919,1.328409059729612,2.9966190749196957,32.66161689547096,12.75507354463629
linear_profile,1.4288690172944891,1.7537014434869913,1.4989688172197333,3.381366994971224,33.091182012015416,12.75507354463629
linear_profile,1.469693846360046,1.8706148730527907,1.6707892241039488,3.768958682154164,33.15623500538343,12.75507354463629
