a_reduced_L0,s_reduced_L0,a_over_b,s_over_b,energy_ev_cell
0.7756717522455798,0.0,0.7756717518813397,0.0,0.03326525174288708
0.7756717522455798,0.041666666686232506,0.7756717518813397,0.041666666666666664,0.04703981548971825
0.7756717522455798,0.08333333337246501,0.7756717518813397,0.08333333333333333,0.09017093351013461
0.7756717522455798,0.12500000005869752,0.7756717518813397,0.125,0.1673940048619249
0.7756717522455798,0.16666666674493003,0.7756717518813397,0.16666666666666666,0.284419661176913
0.7756717522455798,0.20833333343116253,0.7756717518813397,0.20833333333333334,0.445057619171612
0.7756717522455798,0.25000000011739504,0.7756717518813397,0.25,0.648026508807293
0.7756717522455798,0.2916666668036275,0.7756717518813397,0.29166666666666663,0.8843092967531136
0.7756717522455798,0.33333333348986005,0.7756717518813397,0.3333333333333333,1.1360261272926229
0.7756717522455798,0.3750000001760926,0.7756717518813397,0.375,1.3776183975809566
0.7756717522455798,0.41666666686232506,0.7756717518813397,0.4166666666666667,1.5795820265381657
0.7756717522455798,0.45833333354855754,0.7756717518813397,0.4583333333333333,1.7141399043906933
0.7756717522455798,0.5000000002347901,0.7756717518813397,0.5,1.7614023101030094
0.7756717522455798,0.5416666669210226,0.7756717518813397,0.5416666666666667,1.714139904390696
0.7756717522455798,0.583333333607255,0.7756717518813397,0.5833333333333333,1.5795820265381613
0.7756717522455798,0.6250000002934876,0.7756717518813397,0.625,1.3776183975809824
0.7756717522455798,0.6666666669797201,0.7756717518813397,0.6666666666666666,1.1360261272926255
0.7756717522455798,0.7083333336659526,0.7756717518813397,0.7083333333333334,0.8843092967531172
0.7756717522455798,0.7500000003521852,0.7756717518813397,0.75,0.648026508807293
0.7756717522455798,0.7916666670384176,0.7756717518813397,0.7916666666666666,0.44505761917160935
0.7756717522455798,0.8333333337246501,0.7756717518813397,0.8333333333333334,0.2844196611769112
0.7756717522455798,0.8750000004108827,0.7756717518813397,0.875,0.1673940048619258
0.7756717522455798,0.9166666670971151,0.7756717518813397,0.9166666666666666,0.09017093351013639
0.7756717522455798,0.9583333337833476,0.7756717518813397,0.9583333333333333,0.047039815489716474
0.7756717522455798,1.0000000004695802,0.7756717518813397,1.0,0.033265251742884416
0.8233007194887295,0.0,0.8233007191021239,0.0,0.000611729850626741
0.8233007194887295,0.041666666686232506,0.8233007191021239,0.041666666666666664,0.0035157268007780518
0.8233007194887295,0.08333333337246501,0.8233007191021239,0.08333333333333333,0.01301622551278836
0.8233007194887295,0.12500000005869752,0.8233007191021239,0.125,0.031211647037767687
0.8233007194887295,0.16666666674493003,0.8233007191021239,0.16666666666666666,0.06075706902557798
0.8233007194887295,0.20833333343116253,0.8233007191021239,0.20833333333333334,0.10377129712428257
0.8233007194887295,0.25000000011739504,0.8233007191021239,0.25,0.16064877778830772
0.8233007194887295,0.2916666668036275,0.8233007191021239,0.29166666666666663,0.22909739418979247
0.8233007194887295,0.33333333348986005,0.8233007191021239,0.3333333333333333,0.30373886149342244
0.8233007194887295,0.3750000001760926,0.8233007191021239,0.375,0.3765217574775127
0.8233007194887295,0.41666666686232506,0.8233007191021239,0.4166666666666667,0.43799376520220407
0.8233007194887295,0.45833333354855754,0.8233007191021239,0.4583333333333333,0.4791997275276617
0.8233007194887295,0.5000000002347901,0.8233007191021239,0.5,0.4937139724205469
0.8233007194887295,0.5416666669210226,0.8233007191021239,0.5416666666666667,0.4791997275276627
0.8233007194887295,0.583333333607255,0.8233007191021239,0.5833333333333333,0.43799376520220556
0.8233007194887295,0.6250000002934876,0.8233007191021239,0.625,0.37652175747751443
0.8233007194887295,0.6666666669797201,0.8233007191021239,0.6666666666666666,0.3037388614934242
0.8233007194887295,0.7083333336659526,0.8233007191021239,0.7083333333333334,0.22909739418979047
0.8233007194887295,0.7500000003521852,0.8233007191021239,0.75,0.16064877778830686
0.8233007194887295,0.7916666670384176,0.8233007191021239,0.7916666666666666,0.10377129712427807
0.8233007194887295,0.8333333337246501,0.8233007191021239,0.8333333333333334,0.06075706902557748
0.8233007194887295,0.8750000004108827,0.8233007191021239,0.875,0.031211647037767132
0.8233007194887295,0.9166666670971151,0.8233007191021239,0.9166666666666666,0.013016225512786583
0.8233007194887295,0.9583333337833476,0.8233007191021239,0.9583333333333333,0.0035157268007767195
0.8233007194887295,1.0000000004695802,0.8233007191021239,1.0,0.0006117298506247426
0.8709296867318791,0.0,0.8709296863229078,0.0,0.027189087740016937
0.8709296867318791,0.041666666686232506,0.8709296863229078,0.041666666666666664,0.02663381646939289
0.8709296867318791,0.08333333337246501,0.8709296863229078,0.08333333333333333,0.02535063281438532
0.8709296867318791,0.12500000005869752,0.8709296863229078,0.125,0.02438401117705702
0.8709296867318791,0.16666666674493003,0.8709296863229078,0.16666666666666666,0.025149562659278146
0.8709296867318791,0.20833333343116253,0.8709296863229078,0.20833333333333334,0.02901423679734627
0.8709296867318791,0.25000000011739504,0.8709296863229078,0.25,0.03684085462309383
0.8709296867318791,0.2916666668036275,0.8709296863229078,0.29166666666666663,0.04861402858454067
