set,observable,prediction,reference,absolute_error,relative_error,normalized_residual,used_for_fit
square_profile,normal_strain_force_ev,0.0046922712905202585,0.0,0.0046922712905202585,,0.046922712905202585,True
square_profile,cohesive_ev_atom,3.361397675914809,3.36,0.0013976759148093265,0.0004159749746456329,0.020798748732281647,True
square_profile,hydrostatic_strain_curvature_ev,65.70870708655833,74.01042469890372,8.301717612345385,-0.11216957132889355,-2.2433914265778707,True
square_profile,normal_strain_curvature_ev,14.118322616940645,12.646038954154417,1.4722836627862286,0.11642251523371759,2.3284503046743517,True
square_profile,simple_shear_strain_curvature_ev,2.803216882225219,2.90236959603544,0.09915271381022084,-0.03416267657491342,-0.6832535314982683,True
linear_profile,normal_strain_force_ev,-1.1584596393277025e-08,0.0,1.1584596393277025e-08,,-1.1584596393277025e-07,True
linear_profile,cohesive_ev_atom,3.3600000056783923,3.36,5.67839242293644e-09,1.6899977449215596e-09,8.449988724607798e-08,True
linear_profile,hydrostatic_strain_curvature_ev,74.01042236075796,74.01042469890372,2.3381457623372626e-06,-3.1592113838685976e-08,-6.318422767737195e-07,True
linear_profile,normal_strain_curvature_ev,12.64603926924832,12.646038954154417,3.150939029694655e-07,2.49164109103074e-08,4.98328218206148e-07,True
linear_profile,simple_shear_strain_curvature_ev,2.9023695847544886,2.90236959603544,1.1280951284220464e-08,-3.886807283135113e-09,-7.773614566270226e-08,True
linear_historical_box,normal_strain_force_ev,0.018556002252802628,0.0,0.018556002252802628,,0.18556002252802628,True
linear_historical_box,cohesive_ev_atom,3.3582787114107253,3.36,0.001721288589274561,-0.0005122882706174289,-0.025614413530871447,True
linear_historical_box,hydrostatic_strain_curvature_ev,72.87533046435283,74.01042469890372,1.1350942345508912,-0.01533695069537555,-0.306739013907511,True
linear_historical_box,normal_strain_curvature_ev,13.113089748873367,12.646038954154417,0.4670507947189506,0.03693257599570475,0.738651519914095,True
linear_historical_box,simple_shear_strain_curvature_ev,2.8291464557524915,2.90236959603544,0.0732231402829484,-0.025228744258818478,-0.5045748851763695,True
legacy_unidentified,normal_strain_force_ev,6.319902978280112e-06,0.0,6.319902978280112e-06,,6.319902978280112e-05,False
legacy_unidentified,cohesive_ev_atom,3.359999995991696,3.36,4.0083039110072605e-09,-1.1929475925616848e-09,-5.964737962808424e-08,False
legacy_unidentified,hydrostatic_strain_curvature_ev,74.01026574857177,74.01042469890372,0.00015895033195079122,-2.147674906574961e-06,-4.295349813149922e-05,False
legacy_unidentified,normal_strain_curvature_ev,12.646016528232874,12.646038954154417,2.2425921542890137e-05,-1.7733554059251795e-06,-3.546710811850359e-05,False
legacy_unidentified,simple_shear_strain_curvature_ev,1.929157281154466,2.90236959603544,0.9732123148809739,-0.335316465625314,-6.706329312506279,False
