set,log_step,mode,singular_value,condition_number,right_vector_0,right_vector_1,right_vector_2,right_vector_3,right_vector_4
square_profile,0.0004,1,551.9647511418658,20613.498235576375,0.08240803848576149,0.9956386541845026,-0.004083740403816043,-0.04354203200260966,
square_profile,0.0004,2,56.52949211946316,20613.498235576375,-0.0061562913180913436,-0.04320060828933613,-0.004765802937534032,-0.9990360827532704,
square_profile,0.0004,3,2.3138814575472644,20613.498235576375,-0.031332428363780813,-0.0012868107651407364,-0.9994956005896534,0.00501671733422066,
square_profile,0.0004,4,0.026776859746650967,20613.498235576375,-0.9960869912828721,0.0826784243630637,0.03113124778422869,0.002414405366444396,
square_profile,0.0002,1,551.9631672312407,20613.514853129927,0.08240827330400768,0.995638629185805,-0.0040837533421501145,-0.04354215799318332,
square_profile,0.0002,2,56.52949084773309,20613.514853129927,-0.006156306382399817,-0.0432007328974115,-0.004765797663878744,-0.9990360772972515,
square_profile,0.0002,3,2.3138807869444076,20613.514853129927,-0.03133237722223089,-0.001286820198455264,-0.9994956022033678,0.005016712818966613,
square_profile,0.0002,4,0.02677676132207174,20613.514853129927,-0.9960869733714929,0.08267866014827668,0.031131195084589287,0.0024144001965657838,
square_profile,0.0001,1,551.962771250463,20613.489992839382,0.08240833200926741,0.9956386229428554,-0.004083754915392012,-0.043542189491296665,
square_profile,0.0001,2,56.52949053097644,20613.489992839382,-0.006156310149778882,-0.04320076405892606,-0.004765800814783557,-0.9990360759115052,
square_profile,0.0001,3,2.313881090456237,20613.489992839382,-0.03133235192232958,-0.001286821735613542,-0.9994956029782728,0.005016716050834796,
square_profile,0.0001,4,0.02677677440560532,20613.489992839382,-0.9960869692872232,0.08267871902128365,0.031131169516795915,0.0024143988300959597,
linear_profile,0.0004,1,6797.179107720186,1992.7031888172437,-0.2053359155575455,-0.9480011669910319,0.12082782896770938,-0.009371561588894683,0.2108168843952526
linear_profile,0.0004,2,1334.5485633663757,1992.7031888172437,0.2656412466268226,-0.2372069832131758,-0.8845862228892324,-0.003538306243128745,-0.3011017599897779
linear_profile,0.0004,3,133.73324406359515,1992.7031888172437,0.5981203546365224,-0.21122212084253017,0.445541047972758,0.13819352765856613,-0.6164681504513282
linear_profile,0.0004,4,3.977787103276498,1992.7031888172437,0.39530015515603695,-0.019863185919637816,0.05016261133125024,-0.8883058687747006,0.22746348520936258
linear_profile,0.0004,5,3.411034390803885,1992.7031888172437,-0.6109514862702162,-0.004159808944020349,0.043413557989144126,-0.4378525855079781,-0.6581195588648505
linear_profile,0.0002,1,6797.1825998461145,1992.704459240539,-0.2053358895763783,-0.9480011516033782,0.1208280258746321,-0.00937155635114012,0.2108168662734139
linear_profile,0.0002,2,1334.5459037280482,1992.704459240539,0.2656401304121868,-0.23720676997188056,-0.8845869859828942,-0.0035383947688172983,-0.301100669853561
linear_profile,0.0002,3,133.73279345683022,1992.704459240539,0.5981207463646737,-0.2112224202428732,0.44553947977490826,0.13819382738986588,-0.616468733990746
linear_profile,0.0002,4,3.9777849780361967,1992.704459240539,0.39530090410838814,-0.019863276122358317,0.050162575527257156,-0.8883054560536676,0.22746379543684794
linear_profile,0.0002,5,3.4110339685979634,1992.704459240539,-0.6109511122387213,-0.004159842137128333,0.04341359661805216,-0.43785332762312495,-0.6581194095950259
linear_profile,0.0001,1,6797.183473351606,1992.7049306507406,-0.2053358830808124,-0.948001147678171,0.1208280757140934,-0.009371555040746696,0.21081686174412106
linear_profile,0.0001,2,1334.5452466984232,1992.7049306507406,0.2656398495397292,-0.23720671656640072,-0.8845871780224375,-0.003538416919315583,-0.30110039527755894
linear_profile,0.0001,3,133.7326803388694,1992.7049306507406,0.5981208448645644,-0.21122249550300928,0.44553908496250055,0.13819390445545898,-0.6164688807021116
linear_profile,0.0001,4,3.977783639370311,1992.7049306507406,0.39530164925961897,-0.019863295347674934,0.05016252763639785,-0.8883049536704968,0.2274644712831866
linear_profile,0.0001,5,3.41103360000816,1992.7049306507406,-0.610950657980706,-0.004159868756208912,0.04341365210892369,-0.43785432236947786,-0.658119165651483
linear_historical_box,0.0004,1,804.902302993491,1670.7131336309428,-0.05364219400208005,-0.9939322662384892,-0.004886517455728816,-0.07327344056424939,0.06187317680301818
linear_historical_box,0.0004,2,282.4964516767866,1670.7131336309428,0.34071969257731616,-0.10480250548565634,-0.024007733177322133,0.5168792131698986,-0.7779370370888005
linear_historical_box,0.0004,3,44.6679807674328,1670.7131336309428,-0.5618669919225953,-0.010842644075012509,0.14815572989044465,0.770253868407248,0.26257718553144693
linear_historical_box,0.0004,4,1.4799238082283723,1670.7131336309428,0.7469029239157026,-0.031540157952432896,0.23325822527580006,0.31717234943688355,0.5349145181955538
linear_historical_box,0.0004,5,0.4817716978403142,1670.7131336309428,0.08645294527481664,-0.0016554394429386353,-0.9607498273414652,0.1832418097954218,0.1894870871057017
linear_historical_box,0.0002,1,804.8994075448339,1670.7048681305187,-0.05364287415359826,-0.9939320806787044,-0.004886496317758712,-0.07327437123726188,0.061874467462463945
linear_historical_box,0.0002,2,282.4961689824968,1670.7048681305187,0.3407194141421368,-0.1048042216977696,-0.02400780531975383,0.5168789393200237,-0.7779371075556811
linear_historical_box,0.0002,3,44.66798687132702,1670.7048681305187,-0.5618666256405593,-0.010842660072151816,0.14815580776300835,0.770254052586166,0.26257738443081813
linear_historical_box,0.0002,4,1.4799233248746433,1670.7048681305187,0.7469031448689746,-0.03154029447095319,0.23325959833375198,0.3171718653901899,0.534913889892201
linear_historical_box,0.0002,5,0.4817723482457427,1670.7048681305187,0.08645409218370177,-0.0016554936640815303,-0.960749480275026,0.1832422737434957,0.18948787441417314
linear_historical_box,0.0001,1,804.8986836602861,1670.7160649424045,-0.053643044206158,-0.9939320343160799,-0.0048864846115736806,-0.07327460392197616,0.061874790155718284
linear_historical_box,0.0001,2,282.4960982259118,1670.7160649424045,0.34071934458325803,-0.10480465102677083,-0.024007811228906505,0.5168788710442785,-0.7779371253629059
linear_historical_box,0.0001,3,44.66798815707546,1670.7160649424045,-0.5618665388033672,-0.010842662681950388,0.1481557913810046,0.7702541011081901,0.26257743704547787
linear_historical_box,0.0001,4,1.479920807214116,1670.7160649424045,0.7469038586350332,-0.03154033964939057,0.23325255492845698,0.3171731595507373,0.534915194597096
