set,strain_step,observable,value
square_profile,0.0016,normal_strain_force_ev,0.0046922712905202585
square_profile,0.0016,cohesive_ev_atom,3.361397675914809
square_profile,0.0016,hydrostatic_strain_curvature_ev,65.70870709016003
square_profile,0.0016,normal_strain_curvature_ev,14.118322616940645
square_profile,0.0016,simple_shear_strain_curvature_ev,2.803216882225219
square_profile,0.0008,normal_strain_force_ev,0.0046922712905202585
square_profile,0.0008,cohesive_ev_atom,3.361397675914809
square_profile,0.0008,hydrostatic_strain_curvature_ev,65.70870708655833
square_profile,0.0008,normal_strain_curvature_ev,14.118322616940645
square_profile,0.0008,simple_shear_strain_curvature_ev,2.803216882225219
square_profile,0.0004,normal_strain_force_ev,0.0046922712905202585
square_profile,0.0004,cohesive_ev_atom,3.361397675914809
square_profile,0.0004,hydrostatic_strain_curvature_ev,65.7087070952694
square_profile,0.0004,normal_strain_curvature_ev,14.118322616940645
square_profile,0.0004,simple_shear_strain_curvature_ev,2.803216882225219
linear_profile,0.0016,normal_strain_force_ev,-1.1584596393277025e-08
linear_profile,0.0016,cohesive_ev_atom,3.3600000056783923
linear_profile,0.0016,hydrostatic_strain_curvature_ev,74.01042206394561
linear_profile,0.0016,normal_strain_curvature_ev,12.64603926924832
linear_profile,0.0016,simple_shear_strain_curvature_ev,2.9023695847544886
linear_profile,0.0008,normal_strain_force_ev,-1.1584596393277025e-08
linear_profile,0.0008,cohesive_ev_atom,3.3600000056783923
linear_profile,0.0008,hydrostatic_strain_curvature_ev,74.01042236075796
linear_profile,0.0008,normal_strain_curvature_ev,12.64603926924832
linear_profile,0.0008,simple_shear_strain_curvature_ev,2.9023695847544886
linear_profile,0.0004,normal_strain_force_ev,-1.1584596393277025e-08
linear_profile,0.0004,cohesive_ev_atom,3.3600000056783923
linear_profile,0.0004,hydrostatic_strain_curvature_ev,74.01042191861211
linear_profile,0.0004,normal_strain_curvature_ev,12.64603926924832
linear_profile,0.0004,simple_shear_strain_curvature_ev,2.9023695847544886
linear_historical_box,0.0016,normal_strain_force_ev,0.018556002252802628
linear_historical_box,0.0016,cohesive_ev_atom,3.3582787114107253
linear_historical_box,0.0016,hydrostatic_strain_curvature_ev,72.87533043555979
linear_historical_box,0.0016,normal_strain_curvature_ev,13.113089748873367
linear_historical_box,0.0016,simple_shear_strain_curvature_ev,2.8291464557524915
linear_historical_box,0.0008,normal_strain_force_ev,0.018556002252802628
linear_historical_box,0.0008,cohesive_ev_atom,3.3582787114107253
linear_historical_box,0.0008,hydrostatic_strain_curvature_ev,72.87533046435283
linear_historical_box,0.0008,normal_strain_curvature_ev,13.113089748873367
linear_historical_box,0.0008,simple_shear_strain_curvature_ev,2.8291464557524915
linear_historical_box,0.0004,normal_strain_force_ev,0.018556002252802628
linear_historical_box,0.0004,cohesive_ev_atom,3.3582787114107253
linear_historical_box,0.0004,hydrostatic_strain_curvature_ev,72.8753304859263
linear_historical_box,0.0004,normal_strain_curvature_ev,13.113089748873367
linear_historical_box,0.0004,simple_shear_strain_curvature_ev,2.8291464557524915
legacy_unidentified,0.0016,normal_strain_force_ev,6.319902978280112e-06
legacy_unidentified,0.0016,cohesive_ev_atom,3.359999995991696
legacy_unidentified,0.0016,hydrostatic_strain_curvature_ev,74.01026573941724
legacy_unidentified,0.0016,normal_strain_curvature_ev,12.646016528232874
legacy_unidentified,0.0016,simple_shear_strain_curvature_ev,1.929157281154466
legacy_unidentified,0.0008,normal_strain_force_ev,6.319902978280112e-06
legacy_unidentified,0.0008,cohesive_ev_atom,3.359999995991696
legacy_unidentified,0.0008,hydrostatic_strain_curvature_ev,74.01026574857177
legacy_unidentified,0.0008,normal_strain_curvature_ev,12.646016528232874
legacy_unidentified,0.0008,simple_shear_strain_curvature_ev,1.929157281154466
legacy_unidentified,0.0004,normal_strain_force_ev,6.319902978280112e-06
legacy_unidentified,0.0004,cohesive_ev_atom,3.359999995991696
legacy_unidentified,0.0004,hydrostatic_strain_curvature_ev,74.01026575141248
legacy_unidentified,0.0004,normal_strain_curvature_ev,12.646016528232874
legacy_unidentified,0.0004,simple_shear_strain_curvature_ev,1.929157281154466
