set,observable,log_parameter_index,sensitivity
square_profile,normal_strain_force_ev,0,-20.507765730590034
square_profile,normal_strain_force_ev,1,-248.8131933477926
square_profile,normal_strain_force_ev,2,3.0759517822276368
square_profile,normal_strain_force_ev,3,20.554688443807922
square_profile,cohesive_ev_atom,0,-7.460740883110952
square_profile,cohesive_ev_atom,1,-91.55261432012391
square_profile,cohesive_ev_atom,2,0.0
square_profile,cohesive_ev_atom,3,57.48153996534304
square_profile,hydrostatic_strain_curvature_ev,0,21.833739315570142
square_profile,hydrostatic_strain_curvature_ev,1,263.5485573616422
square_profile,hydrostatic_strain_curvature_ev,2,-0.47426616683795986
square_profile,hydrostatic_strain_curvature_ev,3,-4.077130623769378
square_profile,normal_strain_curvature_ev,0,27.20613814369291
square_profile,normal_strain_curvature_ev,1,328.2642845605872
square_profile,normal_strain_curvature_ev,2,-0.857335646738204
square_profile,normal_strain_curvature_ev,3,-4.87768769016181
square_profile,simple_shear_strain_curvature_ev,0,19.391137212668156
square_profile,simple_shear_strain_curvature_ev,1,233.47896807414625
square_profile,simple_shear_strain_curvature_ev,2,-0.28403672834342025
square_profile,simple_shear_strain_curvature_ev,3,-0.07439061539110998
linear_profile,normal_strain_force_ev,0,980.3015998150144
linear_profile,normal_strain_force_ev,1,4447.28685777429
linear_profile,normal_strain_force_ev,2,-789.6985796747912
linear_profile,normal_strain_force_ev,3,33.93173290877627
linear_profile,normal_strain_force_ev,4,-1014.2333328399643
linear_profile,cohesive_ev_atom,0,818.3371100499106
linear_profile,cohesive_ev_atom,1,4376.3466803993515
linear_profile,cohesive_ev_atom,2,0.0
linear_profile,cohesive_ev_atom,3,55.09687173369566
linear_profile,cohesive_ev_atom,4,-823.4339813659835
linear_profile,hydrostatic_strain_curvature_ev,0,-440.01283665195064
linear_profile,hydrostatic_strain_curvature_ev,1,-1128.2246596623074
linear_profile,hydrostatic_strain_curvature_ev,2,690.1540613240452
linear_profile,hydrostatic_strain_curvature_ev,3,-8.097876954430307
linear_profile,hydrostatic_strain_curvature_ev,4,468.1107131082361
linear_profile,normal_strain_curvature_ev,0,-488.9513350178684
linear_profile,normal_strain_curvature_ev,1,-1051.3657995496185
linear_profile,normal_strain_curvature_ev,2,857.6490912546985
linear_profile,normal_strain_curvature_ev,3,-12.528357448348824
linear_profile,normal_strain_curvature_ev,4,521.4796930981934
linear_profile,simple_shear_strain_curvature_ev,0,-129.32104574869211
linear_profile,simple_shear_strain_curvature_ev,1,560.1109898698282
linear_profile,simple_shear_strain_curvature_ev,2,486.0055058182928
linear_profile,simple_shear_strain_curvature_ev,3,-5.168533688297227
linear_profile,simple_shear_strain_curvature_ev,4,154.4895794926286
linear_historical_box,normal_strain_force_ev,0,72.50791653430343
linear_historical_box,normal_strain_force_ev,1,59.10940608782055
linear_historical_box,normal_strain_force_ev,2,-8.012276549407282
linear_historical_box,normal_strain_force_ev,3,53.15084944610415
linear_historical_box,normal_strain_force_ev,4,-125.47320595661658
linear_historical_box,cohesive_ev_atom,0,77.25896353991124
linear_historical_box,cohesive_ev_atom,1,323.6959300905292
linear_historical_box,cohesive_ev_atom,2,0.0
linear_historical_box,cohesive_ev_atom,3,151.28685214159717
linear_historical_box,cohesive_ev_atom,4,-178.57142976192483
linear_historical_box,hydrostatic_strain_curvature_ev,0,-10.67021442305702
linear_historical_box,hydrostatic_strain_curvature_ev,1,332.182061770483
linear_historical_box,hydrostatic_strain_curvature_ev,2,4.681442887904417
linear_historical_box,hydrostatic_strain_curvature_ev,3,-10.589731951979566
linear_historical_box,hydrostatic_strain_curvature_ev,4,40.95320749243129
linear_historical_box,normal_strain_curvature_ev,0,-6.757348404776989
linear_historical_box,normal_strain_curvature_ev,1,452.75160910239947
linear_historical_box,normal_strain_curvature_ev,2,4.371944924654597
linear_historical_box,normal_strain_curvature_ev,3,-12.582879234809354
linear_historical_box,normal_strain_curvature_ev,4,40.07887929775483
linear_historical_box,simple_shear_strain_curvature_ev,0,19.337588342243215
linear_historical_box,simple_shear_strain_curvature_ev,1,466.1538682815792
linear_historical_box,simple_shear_strain_curvature_ev,2,0.6076339458288913
linear_historical_box,simple_shear_strain_curvature_ev,3,-0.11599684868256604
linear_historical_box,simple_shear_strain_curvature_ev,4,0.27383375122365655
legacy_unidentified,normal_strain_force_ev,0,-1.346628611720302
legacy_unidentified,normal_strain_force_ev,1,-130.0502396284986
legacy_unidentified,normal_strain_force_ev,2,1.0153227180564883
legacy_unidentified,normal_strain_force_ev,3,48.15432406028996
legacy_unidentified,normal_strain_force_ev,4,-46.80763224953476
legacy_unidentified,cohesive_ev_atom,0,6.560684439185254
legacy_unidentified,cohesive_ev_atom,1,-6.011801617798806
legacy_unidentified,cohesive_ev_atom,2,0.0
legacy_unidentified,cohesive_ev_atom,3,84.51506923015397
legacy_unidentified,cohesive_ev_atom,4,-41.07575339563246
legacy_unidentified,hydrostatic_strain_curvature_ev,0,10.652282793342506
legacy_unidentified,hydrostatic_strain_curvature_ev,1,192.45906717391253
legacy_unidentified,hydrostatic_strain_curvature_ev,2,14.175369058835905
legacy_unidentified,hydrostatic_strain_curvature_ev,3,-10.890531844424517
legacy_unidentified,hydrostatic_strain_curvature_ev,4,20.23820623091793
legacy_unidentified,normal_strain_curvature_ev,0,14.179410058405267
legacy_unidentified,normal_strain_curvature_ev,1,245.12275482053522
legacy_unidentified,normal_strain_curvature_ev,2,8.745300499683784
legacy_unidentified,normal_strain_curvature_ev,3,-16.306816726228952
legacy_unidentified,normal_strain_curvature_ev,4,22.12737133406458
legacy_unidentified,simple_shear_strain_curvature_ev,0,13.453393087883365
legacy_unidentified,simple_shear_strain_curvature_ev,1,194.3170108168205
legacy_unidentified,simple_shear_strain_curvature_ev,2,-0.5311610602491227
legacy_unidentified,simple_shear_strain_curvature_ev,3,-5.711269571169984
legacy_unidentified,simple_shear_strain_curvature_ev,4,5.55154725940122
