family,stage,decay,squared_loss,admissible,reason,u,v,A,B,independent_observation_count,parameter_count
square,equilibrium_cohesion,2.4743250873729026,1.0036316224731484e-28,False,NNLS boundary: missing positive LJ/square-root coefficient,0.5539124926335808,0.9298514886945987,0.0,0.0,2,4
square,equilibrium_cohesion,2.641007993244958,1.0036316224731484e-28,False,NNLS boundary: missing positive LJ/square-root coefficient,0.5539124926335808,0.9298514886945987,0.0,0.0,2,4
square,equilibrium_cohesion,2.818919492825956,1.0036316224731484e-28,False,NNLS boundary: missing positive LJ/square-root coefficient,0.5539124926335808,0.9298514886945987,0.0,0.0,2,4
square,equilibrium_cohesion,3.008816000314586,1.0036316224731484e-28,False,NNLS boundary: missing positive LJ/square-root coefficient,0.5539124926335808,0.9298514886945987,0.0,0.0,2,4
square,equilibrium_cohesion,3.211504885750919,1.0036316224731484e-28,False,NNLS boundary: missing positive LJ/square-root coefficient,0.5539124926335808,0.9298514886945987,0.0,0.0,2,4
square,equilibrium_cohesion,3.4278479076565915,1.0036316224731484e-28,False,NNLS boundary: missing positive LJ/square-root coefficient,0.5539124926335808,0.9298514886945987,0.0,0.0,2,4
square,equilibrium_cohesion,3.658764876914777,1.0036316224731484e-28,False,NNLS boundary: missing positive LJ/square-root coefficient,0.5539124926335808,0.9298514886945987,0.0,0.0,2,4
square,equilibrium_cohesion,3.9052375674674487,1.0036316224731484e-28,False,NNLS boundary: missing positive LJ/square-root coefficient,0.5539124926335808,0.9298514886945987,0.0,0.0,2,4
square,equilibrium_cohesion,4.168313890456728,1.0036316224731484e-28,False,NNLS boundary: missing positive LJ/square-root coefficient,0.5539124926335808,0.9298514886945987,0.0,0.0,2,4
square,equilibrium_cohesion,4.449112349557293,1.0036316224731484e-28,False,NNLS boundary: missing positive LJ/square-root coefficient,0.5539124926335808,0.9298514886945987,0.0,0.0,2,4
square,equilibrium_cohesion,4.7488267964422155,1.0036316224731484e-28,False,NNLS boundary: missing positive LJ/square-root coefficient,0.5539124926335808,0.9298514886945987,0.0,0.0,2,4
square,equilibrium_cohesion,5.068731506600775,1.0036316224731484e-28,False,NNLS boundary: missing positive LJ/square-root coefficient,0.5539124926335808,0.9298514886945987,0.0,0.0,2,4
square,equilibrium_cohesion,5.410186597088701,1.0036316224731484e-28,False,NNLS boundary: missing positive LJ/square-root coefficient,0.5539124926335808,0.9298514886945987,0.0,0.0,2,4
square,equilibrium_cohesion,5.774643809245191,1.0036316224731484e-28,False,NNLS boundary: missing positive LJ/square-root coefficient,0.5539124926335808,0.9298514886945987,0.0,0.0,2,4
square,equilibrium_cohesion,6.163652680962624,1.0036316224731484e-28,False,NNLS boundary: missing positive LJ/square-root coefficient,0.5539124926335808,0.9298514886945987,0.0,0.0,2,4
square,equilibrium_cohesion,6.57886713475121,1.0036316224731484e-28,False,NNLS boundary: missing positive LJ/square-root coefficient,0.5539124926335808,0.9298514886945987,0.0,0.0,2,4
square,equilibrium_cohesion,7.0220525096086375,1.0036316224731484e-28,False,NNLS boundary: missing positive LJ/square-root coefficient,0.5539124926335808,0.9298514886945987,0.0,0.0,2,4
square,equilibrium_cohesion,7.4950930665915765,1.0036316224731484e-28,False,NNLS boundary: missing positive LJ/square-root coefficient,0.5539124926335808,0.9298514886945987,0.0,0.0,2,4
square,equilibrium_cohesion,8.0,1.0036316224731484e-28,False,NNLS boundary: missing positive LJ/square-root coefficient,0.5539124926335808,0.9298514886945987,0.0,0.0,2,4
square,normal_hydro,0.35,10.99219432397804,True,positive pair and embedding coefficients,0.086563834030274,0.011522490056571513,3.8064782586097103,0.0,4,4
square,normal_hydro,0.37357774948527905,10.988971316734785,True,positive pair and embedding coefficients,0.08654302199301248,0.011442416879791917,3.806932886357712,0.0,4,4
square,normal_hydro,0.39874381402995984,10.985091752353192,True,positive pair and embedding coefficients,0.08651803844434841,0.011346192878630491,3.807479376070702,0.0,4,4
square,normal_hydro,0.42560519047568296,10.980425401219637,True,positive pair and embedding coefficients,0.08648807487213771,0.011230656212733848,3.808135761752899,0.0,4,4
square,normal_hydro,0.4542760835061691,10.974814305339873,True,positive pair and embedding coefficients,0.0864521720476078,0.01109204933302701,3.8089234869133097,0.0,4,4
square,normal_hydro,0.4848783912034896,10.968075116102991,True,positive pair and embedding coefficients,0.08640919951471815,0.010925925109730578,3.809867956870321,0.0,4,4
square,normal_hydro,0.5175422233138354,10.9599864176004,True,positive pair and embedding coefficients,0.08635782163904716,0.01072701703444684,3.810999279295156,0.0,4,4
square,normal_hydro,0.5524064544262582,10.950286088398649,True,positive pair and embedding coefficients,0.08629646705236894,0.010489106458399228,3.8123530399025696,0.0,4,4
square,normal_hydro,0.5896193144162969,10.938663229617422,True,positive pair and embedding coefficients,0.08622329075891418,0.01020486354038948,3.8139712272178308,0.0,4,4
square,normal_hydro,0.6293390186648382,10.924749519148834,True,positive pair and embedding coefficients,0.0861361317737559,0.009865666246486911,3.815903289119114,0.0,4,4
square,normal_hydro,0.6717344407316694,10.908109782191975,True,positive pair and embedding coefficients,0.08603246596234891,0.009461394926776872,3.818207337122411,0.0,4,4
square,normal_hydro,0.7169858303436848,10.888227919964118,True,positive pair and embedding coefficients,0.08590935141456695,0.008980194961830498,3.8209515390150703,0.0,4,4
square,normal_hydro,0.7652855797503654,10.864499475154584,True,positive pair and embedding coefficients,0.08576337398658289,0.008408220725108797,3.824215642704371,0.0,4,4
square,normal_hydro,0.8168390417047958,10.836207600011875,True,positive pair and embedding coefficients,0.08559057682425185,0.007729325525540192,3.8280928039725635,0.0,4,4
square,normal_hydro,0.8718654025479705,10.802512421334772,True,positive pair and embedding coefficients,0.0853863951653511,0.006924737221516962,3.832691540071595,0.0,4,4
square,normal_hydro,0.930598614108422,10.76242596708286,True,positive pair and embedding coefficients,0.0851455772669728,0.005972677707613985,3.838138013496398,0.0,4,4
square,normal_hydro,0.9932883883792686,10.714789458363157,True,positive pair and embedding coefficients,0.08486210370626825,0.004847946284478232,3.8445785639042365,0.0,4,4
square,normal_hydro,1.0602012592016772,10.658245110043213,True,positive pair and embedding coefficients,0.08452910057594383,0.0035214528455234056,3.852182567375669,0.0,4,4
square,normal_hydro,1.131621715468633,10.591203712131502,True,positive pair and embedding coefficients,0.0841387485081694,0.0019596983626564766,3.8611456512690006,0.0,4,4
square,normal_hydro,1.2078534106669794,10.511807515626128,True,positive pair and embedding coefficients,0.08368218865129301,0.00012419699521014626,3.8716933116716348,0.0,4,4
square,normal_hydro,1.2892204539002534,10.424518652067913,False,NNLS boundary: missing positive LJ/square-root coefficient,0.08381595218114556,0.0,3.8721021835606355,0.0,4,4
square,normal_hydro,1.3760687878812763,10.340018657018403,False,NNLS boundary: missing positive LJ/square-root coefficient,0.08402232696351428,0.0,3.8717250356160555,0.0,4,4
square,normal_hydro,1.4687676597532089,10.265037888690848,False,NNLS boundary: missing positive LJ/square-root coefficient,0.0842658688203415,0.0,3.871286003785313,0.0,4,4
square,normal_hydro,1.5677111909924681,10.209202362347114,False,NNLS boundary: missing positive LJ/square-root coefficient,0.08455279914929656,0.0,3.8707746323011976,0.0,4,4
square,normal_hydro,1.673320053068151,10.185934753729793,False,NNLS boundary: missing positive LJ/square-root coefficient,0.08489028196781857,0.0,3.8701785213118347,0.0,4,4
square,normal_hydro,1.7860432559822503,10.213510469942815,False,NNLS boundary: missing positive LJ/square-root coefficient,0.08528655003375407,0.0,3.869482988420324,0.0,4,4
square,normal_hydro,1.9063600572948836,10.316303592652794,False,NNLS boundary: missing positive LJ/square-root coefficient,0.08575104606084062,0.0,3.8686707253351638,0.0,4,4
square,normal_hydro,2.034781999751001,10.526221962610514,False,NNLS boundary: missing positive LJ/square-root coefficient,0.08629458089523964,0.0,3.8677214878557002,0.0,4,4
square,normal_hydro,2.1718550861718136,10.884314000065423,False,NNLS boundary: missing positive LJ/square-root coefficient,0.08692951069560956,0.0,3.8666118782537864,0.0,4,4
square,normal_hydro,2.3181621008577795,11.442507713105513,False,NNLS boundary: missing positive LJ/square-root coefficient,0.08766993536226562,0.0,3.865315305483558,0.0,4,4
square,normal_hydro,2.4743250873729026,12.265413950194134,False,NNLS boundary: missing positive LJ/square-root coefficient,0.08853192069790913,0.0,3.8638022402178005,0.0,4,4
square,normal_hydro,2.641007993244958,13.432092127247724,False,NNLS boundary: missing positive LJ/square-root coefficient,0.08953374697966394,0.0,3.86204091590861,0.0,4,4
square,normal_hydro,2.818919492825956,15.037639918442189,False,NNLS boundary: missing positive LJ/square-root coefficient,0.09069618695092517,0.0,3.8599986615828628,0.0,4,4
square,normal_hydro,3.008816000314586,17.19443274168107,False,NNLS boundary: missing positive LJ/square-root coefficient,0.09204281675026012,0.0,3.8576440812698705,0.0,4,4
square,normal_hydro,3.211504885750919,20.03281095580299,False,NNLS boundary: missing positive LJ/square-root coefficient,0.09360036421476338,0.0,3.8549503121438997,0.0,4,4
square,normal_hydro,3.4278479076565915,23.701001620380392,False,NNLS boundary: missing positive LJ/square-root coefficient,0.09539910075617483,0.0,3.8518995915974457,0.0,4,4
square,normal_hydro,3.658764876914777,28.364077484393842,False,NNLS boundary: missing positive LJ/square-root coefficient,0.09747328580249645,0.0,3.8484893321384415,0.0,4,4
square,normal_hydro,3.9052375674674487,34.20181049034922,False,NNLS boundary: missing positive LJ/square-root coefficient,0.09986167774194271,0.0,3.844739841447487,0.0,4,4
square,normal_hydro,4.168313890456728,41.40537784040247,False,NNLS boundary: missing positive LJ/square-root coefficient,0.1026081323701551,0.0,3.840703725513954,0.0,4,4
square,normal_hydro,4.449112349557293,50.17303098939938,False,NNLS boundary: missing positive LJ/square-root coefficient,0.1057623207173041,0.0,3.836476891701445,0.0,4,4
square,normal_hydro,4.7488267964422155,60.705036838357,False,NNLS boundary: missing positive LJ/square-root coefficient,0.10938061260010025,0.0,3.8322109329369503,0.0,4,4
square,normal_hydro,5.068731506600775,73.19843593559344,False,NNLS boundary: missing positive LJ/square-root coefficient,0.1135271916418834,0.0,3.8281265554083843,0.0,4,4
square,normal_hydro,5.410186597088701,87.84241877878252,False,NNLS boundary: missing positive LJ/square-root coefficient,0.11827549155076354,0.0,3.82452762927617,0.0,4,4
square,normal_hydro,5.774643809245191,104.81538837452632,False,NNLS boundary: missing positive LJ/square-root coefficient,0.12371007200618078,0.0,3.8218154085683245,0.0,4,4
square,normal_hydro,6.163652680962624,124.28506403343732,False,NNLS boundary: missing positive LJ/square-root coefficient,0.12992908438116488,0.0,3.8205024639480536,0.0,4,4
square,normal_hydro,6.57886713475121,146.4133365659071,False,NNLS boundary: missing positive LJ/square-root coefficient,0.13704750959492282,0.0,3.821225823678996,0.0,4,4
square,normal_hydro,7.0220525096086375,171.36812010543989,False,NNLS boundary: missing positive LJ/square-root coefficient,0.14520137600561936,0.0,3.8247585616352153,0.0,4,4
square,normal_hydro,7.4950930665915765,199.3453673205067,False,NNLS boundary: missing positive LJ/square-root coefficient,0.154553168296084,0.0,3.832018292710672,0.0,4,4
square,normal_hydro,8.0,230.60606783639682,False,NNLS boundary: missing positive LJ/square-root coefficient,0.16529858247889256,0.0,3.8440691756809215,0.0,4,4
square,normal_hydro,1.676271005418459,10.185916575694016,False,NNLS boundary: missing positive LJ/square-root coefficient,0.084900179337375,0.0,3.870161102072677,0.0,4,4
