channel,target,prediction,u,v,A,B,C,D3,D1,D2
bulk_modulus,79.33333333333333,77.22716437121662,790.2968536340405,-2519.059100370453,-0.0,1779.467808593172,26.52160251445716,0.0,-0.0,4.0719620330971535e-19
tetragonal_Cprime,26.0,16.816558644150646,98.66500628972692,62.03813244362825,0.0,-143.84973746200313,-7.88223797864405e-15,0.0,-0.0,-0.03684262720137345
C44,32.0,31.187466610876413,542.1439857817526,-1480.8210980312485,-0.0,978.1470732696732,1.7067727093051587e-15,0.0,-0.0,-8.282494409300853
