observable,role,validation_status,target,prediction,units,scale,normalized_residual
normal_strain_force_ev,exact,development_or_control,0.0,-2.7755575615628914e-16,eV/strain,0.1,-2.7755575615628914e-15
cohesive_ev_atom,exact,development_or_control,3.36,3.3600000000000017,eV/atom,0.0672,2.6433881538694204e-14
C11_GPa,exact,development_or_control,113.99999999999996,113.99999999999994,GPa,5.699999999999998,-2.4931324061757908e-15
C12_GPa,exact,development_or_control,62.000000000000014,62.000000000000085,GPa,3.100000000000001,2.2920733411616127e-14
C44_GPa,exact,development_or_control,32.0,31.999999999999876,GPa,1.6,-7.771561172376096e-14
perfect_Haa,fit,development_or_control,19.66091286328976,27.570197214154668,eV/L0^2,1.9660912863289761,4.022846958257404
perfect_Hxx,fit,development_or_control,4.393593035123306,4.45669314488474,eV/L0^2,0.43935930351233066,0.14361846729316655
saddle_energy_at_source_state,fit,development_or_control,0.07624909750742465,0.08779468048712366,eV/cell,0.007624909750742465,1.5141927389468157
saddle_normal_force_at_source_state,fit,development_or_control,1.4903612010162394e-15,0.11307166272033028,eV/L0,0.03173805605024358,3.5626524365994054
fault_energy_at_source_state,fit,development_or_control,0.06670794504308616,0.0772712972654101,eV/cell,0.006670794504308616,1.5835223548710944
fault_normal_force_at_source_state,fit,development_or_control,5.29078226360765e-15,-0.0952008855875531,eV/L0,0.03173805605024358,-2.999581494116989
saddle_path_force_at_source_state,fit,development_or_control,2.296700476743968e-16,-0.02558593615653122,eV/L0,0.03173805605024358,-0.8061595239490127
opening_1.1h_energy,fit,development_or_control,0.05670265774764735,0.05919479683854173,eV/cell,0.005670265774764736,0.43951010232810134
opening_1.5h_energy,fit,development_or_control,0.4710312483934004,0.4248526506184875,eV/cell,0.04710312483934004,-0.9803722774745725
opening_2h_energy,fit,development_or_control,0.7060534019484034,0.6499029012166638,eV/cell,0.07060534019484034,-0.7952727170039595
opening_40h_energy,fit,development_or_control,0.7719163228888833,0.86040362464743,eV/cell,0.07719163228888834,1.1463328230627965
direct_quarter_energy,fit,development_or_control,0.117221996542065,0.10710131782280632,eV/cell,0.0117221996542065,-0.8633770979687143
direct_half_energy,fit,development_or_control,0.26732847628894163,0.2742481530935835,eV/cell,0.026732847628894163,0.258845481061388
oblique_energy,fit,development_or_control,0.13339289745734875,0.12169417051535802,eV/cell,0.013339289745734876,-0.8770127319358436
opening_1.25h_energy,fit,development_or_control,0.24853683654490819,0.21582771923721772,eV/cell,0.02485368365449082,-1.3160671779042397
opening_3h_energy,fit,development_or_control,0.7719163228888833,0.8098524171151058,eV/cell,0.07719163228888834,0.4914534529370656
saddle_Haa,fit,development_or_control,12.717337762538286,22.569714587019778,eV/L0^2,1.2717337762538286,7.747200717986617
saddle_Hxx,fit,development_or_control,-0.18642463121762062,-0.05687543764775721,eV/L0^2,0.018642463121762064,6.949145760606905
fault_Haa,fit,development_or_control,14.140554350039636,24.83853591022622,eV/L0^2,1.4140554350039638,7.565461222640536
fault_Hxx,fit,development_or_control,2.4858929774856264,2.6891608083997696,eV/L0^2,0.24858929774856264,0.8176853660037279
saddle_normal_path_coupling,fit,development_or_control,1.2055891043737141,0.5937401606265774,eV/L0^2,0.12055891043737142,-5.0751034620952655
opening_1.1h_normal_force,fit,development_or_control,1.2761663221727821,1.2132706555698871,eV/L0,0.03173805605024358,-1.981711372093072
opening_1.3h_normal_force,fit,development_or_control,1.4139711872929317,1.166830573548057,eV/L0,0.03173805605024358,-7.786885666646804
opening_1.5h_normal_force,fit,development_or_control,0.6379256757978651,0.8060863650018317,eV/L0,0.03173805605024358,5.29839284856503
opening_2h_normal_force,fit,development_or_control,0.5548811295393773,0.3690462829477909,eV/L0,0.03173805605024358,-5.85526871265829
opening_2.5h_normal_force,fit,development_or_control,0.0005156382639574782,0.18028467451430205,eV/L0,0.03173805605024358,5.664147670725564
opening_3h_normal_force,fit,development_or_control,0.0,0.08717939760861852,eV/L0,0.03173805605024358,2.7468411257011893
shockley_0.15_energy,fit,development_or_control,0.013715574532912111,0.012067809408907892,eV/cell,0.004433026104653031,-0.37170210260541386
shockley_0.35_energy,fit,development_or_control,0.04820527408303389,0.0490097862030983,eV/cell,0.004820527408303389,0.16689296666556294
shockley_0.75_energy,fit,development_or_control,0.08334161260537679,0.09862333358520109,eV/cell,0.00833416126053768,1.8336243446816147
new_direct_017_energy,fit,development_or_control,0.05826439239193282,0.05042055717661989,eV/cell,0.0058264392391932825,-1.3462485221761225
new_direct_017_normal_force,fit,development_or_control,-0.44118804525591643,-0.4443478500845112,eV/L0,0.03173805605024358,-0.09955886471410216
new_direct_017_Haa,fit,development_or_control,26.109437232644353,27.18862570653999,eV/L0^2,2.6109437232644357,0.4133327211458773
new_direct_039_energy,fit,development_or_control,0.2262381941113307,0.23002043039932174,eV/cell,0.022623819411133072,0.16717938820400158
