model,bracket_samples,a_over_h,energy_J_m2,traction_MPa,curvature_eV_L0sq
source_Al99,129,1.1858461680206895,0.36973671378544687,12969.567658481197,1.9120954819484833e-14
source_Al99,129,1.6322700788898576,1.1949641937212303,4005.706049611054,3.605051163840799e-11
source_Al99,129,1.8918747001449547,1.4713233183974124,5025.057197224914,-1.997172349374465e-13
source_Al99,129,2.386631030199241,1.751738739078053,-785.6754390524287,-9.588931211557126e-15
source_Al99,129,2.527863881011658,1.740949935378599,46.058621287826554,-7.137636185219896e-13
source_Al99,257,1.1858461680206898,0.36973671378544765,12969.567658481195,-6.237073357784338e-14
source_Al99,257,1.6322700788892308,1.194964193720642,4005.706049611053,-1.3885455285578271e-14
source_Al99,257,1.891874700144948,1.4713233183974035,5025.057197224909,-1.4312262312798916e-14
source_Al99,257,2.386631030199241,1.751738739078053,-785.6754390524287,-9.588931211557126e-15
source_Al99,257,2.5278638810116023,1.7409499353785989,46.05862128782654,-1.5649590998090264e-16
scoped_static_candidate,129,1.2947297370033168,0.48821986262940026,9116.823220465112,-3.6859404417555197e-13
scoped_static_candidate,129,1.3630568667108116,0.6337285309708603,9099.257951783136,-8.43769498715119e-15
scoped_static_candidate,129,1.478777496439231,0.8806547288287939,9154.997174379512,1.4654943925052066e-14
scoped_static_candidate,129,2.5788121702227103,1.675345789796376,-1278.0599725975524,7.176551020116051e-15
scoped_static_candidate,129,4.4394901830545255,1.5666630024798673,266.0335936880586,3.7729439391525135e-15
scoped_static_candidate,257,1.2947297370032338,0.48821986262922623,9116.823220465156,-2.220446049250313e-14
scoped_static_candidate,257,1.363056866710813,0.6337285309708636,9099.257951783131,-7.993605777301127e-15
scoped_static_candidate,257,1.4787774964392306,0.8806547288287914,9154.997174379509,2.930988785010413e-14
scoped_static_candidate,257,2.5788121702227005,1.6753457897963808,-1278.059972597549,-1.0881920364802511e-14
scoped_static_candidate,257,4.4394901830545805,1.5666630024798731,266.0335936880581,8.681765836836622e-16
