model,a_L0,ux_L0,uy_L0,step_L0,gradient_max_abs_error_eV_L0,hessian_max_abs_error_eV_L0sq,gradient_relative_norm_error,hessian_relative_norm_error
scoped_static_candidate,0.8303770228034973,0.173,0.079,2e-05,6.780696526487162e-08,1.6203042108031696e-06,1.0215120318486408e-07,3.70907896760803e-08
scoped_static_candidate,0.8303770228034973,0.173,0.079,1e-05,1.6612152986539286e-08,4.0437685555616554e-07,2.5013608800915698e-08,9.256975881735108e-09
scoped_static_candidate,0.9879608629225485,-0.217,0.341,2e-05,3.5570223433367687e-09,1.998500636091194e-07,4.8442991579225635e-09,2.4801393883875e-08
scoped_static_candidate,0.9879608629225485,-0.217,0.341,1e-05,3.4005792626246034e-10,4.9747910679798224e-08,5.434362995560587e-10,6.171425625833406e-09
scoped_static_candidate,1.2329098372008662,0.307,-0.071,2e-05,1.3615584215642684e-09,8.95822105384525e-09,1.3071110169244151e-09,5.955331259601354e-09
scoped_static_candidate,1.2329098372008662,0.307,-0.071,1e-05,3.76235487209442e-10,2.2302695246168014e-09,4.0856544044318173e-10,1.4762822297018026e-09
