temperature_K,name,gap_A,replicas,draws_per_replica,raw_force_eV_A,controlled_force_eV_A,raw_replica_sem_eV_A,controlled_replica_sem_eV_A,raw_split_rhat,controlled_split_rhat,anharmonic_split_rhat,mean_anharmonic_residual_kBT,maximum_bath_coordinate_A,raw_control_difference_eV_A,minimum_acceptance,control_variance_reduction
100.0,initial,2.6427454609767165,4,2048,0.023536806546223275,0.023723293600431607,0.0007532377097311092,0.00012530060646640526,1.0001880075495333,1.0007919643773555,1.0001138716752163,-3.168939054459814,0.2815008007700819,-0.0001864870542083296,0.990234375,419.807388920006
100.0,profile02,2.768198869665672,4,2048,0.7569486091719984,0.7571555950830656,0.0007179875859587065,0.00013463690757829598,1.0001965177202912,1.0008103877696428,1.0001158702504078,-3.1610558457471036,0.2853886638959721,-0.0002069859110672978,0.990234375,488.4575906826918
100.0,profile04,2.893652278354627,4,2048,1.243158864860452,1.2434317629317737,0.0007098475496695506,0.0001449292847898625,1.000178819985859,1.0006892661822249,1.0001263847707977,-3.155964629828135,0.28922014822666453,-0.0002728980713218032,0.990234375,462.33093126631013
100.0,profile06,3.019105687043582,4,2048,1.442922085821452,1.4432043307237317,0.000660944853248362,0.00016290565813383907,1.0001773278818256,1.0006137591420055,1.0001323669729287,-3.1524659383494527,0.29294658592034556,-0.00028224490227962695,0.98974609375,365.2735597089443
100.0,profile08,3.1445590957325376,4,2048,1.297493641970466,1.2977711280737985,0.0005917226326917985,0.00018816544305261325,1.0001685615611622,1.0006288129789946,1.000135625405588,-3.1506062545040647,0.30249398191887755,-0.0002774861033325027,0.98974609375,251.92818334869523
100.0,profile10,3.2700125044214925,4,2048,0.7809010916864763,0.7811603932878954,0.000522881778573595,0.00021273862401611628,1.0001555970942548,1.0006947739301724,1.000138004941067,-3.1499999735270783,0.3326085637342898,-0.0002593016014191263,0.98974609375,173.5083012028811
100.0,profile12,3.395465913110448,4,2048,0.042023885216018186,0.042212008364673564,0.00043137940434633134,0.00019712573970332115,1.0001326387857263,1.000644921479173,1.0001378194793995,-3.149570663206265,0.36128171246322915,-0.00018812314865538325,0.98974609375,166.3889334140367
100.0,saddle,3.4017707367182197,4,2048,0.006534928254895232,0.006721708555102556,0.00042730873890488844,0.00019418693112807926,1.0001307494018303,1.000637057699213,1.000137843352706,-3.1495838499168505,0.36267930093944767,-0.00018678030020732308,0.98974609375,169.10866369279046
100.0,profile14,3.5209193217994033,4,2048,-0.4332668665735413,-0.4331030129122724,0.0003482044229114977,9.89304001407759e-05,1.000084646581554,1.0000909381208893,1.000137899928953,-3.149661407299582,0.3882776509517241,-0.00016385366126896173,0.98974609375,285.27180707623813
100.0,opened_minimum,3.9298045733758267,4,2048,0.007447468287619796,0.007638017097335264,0.00019215094945017618,5.0016293811397084e-05,1.0000454602453543,0.9997615785575624,1.0001438565815524,-3.153191258090679,0.46926389356356646,-0.00019054880971546852,0.990234375,152.70758423100264
300.0,initial,2.6427454609767165,4,2048,0.07436116460238697,0.07481519120144312,0.0014401694843746418,0.0004764180440476152,1.0001605370993512,1.000870472446666,1.0008089114867695,-10.288008366407063,0.6636640866088575,-0.00045402659905614817,0.9814453125,93.30264366726524
300.0,profile02,2.768198869665672,4,2048,0.8001692467531388,0.8005640881919962,0.0013084175236667379,0.0005056491336564166,1.0001687005502211,1.000935653081431,1.0006531971228463,-10.210178187261063,0.6023927158968378,-0.00039484143885740175,0.98095703125,115.00042585556758
300.0,profile04,2.893652278354627,4,2048,1.2793816831490918,1.2798213175311666,0.0012061566627780977,0.0005378710716114173,1.000161164489308,1.0009264301371485,1.0006132972772666,-10.164252574892158,0.5802279174497889,-0.00043963438207456074,0.98046875,118.02445068294404
300.0,profile06,3.019105687043582,4,2048,1.4721357285156973,1.4726219406228314,0.0010395636709233714,0.0005864985658860231,1.000164079528674,1.00087674517152,1.0005679095369202,-10.133979944320936,0.5840648923451547,-0.0004862121071338432,0.97998046875,101.52274262219946
300.0,profile08,3.1445590957325376,4,2048,1.319557539502226,1.320054664410699,0.001015363162271757,0.000657375079588707,1.0001835318598487,1.0008358097660368,1.0005165665503757,-10.114522365273938,0.5878666288426198,-0.0004971249084728679,0.98046875,75.37189951859028
300.0,profile10,3.2700125044214925,4,2048,0.7964083360679846,0.7969110173405809,0.000915940698065573,0.0007214326098956648,1.000167904630719,1.0007964745377296,1.0005016472869641,-10.103863249136909,0.59160009859576,-0.000502681272596367,0.98095703125,54.54140942083498
300.0,profile12,3.395465913110448,4,2048,0.055500475149889344,0.0559496794127588,0.0007742420845395319,0.0006679209517384808,1.0001390505654115,1.000730080494917,1.000491502974516,-10.100153020566653,0.595300655111604,-0.0004492042628694553,0.98095703125,54.67046581246703
300.0,saddle,3.4017707367182197,4,2048,0.0201588632788768,0.020605129620514542,0.0007621927523476445,0.0006581057096374732,1.0001363523660702,1.0007204054976222,1.0004910220170016,-10.100054451416938,0.5954872215976936,-0.0004462663416377466,0.98095703125,55.71052255376593
300.0,profile14,3.5209193217994033,4,2048,-0.41255246517929206,-0.41214853307083577,0.0004504555025188722,0.00035573627401364494,1.000066395081985,1.0001305333602204,1.0004835610200016,-10.09862573358306,0.599048094094449,-0.0004039321084563091,0.9814453125,99.87272323763237
300.0,opened_minimum,3.9298045733758267,4,2048,0.0210012148592739,0.02136544513795976,0.0002102268667622351,8.953233581590011e-05,0.9999942628727735,0.9995707215284804,1.0004493811898303,-10.123415075612437,0.6553720445360701,-0.000364230278685854,0.98193359375,54.785195425065766
