case,opening_A,energy_eV,energy_derivative_eV_A,tilted_energy_eV,tilted_derivative_eV_A,new_evaluation
P_02_bulk_spread,0.0,-1163.8039124584488,0.16211813751461948,-1163.8039124584488,0.06504396490270883,False
P_02_bulk_spread,0.03,-1163.7657220426236,2.3397066840940415,-1163.7686342678019,2.242632511482131,False
P_02_bulk_spread,0.1,-1163.4485517199082,6.544002379928104,-1163.4582591371693,6.446928207316193,False
P_02_bulk_spread,0.2,-1162.5544415104573,11.119995216294715,-1162.5738563449797,11.022921043682803,False
P_02_bulk_spread,0.35,-1160.4950292474075,15.961988400178257,-1160.5290052078217,15.864914227566345,False
P_02_bulk_spread,0.5,-1157.8979779313272,18.153885171173794,-1157.9465150176331,18.056810998561883,False
P_02_bulk_spread,0.7,-1154.3595591171515,16.479449012881968,-1154.42751103798,16.382374840270057,False
P_02_bulk_spread,0.9,-1151.4704954743404,12.34962683621157,-1151.5578622296912,12.252552663599658,False
P_02_bulk_spread,1.1,-1149.356224741705,9.054551242769646,-1149.4630063315783,8.957477070157736,False
P_02_bulk_spread,1.4,-1147.09553548346,6.235861496578524,-1147.2314393251168,6.138787323966613,False
P_02_bulk_spread,1.8,-1145.218323756603,3.2590955886332913,-1145.3930572673044,3.1620214160213806,False
P_02_bulk_spread,10.0,-1143.2849022891546,-2.220446049250313e-16,-1144.2556440152737,-0.09707417261191087,False
P_02_bulk_spread,2.3,-1144.1977249874672,1.2842067762927951,-1144.4209955844744,1.1871326036808845,False
P_02_bulk_spread,3.0,-1143.4551741135829,0.6968154186534177,-1143.7463966314185,0.599741246041507,False
P_02_bulk_spread,4.0,-1143.2849022891546,-3.885780586188048e-16,-1143.6731989796021,-0.09707417261191104,False
P_02_bulk_spread,6.0,-1143.2849022891546,-1.1102230246251565e-16,-1143.8673473248261,-0.09707417261191076,False
P_02_bulk_spread,8.0,-1143.2849022891546,-2.220446049250313e-16,-1144.06149567005,-0.09707417261191087,False
P_02_bulk_spread,-0.25,-1160.2724364825951,-34.52627528629329,-1160.248167939442,-34.6233494589052,True
P_02_bulk_spread,-0.1,-1163.3733014193501,-9.468084794563545,-1163.363594002089,-9.565158967175456,True
P_02_bulk_spread,-0.03,-1163.7725645802198,-2.304083427317156,-1163.7696523550414,-2.401157599929067,True
P_02_bulk_spread,-0.0007912244379807488,-1163.8040165597918,0.10098823487767494,-1163.8039397523341,0.003914062265764295,True
P_02_bulk_spread,-0.000841802986654799,-1163.8040215686374,0.09707370454454368,-1163.803939851309,-4.680673669626989e-07,True
P_02_bulk_spread,-0.000841702986654378,-1163.8040215589301,0.09708144486362902,-1163.803939851309,7.272251718370981e-06,True
P_02_bulk_spread,-0.000941802986654799,-1163.8040308889385,0.08933177505561225,-1163.8039394641928,-0.007742397556298394,True
P_02_bulk_spread,-0.0007418029866547989,-1163.8040114743046,0.10481241679595399,-1163.8039394643934,0.007738244184043341,True
P_02_bulk_spread,3.86068882804071,-1143.2849022891546,-5.551115123125783e-17,-1143.6596754628488,-0.0970741726119107,True
P_02_bulk_spread,3.4303444140203547,-1143.2921703072561,0.10286671113286672,-1143.6251681530211,0.00579253852095607,True
P_02_bulk_spread,3.4545775849659233,-1143.2899426196645,0.08133923854017433,-1143.6252928804488,-0.015734934071736317,True
P_02_bulk_spread,3.4368649925779495,-1143.291519195841,0.09686782541766009,-1143.6251500213743,-0.0002063471942505557,True
P_02_bulk_spread,3.4366407004086823,-1143.291540945395,0.09707169144471212,-1143.6251499979514,-2.48116719853142e-06,True
P_02_bulk_spread,3.436637971812308,-1143.2915412102673,0.09707417264431384,-1143.6251499979476,3.2403191241314744e-11,True
P_02_bulk_spread,3.4366380718140266,-1143.29154120056,0.09707408170911391,-1143.625149997948,-9.090279673440449e-08,True
P_02_bulk_spread,3.436537971812308,-1143.291550922232,0.0971651239799074,-1143.6251500024953,9.095136799674997e-05,True
P_02_bulk_spread,3.4367379718123083,-1143.2915315073965,0.0969832566469177,-1143.6251500024941,-9.091596499294363e-05,True
