case,species,count,arrangement,chemical_concentration_cm3,opening_A,energy_eV,delta_energy_eV,area_A2,separation_work_J_m2,conjugate_force_eV_A,rigid_traction_GPa,affine_stress_zz_GPa,nonaffine_correction_GPa,total_force_norm_eV_A
B_04_interface_cluster,B,4,interface_cluster,9.046860907629686e+20,0.0,-1164.3598788755983,0.0,155.52997112368598,0.0,1.1658977002635131,1.201037998979001,1.201681844864158,-0.0006438458851569685,1.001141170194581e-15
B_04_interface_cluster,B,4,interface_cluster,9.046860907629686e+20,0.03,-1164.2907408591468,0.06913801645146123,155.52997112368598,0.007122184468969478,3.399561712724106,3.502024916879891,1.4195100410613193,2.082514875818572,1.1304268730654203e-15
B_04_interface_cluster,B,4,interface_cluster,9.046860907629686e+20,0.1,-1163.894769365223,0.4651095103752141,155.52997112368598,0.04791279676775188,7.732831995786196,7.9659004941520415,1.865442530596693,6.100457963555348,1.5037726357461205e-15
B_04_interface_cluster,B,4,interface_cluster,9.046860907629686e+20,0.2,-1162.8745734556508,1.4853054199475082,155.52997112368598,0.15300727062444894,12.440129492328598,12.815076510682758,2.3919740324934073,10.423102478189351,6.236253249002955e-16
B_04_interface_cluster,B,4,interface_cluster,9.046860907629686e+20,0.35,-1160.6101950086331,3.7496838669651424,155.52997112368598,0.38626997955015996,17.356866830701183,17.880004911390362,3.001324449648012,14.87868046174235,8.164893297987019e-16
B_04_interface_cluster,B,4,interface_cluster,9.046860907629686e+20,0.5,-1157.801938870016,6.557940005582168,155.52997112368598,0.6755597116238035,19.573620004188857,20.163571295571614,3.338796032796141,16.824775262775475,1.6014585194635804e-15
B_04_interface_cluster,B,4,interface_cluster,9.046860907629686e+20,0.7,-1153.9788672679254,10.381011607672917,155.52997112368598,1.0693896562142013,17.890383588866648,18.429601929639897,3.259829255527644,15.16977267411225,2.678466714225827e-15
B_04_interface_cluster,B,4,interface_cluster,9.046860907629686e+20,0.9,-1150.819129506679,13.54074936891925,155.52997112368598,1.3948869204431262,13.622927626747167,14.03352432496106,2.8272976577349542,11.206226667226106,1.9248008186963512e-15
B_04_interface_cluster,B,4,interface_cluster,9.046860907629686e+20,1.1,-1148.4689530430442,15.890925832554103,155.52997112368598,1.636988027297834,10.148792628937054,10.454678475098158,2.43248209475985,8.022196380338308,1.512474444547626e-15
B_04_interface_cluster,B,4,interface_cluster,9.046860907629686e+20,1.4,-1145.8961484655601,18.463730410038124,155.52997112368598,1.9020229493846534,7.263686191283531,7.48261457795037,2.0683281339306303,5.41428644401974,2.379618807018345e-15
B_04_interface_cluster,B,4,interface_cluster,9.046860907629686e+20,1.8,-1143.627381030786,20.732497844812315,155.52997112368598,2.135737785548585,4.13376178471869,4.258353868484574,1.6067874697459323,2.6515663987386415,7.675956053871685e-16
B_04_interface_cluster,B,4,interface_cluster,9.046860907629686e+20,2.3,-1142.2980491122391,22.06182976335913,155.52997112368598,2.272677599999675,1.53576894304713,1.582057206077795,1.1995237765324014,0.3825334295453938,4.1929399359063045e-16
B_04_interface_cluster,B,4,interface_cluster,9.046860907629686e+20,3.0,-1141.5422936695745,22.81758520602375,155.52997112368598,2.3505310003769337,0.7647822899097305,0.7878329212933148,1.0529558282171998,-0.26512290692388496,7.049364216073434e-16
B_04_interface_cluster,B,4,interface_cluster,9.046860907629686e+20,4.0,-1141.3225112277767,23.03736764782161,155.52997112368598,2.373171671513686,1.5543122344752192e-15,1.6011593945684691e-15,0.8769365539940541,-0.8769365539940525,8.662080271362146e-16
B_04_interface_cluster,B,4,interface_cluster,9.046860907629686e+20,6.0,-1141.3225112277767,23.03736764782161,155.52997112368598,2.373171671513686,1.7763568394002505e-15,1.8298964509353933e-15,0.8259934987492757,-0.825993498749274,6.321684117079009e-16
B_04_interface_cluster,B,4,interface_cluster,9.046860907629686e+20,8.0,-1141.3225112277767,23.03736764782161,155.52997112368598,2.373171671513686,2.3314683517128287e-15,2.4017390918527038e-15,0.780644261607261,-0.7806442616072586,8.139137667439459e-16
B_04_interface_cluster,B,4,interface_cluster,9.046860907629686e+20,10.0,-1141.3225112277767,23.03736764782161,155.52997112368598,2.373171671513686,1.7763568394002505e-15,1.8298964509353933e-15,0.7400154478409214,-0.7400154478409195,8.662080271362146e-16
