family,composition,frames,atoms_per_frame,pairs,baseline_pair_difference_RMSE_eV,candidate_pair_difference_RMSE_eV,baseline_pair_difference_RMSE_eV_atom,candidate_pair_difference_RMSE_eV_atom,baseline_worst_pair_difference_error_eV,candidate_worst_pair_difference_error_eV,per_atom_replay_error_eV_atom
radial,H32O18Si192,86,242,3655,3.142193711859484,2.7240907339722886,0.012984271536609438,0.011256573280877225,17.359868086587085,15.819791065088793,9.506284648352903e-16
radial,H32O48Si192,80,272,3160,3.1240498077432375,2.9151441274514833,0.011485477234350137,0.010717441645042219,18.465924881777028,16.378073076593864,3.0513785942432037e-15
radial,H32O60Si192,76,284,2850,3.4759438035344363,3.4170102358943875,0.012239238744839565,0.012031726182726717,18.597406030399725,18.19907951753703,2.3071822230491534e-15
radial,H32O8Si192,181,232,16290,5.516843752919996,5.317042556431462,0.023779498934999983,0.022918286881170095,12.126308190501732,11.817150245846278,1.9081958235744878e-16
radial,O144Si72,64,216,2016,1.8312039637967237,1.1387972882631583,0.008477796128688535,0.005272209667884992,8.085315286443802,4.90291427540069,6.337812219481265e-15
angular,H32O18Si192,86,242,3655,3.142193711859484,2.790482706486924,0.012984271536609438,0.011530920274739355,17.359868086587085,15.664130998269684,9.506284648352903e-16
angular,H32O48Si192,80,272,3160,3.1240498077432375,2.9186116178497548,0.011485477234350137,0.010730189771506452,18.465924881777028,16.339510684789275,1.8231943732516243e-15
angular,H32O60Si192,76,284,2850,3.4759438035344363,3.376382193109172,0.012239238744839565,0.01188866969404638,18.597406030399725,17.721745186121552,2.3071822230491534e-15
angular,H32O8Si192,181,232,16290,5.516843752919996,5.27842422738292,0.023779498934999983,0.022751828566305688,12.126308190501732,11.794418676356145,3.0531133177191805e-16
angular,O144Si72,64,216,2016,1.8312039637967237,1.9804881235892011,0.008477796128688535,0.009168926498098154,8.085315286443802,7.698068121899269,1.5421691701433815e-15
