model,ring,reciprocal_tolerance,source_force_RMS,material_error_RMS,maximum_material_error
unchanged,5,2e-12,2.2311410467059282e-10,0.2888343660057831,0.9913597033649854
unchanged,7,2e-12,2.2311410467059282e-10,0.2888336012642672,0.9913543460660847
unchanged,9,2e-12,2.2311410467059282e-10,0.28883347311416924,0.9913534058253312
unchanged,7,2e-13,2.2311410467059282e-10,0.2888336012642672,0.9913543460660847
joint_trial,5,2e-12,2.2311410467059282e-10,0.1663511607101869,0.5605293699031921
joint_trial,7,2e-12,2.2311410467059282e-10,0.16634802090944809,0.5605115147808237
joint_trial,9,2e-12,2.2311410467059282e-10,0.16634726849557835,0.5605070052059503
joint_trial,7,2e-13,2.2311410467059282e-10,0.16634802090944809,0.5605115147808237
