index,eigenvalue
0,-0.0409799114325774
1,0.11398682926872547
2,0.27204868295577295
3,0.28131732845273616
4,0.2924623963101362
5,0.29969315501200305
6,0.3942129254240151
7,0.4849975983004717
8,0.5146563477807535
9,0.5600517668606545
10,0.6001001991184589
11,0.6016949904270185
12,0.6155856752979313
13,0.6426730582824853
14,0.7855592768787462
15,0.7965588625517511
16,0.9551985993174605
17,0.9727657828275803
18,0.991726898840625
19,1.0066696209340555
20,1.0074861992535176
21,1.0281330975242025
22,1.0971568804353047
23,1.1089264187718704
24,1.1561152855813668
25,1.2041459423084744
26,1.2076568425221352
27,1.3640705068891326
28,1.3939544164182611
29,1.4077462660447628
30,1.4307511437834999
31,1.4477738888046197
32,1.455120059705112
33,1.4609848602901374
34,1.4869447787718464
35,1.6440881377969319
36,1.64743157349476
37,1.6824452341075375
38,1.7866312484776397
39,1.8326665217470923
40,1.8451712747202373
41,1.8456634938949905
42,1.8672987843331803
43,1.8761600237903984
44,1.9057771646766748
45,2.027776960261282
46,2.0524340914106642
47,2.1550006757478886
48,2.221792134701249
49,2.2723001023630665
50,2.273994008470484
51,2.2824177500541585
52,2.295737418522021
53,2.3218331361210605
54,2.327032101636331
55,2.3286755174708813
56,2.3328660156981993
57,2.377542926941601
58,2.3882422383781785
59,2.479500190338695
60,2.5032429963964424
61,2.572439426824799
62,2.63648856490125
63,2.688658662878893
64,2.7577981095672595
65,2.7834441802548655
66,2.785141386974442
67,2.799596729224304
68,2.853121180337302
69,2.860821167219137
70,2.893877640341845
71,3.043444134247607
72,3.0443739402047014
73,3.1101862597370142
74,3.112675420402992
75,3.114478013639432
76,3.1488580106696977
77,3.223499684335826
78,3.2279939964956306
79,3.286398668542109
80,3.312109472954624
81,3.3532044962259078
82,3.3666667136511
83,3.418469418192598
84,3.4208192806384745
85,3.4328453256047102
86,3.4727000592821997
87,3.503963636452071
88,3.611198365253842
89,3.6214305940462452
90,3.6900555623170126
91,3.724179691197808
92,3.7937290931226455
93,3.8113422047235828
94,3.820605448233358
95,3.8323163590294405
96,3.8411519639985747
97,3.852474553439343
98,3.8781417533687526
99,3.90517594814022
100,3.936743911497382
101,3.9595514375001897
102,3.9860914431130534
103,4.004110395738669
104,4.012113946920379
105,4.04392485012615
106,4.188527512647693
107,4.22454604372703
108,4.228880423914489
