force_fraction_of_fc,dimensionless_force,chi,stable_spacing,lambda_c,barrier_spacing,barrier_height_delta_w,mean_spacing,variance_spacing,metastable_tail_Qc
0.1,0.0037034269670768332,40.0,1.0038575314921845,1.1077715385524567,1.705789444907455,0.009992381598340178,1.2589281851248444,0.057835086323034926,0.6665526267432671
0.1,0.0037034269670768332,100.0,1.0038575314921845,1.1077715385524567,1.705789444907455,0.009992381598340178,1.2254292497838284,0.05208132159472309,0.6023337977812588
0.1,0.0037034269670768332,250.0,1.0038575314921845,1.1077715385524567,1.705789444907455,0.009992381598340178,1.1318597238275085,0.034139404027249604,0.39602547638788865
0.1,0.0037034269670768332,500.0,1.0038575314921845,1.1077715385524567,1.705789444907455,0.009992381598340178,1.0493561294715739,0.00999601382664973,0.1594512513251787
0.3,0.011110280901230498,40.0,1.0126960559508178,1.1077715385524567,1.4431915492004843,0.005987145267455852,1.1490686968806811,0.026499342121539607,0.5622491763048933
0.3,0.011110280901230498,100.0,1.0126960559508178,1.1077715385524567,1.4431915492004843,0.005987145267455852,1.145821044476463,0.022975504168209003,0.5388375038578623
0.3,0.011110280901230498,250.0,1.0126960559508178,1.1077715385524567,1.4431915492004843,0.005987145267455852,1.1155257963519207,0.01792759848758486,0.42720527041341094
0.3,0.011110280901230498,500.0,1.0126960559508178,1.1077715385524567,1.4431915492004843,0.005987145267455852,1.0708986024603175,0.010228680824931525,0.2504379661465377
0.5,0.018517134835384166,40.0,1.0237169488656273,1.1077715385524567,1.3258496996702345,0.0033080488890985214,1.0997223910794056,0.0166236659094771,0.4775972309132428
0.5,0.018517134835384166,100.0,1.0237169488656273,1.1077715385524567,1.3258496996702345,0.0033080488890985214,1.108538263378438,0.013897409214653725,0.4840248422481701
0.5,0.018517134835384166,250.0,1.0237169488656273,1.1077715385524567,1.3258496996702345,0.0033080488890985214,1.1040170774815308,0.011346754648669747,0.43978060531201413
0.5,0.018517134835384166,500.0,1.0237169488656273,1.1077715385524567,1.3258496996702345,0.0033080488890985214,1.0861845908081595,0.008673794409672744,0.33909094949483576
0.7,0.02592398876953783,40.0,1.0386606744439169,1.1077715385524567,1.2444534137730194,0.0014356915909982948,1.0640804671909887,0.011222383919293396,0.3802803293429336
0.7,0.02592398876953783,100.0,1.0386606744439169,1.1077715385524567,1.2444534137730194,0.0014356915909982948,1.079262876782189,0.008962955553787691,0.40764651470357266
0.7,0.02592398876953783,250.0,1.0386606744439169,1.1077715385524567,1.2444534137730194,0.0014356915909982948,1.088198149032212,0.00714992360624645,0.4137695839840818
0.7,0.02592398876953783,500.0,1.0386606744439169,1.1077715385524567,1.2444534137730194,0.0014356915909982948,1.0883314495996537,0.005941999897021814,0.3856198480461138
0.9,0.0333308427036915,40.0,1.0638107319786752,1.1077715385524567,1.171396679395445,0.00026107992694575366,1.0299940974335644,0.007369765640486456,0.23138084156926925
0.9,0.0333308427036915,100.0,1.0638107319786752,1.1077715385524567,1.171396679395445,0.00026107992694575366,1.0485850531097176,0.005525469433642031,0.2648478514256531
0.9,0.0333308427036915,250.0,1.0638107319786752,1.1077715385524567,1.171396679395445,0.00026107992694575366,1.0643499886816425,0.0040930980318114735,0.29949975460972644
0.9,0.0333308427036915,500.0,1.0638107319786752,1.1077715385524567,1.171396679395445,0.00026107992694575366,1.0739023257791247,0.003255441589095896,0.322145797149508
0.97,0.03592324158064528,40.0,1.0820121248522976,1.1077715385524567,1.1391908608698733,4.2142283349089205e-05,1.0140213215858156,0.005966970993380437,0.13107970905570976
0.97,0.03592324158064528,100.0,1.0820121248522976,1.1077715385524567,1.1391908608698733,4.2142283349089205e-05,1.0332624008235536,0.004317021041395348,0.1551504242238354
0.97,0.03592324158064528,250.0,1.0820121248522976,1.1077715385524567,1.1391908608698733,4.2142283349089205e-05,1.0502767885402982,0.003049678857506523,0.18440370219720187
0.97,0.03592324158064528,500.0,1.0820121248522976,1.1077715385524567,1.1391908608698733,4.2142283349089205e-05,1.0614534550795343,0.0023173059456796127,0.20967589091666106
