M,atoms,omega,omega_times_M,mean_stretch,variance_C0,rho1,rho2,rho4,rho8,rho16,random_permutation_expected_rho_k,zero_crossing_lag_interp,zero_crossing_scaled_eta,positive_correlation_integral_over_M
31,32,0.02,0.62,0.9885611826976782,2.5764546092775844e-05,0.9334389183838557,0.8618138682587334,0.703543452683408,0.3295802158966223,-0.601312527565566,-0.03333333333333333,11.037099753767212,0.3560354759279746,0.17845510700871137
63,64,0.009841269841269842,0.62,0.9903309873135813,1.7558702998708695e-05,0.9662886871347085,0.9314493512790292,0.8583758213565904,0.6986439646408165,0.3266188729928951,-0.016129032258064516,22.130886092444115,0.3512839062292717,0.18265844524509148
127,128,0.004881889763779528,0.62,0.9911993196030433,1.4146403432820093e-05,0.982819821050473,0.965373999180459,0.9296852299263393,0.8551203435509162,0.6933111387097453,-0.007936507936507936,44.21441377057709,0.34814499031950463,0.18366992564022772
255,256,0.0024313725490196078,0.62,0.9916307738647742,1.2606221250277721e-05,0.9913021836564478,0.9825397923535151,0.964821392829543,0.9286110041479463,0.8531053619574893,-0.003937007874015748,88.30905380440885,0.3463100149192504,0.18388847861908117
