case,time_star,mu,energy,variance_sim,variance_closure,third_moment_sim,third_moment_closure,Q_c_sim,Q_c_closure,KS_distance,alpha,beta,variance_relative_error,third_moment_relative_error,skewness_sim,skewness_closure
subcritical_slow_cycle10,6283.1900000000005,0.9848361735160458,0.0001501020311995,3.3339418983172776e-05,3.200352569764192e-05,2.044788175594391e-07,7.981184133157022e-09,0.0,6.746966601235391e-51,0.1588812555786108,410.37799228870017,22370.80940471873,0.0400694831006238,0.96096816174694,1.0622121986597703,0.0440829442029172
subcritical_dynamic_cycle2,628.32,0.9885611826976782,8.704614514402719e-05,2.5764546092775844e-05,2.563697323796564e-05,7.270223367743679e-08,5.539824991780135e-08,0.0,1.322767818161192e-63,0.1458358929129957,420.1928630210709,32316.965411392368,0.0049514885436298,0.2380117210209698,0.5559221914389422,0.4267720019476574
